Grantee,address_,CityTown,State,ZIP,Year,Enrollment,LEAflag,lat,lon,Status
Belle Vernon High School,425 CREST AVENUE,Belle Vernon,PA,15012,2015,861, ,40.177456,-79.81908,Complete
Belle Vernon High School- Vickie McCullough,425 CREST AVENUE,Belle Vernon,PA,15012,2016,861, ,40.177456,-79.81908,Complete
Berlin Borthersvalley,1025 EAST MAIN STREET,Berlin,PA,15530,2015,792,1,39.921215,-78.948326,Complete
"Berlin Brothersvalley SD, Christy McMillen",1025 EAST MAIN STREET,Berlin,PA,15530,2016,792,1,39.921215,-78.948326,Complete
Bermudian Spring high school,"7335 CARLISLE PIKE,", York Springs,PA,17372,2016,645, ,39.979984,-77.084496,Complete
Bloomsburg Area Middle School,1100 RAILROAD STREET,Bloomsburg,PA,17815,2015,391, ,40.991642,-76.45509,Complete
Bloomsburg Middle School - Jami Houghton,1100 RAILROAD STREET,Bloomsburg,PA,17815,2016,391, ,40.991642,-76.45509,Complete
Laurel Jr/Sr High School,2497 HARLANSBURG ROAD,New Castle,PA,16101,2015,650, ,41.013294,-80.26259,Complete
Shenango Area School District,2550 ELLWOOD RD.,New Castle,PA,16101,2016,533, ,40.972034,-80.31411,Complete
Shenango Jr Sr High School,2550 ELLWOOD RD.,New Castle,PA,16101,2015,533, ,40.972034,-80.31411,Complete
Trinity Area High School,231 PARK AVENUE,Washington,PA,15301,2015,1072, ,40.163303,-80.2499,Complete
Trinity Area School District,231 PARK AVENUE,Washington,PA,15301,2017,1072, ,40.163303,-80.2499,Complete
Trinity Area School District,231 PARK AVENUE,Washington,PA,15301,2017,1072, ,40.163303,-80.2499,Complete
Trinity Area School District,231 PARK AVENUE,Washington,PA,15301,2017,1072, ,40.163303,-80.2499,Complete
Albert Gallatin South Middle School,224 NEW GENEVA ROAD,Point Marion,PA,15474,2015,415, ,39.777218,-79.92016,Complete
Bangor Area High School,187 FIVE POINTS RICHMOND ROAD,Bangor,PA,18013,2015,998, ,40.885033,-75.1521,Complete
Bangor Area High School - Daniel A Berger,187 FIVE POINTS RICHMOND ROAD,Bangor,PA,18013,2016,998, ,40.885033,-75.1521,Complete
Bregy Amedee School,1700 BIGLER STREET,Philadelphia,PA,19145,2015,505, ,39.91478,-75.17611,Complete
Bregy Amedee School,1700 BIGLER STREET,Philadelphia,PA,19145,2016,505, ,39.91478,-75.17611,Complete
Brookville Area Junior/Senior High School,96 JENKS STREET,Brookville,PA,15825,2015,717, ,41.171867,-79.08906,Complete
"Brookville Area SChool District, Ruthanne Barbazzeni",96 JENKS STREET,Brookville,PA,15825,2016,1567,1,41.171867,-79.08906,Complete
Cambria Heights High School,426 GLENDALE LAKE ROAD,Patton,PA,16668,2015,454, ,40.633278,-78.62385,Complete
"Cambria Heights High School - Ken Kerchenske, Principal",426 GLENDALE LAKE ROAD,Patton,PA,16668,2016,454, ,40.633278,-78.62385,Complete
"Cambria Heights High School, David OHara SADD Advisor",426 GLENDALE LAKE ROAD,Patton,PA,16668,2016,454, ,40.633278,-78.62385,Complete
Cecelia Snyder Middle School,3330 HULMEVILLE RD.,Bensalem,PA,19020,2015,442, ,40.10092,-74.94184,Complete
Cecelia Snyder Middle School - Christi Blank,3330 HULMEVILLE RD.,Bensalem,PA,19020,2016,442, ,40.10092,-74.94184,Complete
Cedar Crest High School,115 E. EVERGREEN ROAD,Lebanon,PA,17042,2015,1490, ,40.30886,-76.40432,Complete
"Cedar Crest High School, Katy Gerhart",115 E. EVERGREEN ROAD,Lebanon,PA,17042,2016,1490, ,40.30886,-76.40432,Complete
Central Cambria High  School,204 SCHOOOLHOUSE ROAD,Ebensburg,PA,15931,2015,544, ,40.49005,-78.737854,Complete
Central Mountain High School,64 KEYSTONE CENTRAL DR.,Mill Hall,PA,17751,2015,1254, ,41.11535,-77.51079,Complete
"Central Mountain High School, Deborah Moore",64 KEYSTONE CENTRAL DR.,Mill Hall,PA,17751,2016,1254, ,41.11535,-77.51079,Complete
Central Mountain Middle School,200 BEN AVE,Mill Hall,PA,17751,2015,1254, ,41.10925,-77.49472,Complete
Central Mountain Middle School / Joni Bumbarger (IMPACT),200 BEN AVE,Mill Hall,PA,17751,2016,861, ,41.10925,-77.49472,Complete
Conewago Valley,"130 BERLIN RD,", New Oxford, PA,17350,2017,3796,1,39.868202,-77.0541,Complete
Conewago Valley School District,"130 BERLIN RD,", New Oxford, PA,17350,2017,3796,1,39.868202,-77.0541,Complete
Conewago Valley School District,"130 BERLIN RD,", New Oxford, PA,17350,2017,3796,1,39.868202,-77.0541,Complete
Cornwall-Lebanon School District,105 EAST EVERGREEN ROAD,Lebanon,PA,17042,2017,4616,1,40.30876,-76.40441,Complete
Dawn Tucker Hatboro-Horsham School District,229 MEETINGHOUSE ROAD,Horsham,PA,19044,2016,4764,1,40.188156,-75.12582,Complete
Downingtown Area School District,"540 TRESTLE PLACE,",Downingtown,PA,19335,2017,12070,1,39.998497,-75.698524,Complete
Downingtown Area School District,"540 TRESTLE PLACE,",Downingtown,PA,19335,2017,12070,1,39.998497,-75.698524,Complete
Downingtown High School West,445 MANOR AVENUE,Downingtown,PA,19335,2015,1408, ,40.009964,-75.718124,Complete
Downingtown High School West,445 MANOR AVENUE,Downingtown,PA,19380,2015,1408, ,40.009964,-75.718124,Complete
Downingtown High School West / Tina Forsythe,445 MANOR AVENUE,Downingtown,PA,19380,2016,1408, ,40.009964,-75.718124,Complete
Downingtown Middle School,115 ROCK RAYMOND ROAD,Downingtown,PA,19335,2015,924, ,40.014977,-75.72077,Complete
East Juniata High school,32944 RT. 35,McAllisterville,PA,17049,2015,546, ,40.657154,-77.2125,Complete
East Norriton Middle School,330 ROLAND DR.,Norristown,PA,19401,2015,872, ,40.152073,-75.322975,Complete
"East Norriton Middle School, Victoria Strickland",330 ROLAND DR.,Norristown,PA,19401,2016,872, ,40.152073,-75.322975,Complete
East Pennsboro Area High School,425 SHADY LANE,Enola,PA,17025,2015,830, ,40.295597,-76.939285,Complete
Easton Area Middle School,1010 ECHO TRAIL,Easton,PA,18040,2015,1330, ,40.706768,-75.22962,Complete
Easton Area Middle School; Nicole Brodt,1010 ECHO TRAIL,Easton,PA,18040,2016,1330, ,40.706768,-75.22962,Complete
Elizabethtown Area High School,"600 E HIGH ST,",Elizabethtown,PA,17022,2017,1195, ,40.156185,-76.59572,Complete
Elizabethtown Area High School,"600 E HIGH ST,",Elizabethtown,PA,17022,2017,1195, ,40.156185,-76.59572,Complete
Elizabethtown Area High School; Kenneth Archer,"600 E HIGH ST,",Elizabethtown,PA,17022,2016,1195, ,40.156185,-76.59572,Complete
Forest Hills,489 LOCUST STREET,Sidman,PA,15955,2015,454, ,40.333035,-78.75379,Complete
Forest Hills HS - Amanda Williamson,"489 LOCUST ST,",Sidman, PA,15955,2016,454, ,40.333035,-78.75379,Complete
Galeton Area High School,27 BRIDGE ST.,Galeton,PA,16922,2015,343, ,41.73499,-77.64252,Complete
Galeton Area High School- Angi Rohrbaugh,27 BRIDGE ST.,Galeton,PA,16922,2016,343, ,41.73499,-77.64252,Complete
Harry S Truman,3001 GREEN LANE,Levittown,PA,19057,2015,1581, ,40.139977,-74.86403,Complete
Hatboro Horsham High School,899 HORSHAM ROAD,Horsham,PA,19044,2015,1630, ,40.20125,-75.16761,Complete
Hempfield High School,200 STANLEY AVE,Landisville,PA,17538,2015,2199, ,40.09313,-76.41376,Complete
High School,3940 PETERS MOUNTAIN ROAD,Halifax,PA,17032,2015,304, ,40.45881,-76.927124,Complete
Huntingdon High,2400 CASSADY AVE,Huntingdon,PA,16652,2015,610, ,40.503086,-78.0116,Complete
I-LEAD Charter School,401 PENN ST.,Reading,PA,19601,2015,516, ,40.33535,-75.92969,Complete
I-LEAD Charter School,401 PENN STREET,Reading,PA,19602,2015,516, ,40.33535,-75.92969,Complete
"I-LEAD Charter School, Josephine Torres-Boykins, Director of Learner Support Services",401 PENN ST.,Reading,PA,19601,2016,516, ,40.33535,-75.92969,Complete
Jackson K-8,177 EAST JACKSON STREET,York,PA,17403,2015,499, ,39.952766,-76.72028,Complete
Jackson K-8,177 EAST JACKSON STREET,York,PA,17403,2016,499, ,39.952766,-76.72028,Complete
JP McCaskey High School,445 N RESERVOIR STREET,Lancaster,PA,17602,2015,2542, ,40.04707,-76.29086,Complete
JP McCaskey Matt Coonan,445 N RESERVOIR STREET,Lancaster,PA,17602,2016,2542, ,40.04707,-76.29086,Complete
Jr./Sr. High School,345 SCHOOL HOUSE LANE,Millville,PA,17846,2015,309, ,41.124245,-76.52734,Complete
Kennard-Dale High School,393 MAIN STREET,Fawn Grove,PA,17321,2015,834, ,39.726948,-76.43916,Complete
Kensington Urban Business H.S.,2501 CORAL STREET,Philadelphia,PA,19125,2015,313, ,39.98493,-75.1264,Complete
Lebanon High School,1000 SOUTH 8TH STREET,Lebanon,PA, ,2015,1205, ,40.326805,-76.42259,Complete
