countyName,fips3,fips5,Region,RegionSimple,Region3
BLAIR,13,42013,Central Central,Central Central,SouthernCounties
CAMBRIA,21,42021,Central Central,Central Central,SouthernCounties
CENTRE,27,42027,Central Central,Central Central,SouthernCounties
INDIANA,63,42063,Central Central,Central Central,SouthernCounties
JUNIATA,67,42067,Central Central,Central Central,SouthernCounties
MIFFLIN,87,42087,Central Central,Central Central,SouthernCounties
NORTHUMBERLAND,97,42097,Central Central,Central Central,SouthernCounties
SNYDER,109,42109,Central Central,Central Central,SouthernCounties
UNION,119,42119,Central Central,Central Central,SouthernCounties
CARBON,25,42025,Northeast,Northeast,NorthernCounties
COLUMBIA,37,42037,Northeast,Northeast,NorthernCounties
LACKAWANNA,69,42069,Northeast,Northeast,NorthernCounties
LUZERNE,79,42079,Northeast,Northeast,NorthernCounties
MONROE,89,42089,Northeast,Northeast,NorthernCounties
MONTOUR,93,42093,Northeast,Northeast,NorthernCounties
NORTHAMPTON,95,42095,Northeast,Northeast,NorthernCounties
PIKE,103,42103,Northeast,Northeast,NorthernCounties
SCHUYLKILL,107,42107,Northeast,Northeast,NorthernCounties
WAYNE,127,42127,Northeast,Northeast,NorthernCounties
BRADFORD,15,42015,Northern Tier,Northern Tier,NorthernCounties
CAMERON,23,42023,Northern Tier,Northern Tier,NorthernCounties
CLEARFIELD,33,42033,Northern Tier,Northern Tier,NorthernCounties
CLINTON,35,42035,Northern Tier,Northern Tier,NorthernCounties
ELK,47,42047,Northern Tier,Northern Tier,NorthernCounties
FOREST,53,42053,Northern Tier,Northern Tier,NorthernCounties
JEFFERSON,65,42065,Northern Tier,Northern Tier,NorthernCounties
LYCOMING,81,42081,Northern Tier,Northern Tier,NorthernCounties
MCKEAN,83,42083,Northern Tier,Northern Tier,NorthernCounties
POTTER,105,42105,Northern Tier,Northern Tier,NorthernCounties
SULLIVAN,113,42113,Northern Tier,Northern Tier,NorthernCounties
SUSQUEHANNA,115,42115,Northern Tier,Northern Tier,NorthernCounties
TIOGA,117,42117,Northern Tier,Northern Tier,NorthernCounties
WARREN,123,42123,Northern Tier,Northern Tier,NorthernCounties
WYOMING,131,42131,Northern Tier,Northern Tier,NorthernCounties
CLARION,31,42031,Northwest,Northwest,NorthernCounties
CRAWFORD,39,42039,Northwest,Northwest,NorthernCounties
ERIE,49,42049,Northwest,Northwest,NorthernCounties
MERCER,85,42085,Northwest,Northwest,NorthernCounties
VENANGO,121,42121,Northwest,Northwest,NorthernCounties
BUCKS,17,42017,Southeast,Southeast,SouthernCounties
CHESTER,29,42029,Southeast,Southeast,SouthernCounties
DELAWARE,45,42045,Southeast,Southeast,SouthernCounties
MONTGOMERY,91,42091,Southeast,Southeast,SouthernCounties
PHILADELPHIA,101,42101,Southeast,Philadelphia,Philadelphia
ALLEGHENY,3,42003,Pittsburgh Region,Pittsburgh Region,SouthernCounties
ARMSTRONG,5,42005,Pittsburgh Region,Pittsburgh Region,SouthernCounties
BEAVER,7,42007,Pittsburgh Region,Pittsburgh Region,SouthernCounties
BUTLER,19,42019,Pittsburgh Region,Pittsburgh Region,SouthernCounties
FAYETTE,51,42051,Pittsburgh Region,Pittsburgh Region,SouthernCounties
GREENE,59,42059,Pittsburgh Region,Pittsburgh Region,SouthernCounties
LAWRENCE,73,42073,Pittsburgh Region,Pittsburgh Region,SouthernCounties
WASHINGTON,125,42125,Pittsburgh Region,Pittsburgh Region,SouthernCounties
WESTMORELAND,129,42129,Pittsburgh Region,Pittsburgh Region,SouthernCounties
ADAMS,1,42001,South Central,Central Central,SouthernCounties
BEDFORD,9,42009,South Central,Central Central,SouthernCounties
CUMBERLAND,41,42041,South Central,Central Central,SouthernCounties
DAUPHIN,43,42043,South Central,Central Central,SouthernCounties
FRANKLIN,55,42055,South Central,Central Central,SouthernCounties
FULTON,57,42057,South Central,Central Central,SouthernCounties
HUNTINGDON,61,42061,South Central,Central Central,SouthernCounties
PERRY,99,42099,South Central,Central Central,SouthernCounties
SOMERSET,111,42111,South Central,Central Central,SouthernCounties
YORK,133,42133,South Central,Central Central,SouthernCounties
BERKS,11,42011,Southeast,Southeast,SouthernCounties
LANCASTER,71,42071,Southeast,Southeast,SouthernCounties
LEBANON,75,42075,Southeast,Southeast,SouthernCounties
LEHIGH,77,42077,Southeast,Southeast,SouthernCounties
