Name,LEAID,MSTATE,PKTCH,TOTTCH,ELL1314,ELLpctChange,lat,long
EASTERN CAMDEN COUNTY REGIONAL SCHOOL DIS,3404380,NJ,-9,-9,20,8.49,39.8477,-74.9712
MIDDLESEX COUNTY VOCATIONAL AND TECHNICAL,3410080,NJ,0,169.5,23,7.99,40.4221,-74.3863
CLEARVIEW REGIONAL HIGH SCHOOL DISTRICT,3403210,NJ,0,173.2,4,3,39.7488,-75.2094
SOUTHERN REGIONAL SCHOOL DISTRICT,3415480,NJ,0,223,11,2.4,39.7113,-74.2587
SALEM COUNTY SPECIAL SERVICES SCHOOL DIST,3480361,NJ,1,25.5,1,1.99,39.6405,-75.3474
KINGSWAY REGIONAL SCHOOL DISTRICT,3407980,NJ,0,184.8,9,1.2,39.7615,-75.2926
HUNTERDON CENTRAL REGIONAL HIGH SCHOOL,3407590,NJ,0,235.6,24,0.88,40.5179,-74.8499
BLACK HORSE PIKE REGIONAL SCHOOL DISTRICT,3401770,NJ,0,273.96,20,0.86,39.7998,-75.0476
NORTHERN VALLEY REGIONAL HIGH SCHOOL,3411760,NJ,6.6,233.8,16,0.83,40.9639,-73.9744
WATCHUNG HILLS REGIONAL HIGH SCHOOL,3417220,NJ,0,171.9,11,0.62,40.653,-74.4744
CARLSTADT-EAST RUTHERFORD REGIONAL HIGH S,3402800,NJ,0,39.6,6,0.54,40.832,-74.0932
PINELANDS REGIONAL BOARD OF EDUCATION,3413000,NJ,0,169.7,9,0.49,39.6139,-74.3594
GREATER BRUNSWICK CHARTER SCHOOL,3400047,NJ,0,37,16,0.24,40.4803,-74.4623
PASCACK VALLEY REGIONAL HIGH SCHOOL DISTR,3412510,NJ,0,166.35,1,0.21,41.0503,-74.0448
WEST ESSEX REGIONAL SCHOOL DISTRICT,3417460,NJ,0,148.6,3,0.2,40.869,-74.2657
BRADLEY BEACH ELEMENTARY SCHOOL,3402130,NJ,0.5,29.8,0,0.19,40.2022,-74.0156
GREATER EGG HARBOR REGIONAL HIGH SCHOOL D,3406060,NJ,0,284.6,64,0.15,39.4507,-74.6798
PAULO FREIRE CHARTER SCHOOL,3400757,NJ,0,8,0,0.12,40.7456,-74.1733
MASTERY CS-THOMAS CAMPUS,4200144,PA,0,71.38,15,0.11,39.9145,-75.1639
I-LEAD CHARTER SCHOOL,4200848,PA,0,25.46,65,0.11,40.3397,-75.9226
