"","X","LEA_NAME","SCH_NAME","isCHARTER","magnetSchoolStatus","city","MEMBER","zip","PctFreeLunch","SCH_TYPE_TEXT","TOTFRL","Census_AttainDiplomHigher","Census_LangHomeNotEnglish","Census_Pop25older","Census_TotalHouseholds","LAT","LON","AttendRate","PctProfELA","raceWHITE","numberHispanic","LEAID","NCESSCH"
"1",1,"Haverford Township SD","Coopertown El Sch","No","No","Bryn Mawr",446,19010,"7.623318385650224","Regular School",34,31744,3930,32804,17450,40.008974,-75.328232,96.28,86.36,371,0,4211670,421167001877
"2",2,"Northampton Area SD","Lehigh El Sch","No","No","Walnutport",509,18088,"24.95088408644401","Regular School",127,27541,2082,30492,16364,40.763783,-75.535033,96.31,72.59,473,0,4217370,421737003499
"3",3,"Central Columbia SD","Central Columbia El Sch","No","No","Bloomsburg",680,17815,"35.588235294117645","Regular School",242,9808,513,10812,6104,41.021005,-76.365855,NA,NA,619,0,4205370,420537007260
"4",4,"Pocono Mountain SD","Swiftwater Interm Sch","No","No","Swiftwater",876,18370,"50.913242009132418","Regular School",446,38356,10275,42805,21387,41.100606,-75.326285,NA,NA,544,1,4219500,421950007503
"5",5,"Solanco SD","Solanco HS","No","No","Quarryville",1073,17566,"37.18546132339236","Regular School",399,16052,6082,20529,10960,39.866938,-76.154098,92.86,68.84,964,0,4221810,422181002658
"6",6,"Wilkes-Barre Area SD","Dr David W Kistler El Sch","No","No","Wilkes Barre",953,18702,"100","Regular School",953,34249,7130,39729,23215,41.240472,-75.910851,93.68,42.38,337,0,4226300,422630006924
"7",7,"Central Bucks SD","Central Bucks HS-South","No","No","Warrington",1798,18976,"8.5094549499443808","Regular School",153,76834,10617,80091,41650,40.26255,-75.16142,NA,NA,1569,0,4205310,420531000785
"8",8,"South Western SD","South Western SHS","No","No","Hanover",1196,17331,"29.682274247491637","Regular School",355,17537,636,19487,10296,39.787549,-76.958673,95.45,83.83,1056,1,4222470,422247004608
"9",9,"Souderton Area SD","Indian Crest MS","No","No","Souderton",803,18964,"28.019925280199253","Regular School",225,29640,4575,32059,16928,40.316589,-75.334936,NA,NA,622,0,4221870,422187004721
"10",10,"Methacton SD","Woodland El Sch","No","No","Norristown",280,19403,"15.357142857142858","Regular School",43,23643,6024,24887,12277,40.136395,-75.405464,96.58,80.33,211,0,4214250,421425005252
"11",11,"Bangor Area SD","Bangor Area HS","No","No","Bangor",1014,18013,"37.08086785009862","Regular School",376,14496,1149,16318,8446,40.884859,-75.1506,93.76,77.29,915,0,4203000,420300003434
"12",12,"Twin Valley SD","Robeson El Ctr","No","No","Birdsboro",400,19508,"30","Regular School",120,15147,1766,16813,8850,40.244478,-75.869781,NA,NA,374,0,4224000,422400000868
"13",13,"Cheltenham Township SD","Cheltenham HS","No","No","Wyncote",1362,19095,"29.809104258443465","Regular School",406,23992,5747,25133,14349,40.086761,-75.160269,94.23,74.23,470,0,4205760,420576003260
"14",14,"Eastern Lancaster County SD","New Holland Elementary","No","No","New Holland",559,17557,"44.00715563506261","Regular School",246,14933,8076,20802,10967,40.083818,-76.071481,95.69,65.73,413,0,4208820,420882004707
"15",15,"Souderton CS Collaborative","Souderton CS Collaborative","Yes","No","Souderton",222,18964,"0","Regular School",0,NA,NA,NA,NA,40.309618,-75.319973,NA,NA,162,0,4200070,420007000514
"16",16,"Methacton SD","Skyview Upper El Sch","No","No","Eagleville",801,19403,"14.481897627964999","Regular School",116,23643,6024,24887,12277,40.14883,-75.42346,NA,NA,566,0,4214250,421425007347
"17",17,"Eastern Lebanon County SD","Fort Zeller El Sch","No","No","Richland",312,17087,"26.602564102564102","Regular School",83,11485,1232,14240,7818,40.355846,-76.234438,95.68,63.89,294,0,4208460,420846006611
"18",18,"Maritime Academy Charter School","Maritime Academy CS","Yes","No","Philadelphia",825,19137,"68.606060606060609","Regular School",566,NA,NA,NA,NA,40.00907,-75.068781,NA,NA,324,0,4200123,420012300759
"19",19,"Panther Valley SD","Panther Valley El Sch","No","No","Nesquehoning",506,18240,"64.822134387351696","Regular School",328,7849,479,8860,5227,40.866398,-75.811801,93.6,50,437,0,4218450,421845001322
"20",20,"Bethlehem Area SD","Clearview El Sch","No","No","Bethlehem",342,18018,"63.742690058479532","Regular School",218,70992,23674,79240,44762,40.63672,-75.420087,95.78,47.57,125,1,4203570,420357003453
"21",21,"Chichester SD","Hilltop El Sch","No","No","Aston",384,19014,"34.1145833333333","Regular School",131,15252,1059,16982,9237,39.850301,-75.437662,95.96,68.57,246,0,4205910,420591005322
"22",22,"Council Rock SD","Richboro El Sch","No","No","Richboro",414,18954,"9.1787439613526498","Regular School",38,49287,8984,50630,26086,40.210168,-75.004249,96.52,75.98,372,2,4206960,420696001087
"23",23,"Jenkintown SD","Jenkintown El Sch","No","No","Jenkintown",352,19046,"14.488636363636363","Regular School",51,3056,460,3101,1947,40.095372,-75.134185,96.74,86.34,280,0,4212420,421242003276
"24",24,"Bristol Township SD","Truman SHS","No","No","Levittown",1574,19057,"59.085133418043199","Regular School",930,32835,6020,37338,19440,40.134347,-74.860779,92.93,70.37,941,1,4204230,420423001029
"25",25,"Shenandoah Valley SD","Shenandoah Valley JSHS","No","No","Shenandoah",434,17976,"100","Regular School",434,4642,837,5560,3294,40.818715,-76.208725,93.23,47.81,264,0,4221490,422149003940
"26",26,"Norristown Area SD","Paul V Fly El Sch","No","No","Norristown",553,19403,"56.057866184448464","Regular School",310,40354,11945,46387,25634,40.157401,-75.361358,96.21,61.45,216,0,4216980,421698005253
"27",27,"Avon Grove CS","Avon Grove CS","Yes","No","West Grove",1655,19390,"21.570996978851962","Regular School",357,NA,NA,NA,NA,39.824538,-75.804672,NA,NA,1287,3,4200101,420010100656
"28",28,"Philadelphia City SD","McClure Alexander K Sch","No","No","Philadelphia",661,19140,"100","Regular School",661,855213,325401,1035252,582594,40.015078,-75.13759,92.47,17.69,2,0,4218990,421899006534
"29",29,"Spring-Ford Area SD","Upper Providence El Sch","No","No","Royersford",458,19468,"8.5152838427947604","Regular School",39,31935,3916,33365,18307,40.18943,-75.510762,NA,NA,362,0,4222560,422256000716
"30",30,"Schuylkill Technology Centers","Schuylkill Technology Centers-North Camp","No","No","Frackville",0,17931,"?","Vocational Education School",0,NA,NA,NA,NA,40.776266,-76.228458,NA,NA,0,0,4280620,428062007103
"31",31,"Philadelphia City SD","Pennell Joseph Sch","No","No","Philadelphia",410,19141,"100","Regular School",410,855213,325401,1035252,582594,40.043385,-75.1508,91.63,17.86,3,0,4218990,421899003722
"32",32,"Lehighton Area SD","Lehighton Area HS","No","No","Lehighton",645,18235,"40.310077519379803","Regular School",260,11345,473,12975,7081,40.82787,-75.7272,95.02,76.77,596,0,4213500,421350001315
"33",33,"Philadelphia City SD","Marshall Thurgood","No","No","Philadelphia",772,19120,"100","Regular School",772,855213,325401,1035252,582594,40.030123,-75.134535,NA,NA,8,0,4218990,421899000329
"34",34,"Conrad Weiser Area SD","Conrad Weiser HS","No","No","Robesonia",889,19551,"28.683914510686165","Regular School",255,12041,1555,13549,7018,40.34698,-76.118,NA,NA,734,1,4206780,420678000777
"35",35,"South Eastern SD","South Eastern MS","No","No","Fawn Grove",455,17321,"28.791208791208792","Regular School",131,11839,497,13531,7104,39.72733,-76.450611,NA,NA,436,0,4222170,422217000611
"36",36,"Hanover Public SD","Washington El Sch","No","No","Hanover",219,17331,"45.662100456621005","Regular School",100,9209,1204,10778,6710,39.816845,-76.971534,96.13,67.06,178,0,4211450,421145004568
"37",37,"Philadelphia City SD","Bryant William C Sch","No","No","Philadelphia",539,19143,"100","Regular School",539,855213,325401,1035252,582594,39.952868,-75.243383,90.26,20.2,3,0,4218990,421899003601
"38",38,"Harrisburg City SD","Melrose Sch","No","No","Harrisburg",625,17104,"78.72","Regular School",492,24137,9097,30641,19981,40.262268,-76.85452,NA,NA,23,0,4211580,421158007483
"39",39,"Kennett Consolidated SD","Bancroft El Sch","No","No","Kennett Square",512,19348,"54.4921875","Regular School",279,15299,6977,18737,9539,39.84661,-75.752271,NA,NA,212,0,4212690,421269007387
"40",40,"Panther Valley SD","Panther Valley SHS","No",NA,"Lansford",NA,18232,"?","Regular School",NA,7849,479,8860,5227,40.842186,-75.850406,NA,NA,NA,NA,4218450,421845006693
"41",41,"Brandywine Heights Area SD","Brandywine Intrmd Sch","No","No","Topton",219,19562,"27.853881278538815","Regular School",61,8588,475,9852,5234,40.497108,-75.702696,NA,NA,202,0,4204050,420405007426
"42",42,"Philadelphia City SD","Fox Chase Sch","No","No","Philadelphia",486,19111,"100","Regular School",486,855213,325401,1035252,582594,40.074971,-75.08087,94.78,53.21,207,0,4218990,421899003765
"43",43,"Bangor Area SD","Bangor Area MS","No","No","Bangor",490,18013,"42.448979591836732","Regular School",208,14496,1149,16318,8446,40.875526,-75.151353,95.19,64.66,446,0,4203000,420300005257
"44",44,"Perkiomen Valley SD","Perkiomen Valley MS-East","No","No","Collegeville",780,19426,"10.8974358974358","Regular School",85,24408,3396,26132,12508,40.217892,-75.462138,97.3,81.87,642,2,4218930,421893003326
"45",45,"Rose Tree Media SD","Media El Sch","No","No","Media",452,19063,"15.265486725663701","Regular School",69,25431,3248,26143,14363,39.917995,-75.3868,96.88,87.95,351,0,4220550,422055006514
"46",46,"Philadelphia City SD","Franklin LC","No","Yes","Philadelphia",868,19130,"100","Regular School",868,855213,325401,1035252,582594,39.965136,-75.163113,90.69,59.68,104,0,4218990,421899006822
"47",47,"Truebright Science Academy CS","Truebright Science Academy CS","Yes",NA,"Philadelphia",NA,19120,"?","Regular School",NA,NA,NA,NA,NA,40.02485,-75.130971,NA,NA,NA,NA,4200759,420075906084
"48",48,"Bethlehem Area SD","East Hills MS","No","No","Bethlehem",1068,18017,"41.479400749063601","Regular School",443,70992,23674,79240,44762,40.664017,-75.344841,95.63,59.84,665,0,4203570,420357004956
"49",49,"Tredyffrin-Easttown SD","Valley Forge El Sch","No","No","Wayne",557,19087,"4.4883303411130999","Regular School",25,27390,5536,27926,15829,40.07616,-75.43653,96.58,88.03,361,0,4223640,422364001438
"50",50,"Blue Ridge SD","Blue Ridge HS","No","No","New Milford",291,18834,"48.797250859106526","Regular School",142,4852,244,5541,3249,41.873446,-75.725138,93.61,76.47,268,1,4203900,420390004034
"51",51,"Lower Dauphin SD","Price","No","No","Hummelstown",15,17036,"80","Regular School",12,16276,1234,17910,10040,40.263892,-76.705307,NA,NA,10,0,4214100,421410000881
"52",52,"Lehighton Area SD","Franklin El Sch","No","No","Lehighton",272,18235,"41.544117647058826","Regular School",113,11345,473,12975,7081,40.844873,-75.684974,96.22,68.97,256,0,4213500,421350001313
"53",53,"Neshaminy SD","Maple Point MS","No","No","Langhorne",1239,19047,"21.468926553672315","Regular School",266,47567,7513,50548,25284,40.20594,-74.899905,NA,NA,1022,0,4216410,421641000103
