RawData,Date,Date_Clean,Date_Clean2,Location,Location_Clean1,Type,Type_Clean1,Lat,Lon,FindLocationStart,FindLocationLength,TypeStart,AreThereParen?,,,,,,,,,,,
"March 24, 2016      1100 block of Dry Powder Circle          Access Device Fraud","March 24, 2016",42453,03/24/16,1100 block of Dry Powder Circle 17011,#VALUE!,Acces,Access Device Fraud,#VALUE!,,17,35,52,,,,,,,,,,,,
"November 10, 2015      3500 block of Coventry Lane            Access Device Fraud","November 10, 2015",42318,11/10/15,3500 block of Coventry Lane 17011,#VALUE!,Access,Access Device Fraud,#VALUE!,,20,31,51,,,,,,,,,,,,
"November 18, 2015      5550 Carlisle Pike (McDonalds)          Access Device Fraud","November 18, 2015",42326,11/18/15,5550 Carlisle Pike (McDonalds) 17011,5550 Carlisle Pike  17011,Access D,Access Device Fraud,#VALUE!,,20,34,54,,,,,,,,,,,,
"June 3, 2016     5500 block of Carlisle Pike         Access Device Fraud    D-ARREST","June 3, 2016",42524,06/03/16,5500 block of Carlisle Pike 17011,#VALUE!,Access Device Fraud D-ARREST,Access Device Fraud,,,15,30,45,,,,,,,,,,,,
"December 15, 2016     200 block of Salem Church Road           Access Device Fraud","December 15, 2016",42719,12/15/16,200 block of Salem Church Road 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,20,33,53,0,,,,,,,,,,,
"December 6, 2016     2200 block of Gleim Court           Access Device Fraud","December 6, 2016",42710,12/06/16,2200 block of Gleim Court 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,19,28,47,,,,,,,,,,,,
"December 3, 2016     4200 block of Nantucket Drive          Access Device Fraud","December 3, 2016",42707,12/03/16,4200 block of Nantucket Drive 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,19,32,51,,,,,,,,,,,,
"November 30, 2016     3600 block of Dwayne Avenue          Access Device Fraud","November 30, 2016",42704,11/30/16,3600 block of Dwayne Avenue 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,20,30,50,,,,,,,,,,,,
"November 29, 2016     5100 block of East Trindle Road          Access Device Fraud","November 29, 2016",42703,11/29/16,5100 block of East Trindle Road 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,20,34,54,,,,,,,,,,,,
"November 19, 2016     5200 block of Deerfield Avenue           Access Device Fraud","November 19, 2016",42693,11/19/16,5200 block of Deerfield Avenue 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,20,33,53,,,,,,,,,,,,
"November 17, 2016     3500 block of Green Street           Access Device Fraud","November 17, 2016",42691,11/17/16,3500 block of Green Street 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,20,29,49,,,,,,,,,,,,
"November 15, 2016     3780 Trindle Road (Mountz Jewelers)           Access Device Fraud","November 15, 2016",42689,11/15/16,3780 Trindle Road (Mountz Jewelers) 17011,3780 Trindle Road  17011,Access Device Fraud,Access Device Fraud,#VALUE!,,20,38,58,,,,,,,,,,,,
"October 26, 2016     5528 Carlisle Pike (M&T Bank)         Access Device Fraud","October 26, 2016",42669,10/26/16,5528 Carlisle Pike (M&T Bank) 17011,5528 Carlisle Pike  17011,Access Device Fraud,Access Device Fraud,#VALUE!,,19,32,51,,,,,,,,,,,,
"October 17, 2016     3800 block of Chestnut Street          Access Device Fraud","October 17, 2016",42660,10/17/16,3800 block of Chestnut Street 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,19,32,51,,,,,,,,,,,,
"October 15, 2016     2400 block of Spring Lane          Access Device Fraud","October 15, 2016",42658,10/15/16,2400 block of Spring Lane 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,19,28,47,,,,,,,,,,,,
"October 13, 2016     4600 block of South Clearview Drive          Access Device Fraud","October 13, 2016",42656,10/13/16,4600 block of South Clearview Drive 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,19,38,57,,,,,,,,,,,,
"September 29, 2016     6100 block of Galleon Drive          Access Device Fraud","September 29, 2016",42642,09/29/16,6100 block of Galleon Drive 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,21,30,51,,,,,,,,,,,,
"September 28, 2016     400 block of Lamp Post Lane         Access Device Fraud","September 28, 2016",42641,09/28/16,400 block of Lamp Post Lane 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,21,30,51,,,,,,,,,,,,
"September 28, 2016     5000 block of Apache Drive          Access Device Fraud","September 28, 2016",42641,09/28/16,5000 block of Apache Drive 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,21,29,50,,,,,,,,,,,,ixquick-proxy.com
"September 26, 2016     5100 block of East Trindle Road         Access Device Fraud","September 26, 2016",42639,09/26/16,5100 block of East Trindle Road 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,21,34,55,,,,,,,,,,,,
"September 22, 2016     3500 block of Beech Run Lane          Access Device Fraud","September 22, 2016",42635,09/22/16,3500 block of Beech Run Lane 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,21,31,52,,,,,,,,,,,,
"July 26, 2016     400 block of Berkshire Lane         Access Device Fraud","July 26, 2016",42577,07/26/16,400 block of Berkshire Lane 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,16,30,46,,,,,,,,,,,,
"July 17, 2016     3447 Simpson Ferry Road (Play and Trade Video)         Access Device Fraud","July 17, 2016",42568,07/17/16,3447 Simpson Ferry Road (Play and Trade Video) 17011,3447 Simpson Ferry Road  17011,Access Device Fraud,Access Device Fraud,#VALUE!,,16,49,65,,,,,,,,,,,,
"July 14, 2016     1100 block of Gunstock Lane         Access Device Fraud","July 14, 2016",42565,07/14/16,1100 block of Gunstock Lane 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,16,30,46,,,,,,,,,,,,
"June 21, 2016     1900 block of Wentz Road         Access Device Fraud","June 21, 2016",42542,06/21/16,1900 block of Wentz Road 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,16,27,43,,,,,,,,,,,,
"June 17, 2016     5100 block of Mendenhall Drive         Access Device Fraud","June 17, 2016",42538,06/17/16,5100 block of Mendenhall Drive 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,16,33,49,,,,,,,,,,,,
"June 16, 2016     451 Freight Street (Paul Miller Trucking)         Access Device Fraud","June 16, 2016",42537,06/16/16,451 Freight Street (Paul Miller Trucking) 17011,451 Freight Street  17011,Access Device Fraud,Access Device Fraud,#VALUE!,,16,44,60,,,,,,,,,,,,
"June 9, 2016     4900 block of Charles Road         Access Device Fraud","June 9, 2016",42530,06/09/16,4900 block of Charles Road 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,15,29,44,,,,,,,,,,,,
"June 6, 2016     500 block of Bedford Court         Access Device Fraud","June 6, 2016",42527,06/06/16,500 block of Bedford Court 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,15,29,44,,,,,,,,,,,,
"June 4, 2016     5000 block of Apache Drive         Access Device Fraud","June 4, 2016",42525,06/04/16,5000 block of Apache Drive 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,15,29,44,,,,,,,,,,,,
"June 3, 2016     100 block of Hampden Avenue         Access Device Fraud","June 3, 2016",42524,06/03/16,100 block of Hampden Avenue 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,15,30,45,,,,,,,,,,,,
"June 3, 2016     400 block of Pawnee Drive         Access Device Fraud","June 3, 2016",42524,06/03/16,400 block of Pawnee Drive 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,15,28,43,,,,,,,,,,,,
"June 1, 2016     6300 block of Chesterfield Lane         Access Device Fraud","June 1, 2016",42522,06/01/16,6300 block of Chesterfield Lane 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,15,34,49,,,,,,,,,,,,
"May 30, 2016     1700 block of Orrs Bridge Road         Access Device Fraud","May 30, 2016",42520,05/30/16,1700 block of Orrs Bridge Road 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,15,33,48,,,,,,,,,,,,
"May 19, 2016     4100 block of Kittatinny Drive         Access Device Fraud","May 19, 2016",42509,05/19/16,4100 block of Kittatinny Drive 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,15,33,48,,,,,,,,,,,,
"May 5, 2016     400 block of Orrs Bridge Road         Access Device Fraud","May 5, 2016",42495,05/05/16,400 block of Orrs Bridge Road 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,14,32,46,,,,,,,,,,,,
"April 25, 2016     900 block of Kent Drive         Access Device Fraud","April 25, 2016",42485,04/25/16,900 block of Kent Drive 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,17,26,43,,,,,,,,,,,,
"April 20, 2016     1100 block of Musket Lane         Access Device Fraud","April 20, 2016",42480,04/20/16,1100 block of Musket Lane 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,17,28,45,,,,,,,,,,,,
"April 20, 2016     3500 block of Green Street          Access Device Fraud","April 20, 2016",42480,04/20/16,3500 block of Green Street 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,17,29,46,,,,,,,,,,,,
"April 8, 2016     4100 block of Nantucket Drive         Access Device Fraud","April 8, 2016",42468,04/08/16,4100 block of Nantucket Drive 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,16,32,48,,,,,,,,,,,,
"April 7, 2016     100 block of Louisa Lane         Access Device Fraud","April 7, 2016",42467,04/07/16,100 block of Louisa Lane 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,16,27,43,,,,,,,,,,,,
"April 6, 2016     First block of Devonshire Square         Access Device Fraud","April 6, 2016",42466,04/06/16,First block of Devonshire Square 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,16,35,51,,,,,,,,,,,,
"April 4, 2016     6200 block of Stanford Court         Access Device Fraud","April 4, 2016",42464,04/04/16,6200 block of Stanford Court 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,16,31,47,,,,,,,,,,,,
"March 19, 2016     5200 block of Meadowbrook Drive          Access Device Fraud","March 19, 2016",42448,03/19/16,5200 block of Meadowbrook Drive 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,17,34,51,,,,,,,,,,,,
"March 11, 2016     3800 block of Lamp Post Lane         Access Device Fraud","March 11, 2016",42440,03/11/16,3800 block of Lamp Post Lane 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,17,31,48,,,,,,,,,,,,
"March 4, 2016     3800 block of Trindle Road         Access Device Fraud","March 4, 2016",42433,03/04/16,3800 block of Trindle Road 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,16,29,45,,,,,,,,,,,,
"March 3, 2016     1200 block of Summit Way         Access Device Fraud","March 3, 2016",42432,03/03/16,1200 block of Summit Way 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,16,27,43,,,,,,,,,,,,
"March 2, 2016     500 block of Sarah Court         Access Device Fraud","March 2, 2016",42431,03/02/16,500 block of Sarah Court 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,16,27,43,,,,,,,,,,,,
"February 19, 2016     6300 block of Chesterfield Lane         Access Device Fraud","February 19, 2016",42419,02/19/16,6300 block of Chesterfield Lane 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,20,34,54,,,,,,,,,,,,
"February 16, 2016     5250 Carlisle Pike (Carrabbas Italian Grill)         Access Device Fraud    D-ARREST","February 16, 2016",42416,02/16/16,5250 Carlisle Pike (Carrabbas Italian Grill) 17011,5250 Carlisle Pike  17011,Access Device Fraud D-ARREST,Access Device Fraud,#VALUE!,,20,47,67,,,,,,,,,,,,
