Date_Clean2,Address_Clean,Type_Clean1
6/3/16,150 Hampden Avenue 17011,Access Device Fraud
4/7/16,150 Louisa Lane 17011,Access Device Fraud
6/2/15,150 Louisa Lane 17011,Access Device Fraud
4/26/16,150 South Sporting Hill Road 17011,Accidents Involving Damage to Attended Vehicle
7/24/16,150 Maple Avenue 17011,Aggravated Indecent Assault
10/9/16,150 Maple Avenue 17011,Burglary
3/27/16,150 Salem Church Road 17011,Criminal Mischief
11/7/15,150 Salem Church Road 17011,Criminal Mischief
6/10/15,150 S Sporting Hill Road 17011,Driving Under the Influence
12/12/16,150 Gateway Drive 17011,Driving Under the Influence
11/26/16,150 South Sporting Hill Road 17011,Driving Under the Influence
3/14/16,150 Lighthouse Drive 17011,Driving Under the Influence 
7/9/15,150 Lynnwood Court 17011,Harassment
6/25/16,150 Salem Church Road 17011,Identity Theft
3/7/16,0,Identity Theft
4/22/15,150 Bryce Road 17011,Identity Theft
4/16/15,150 St Johns Church Road 17011,Identity Theft
3/20/15,150 Salem Church Road 17011,Prohibited Acts; Penalties
8/13/16,150 S Sporting Hill Road 17011,Prohibited Acts; Penalties
10/4/15,150 S Sporting Hill Road 17011,Prohibited Acts; Penalties 
6/24/16,150 Maple Avenue 17011,Simple Assault
11/6/15,150 S Sporting Hill Road 17011,Simple Assault
12/20/16,150 Maple Avenue 17011,Theft by Unlawful Taking
11/19/16,150 West Clearview Drive 17011,Theft by Unlawful Taking
7/19/16,150 North Sporting Hill Road 17011,Theft by Unlawful Taking
6/12/16,150 N 36th Street 17011,Theft by Unlawful Taking
2/16/16,150 Gateway Drive 17011,Theft by Unlawful Taking
4/28/15,150 Salem Church Road 17011,Theft by Unlawful Taking
3/25/15,150 Conodoguinet Avenue 17011,Theft by Unlawful Taking
12/15/16,250 Salem Church Road 17011,Access Device Fraud
3/18/15,250 Salem Church Road 17011,Access Device Fraud
1/9/15,250 St Johns Church Road 17011,Burglary
11/1/16,250 Lambs Gap Road 17011,Criminal Mischief
7/31/16,250 Hillcrest Road 17011,Criminal Mischief
3/9/15,250 St James Court 17011,Criminal Trespass
5/25/16,250 Salem Church Road 17011,Driving Under the Influence 
3/5/16,250 Orrs Bridge Road 17011,Driving Under the Influence 
12/14/15,250 St Johns Church Road 17011,Driving Under the Influence 
11/18/15,250 Lambs Gap Road 17011,Harassment 
12/24/15,250 Silver Spring Road 17011,Hit and Run
10/30/15,250 Fox Drive 17011,Identity Theft
6/25/15,250 Cherokee Drive 17011,Identity Theft
2/26/15,250 Indian Creek Drive 17011,Identity Theft
4/26/16,250 Silver Spring Road 17011,PFA Violation
12/9/15,250 Silver Spring Road 17011,PFA Violation
12/2/16,250 Lambs Gap Road 17011,Prohibited Acts; Penalties
9/26/16,250 South Sporting Hill Road 17011,Public Drunkenness
3/22/16,250 Hillcrest Road 17011,Public Drunkenness 
1/20/16,250 Lambs Gap Road 17011,Simple Assault
4/28/15,250 Old Silver Spring Road 17011,Simple Assault 
1/13/16,250 Lambs Gap Road 17011,Theft by Deception
4/5/16,250 Northgate Drive 17011,Theft by Unlawful Taking
11/4/15,250 Salem Church Road 17011,Theft by Unlawful Taking
9/22/15,250 St Johns Drive 17011,Theft by Unlawful Taking
7/20/15,250 Gull Court 17011,Theft by Unlawful Taking
10/22/15,250 Lamp Post Lane 17011,Theft from a Motor Vehicle
11/19/15,250 St Johns Church Road 17011,Theft of Services 
6/1/15,250 Maple Avenue 17011,Unauthorized Use of Computer
9/3/15,350 Virginia Road 17011,Access Device Fraud
6/10/15,350 Raven Court 17011,Aggravated Assault
6/20/16,350 Silver Spring Road 17011,Driving Under the Influence
4/15/15,350 Sheely Lane 17011,Harassment
2/10/16,350 Hempt Drive 17011,Harassment 
