Match_addr,City,Subregion,Region,Postal,Lng,Lat,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,ARC_Addres,ARC_Neighb,ARC_City,ARC_Subreg,ARC_Region,ARC_Postal,ARC_Post_1,ARC_Countr,CrimeDate,Address_Cl,Zip_Code,CrimeType
"150 Hampden Ave, Hampden Twp, Pennsylvania, 17011",Hampden Twp,Cumberland,Pennsylvania,17011,-76.963623,40.235384,-76.963623,40.235384,-76.964623,-76.962623,40.234384,40.236384,150 Hampden Avenue 17011,,,17011,,,,,6/3/2016,150 Hampden Avenue 17011,17011,Access Device Fraud
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.937391,40.239519,-76.937391,40.239519,-76.942391,-76.932391,40.234519,40.244519,150 Louisa Lane 17011,,,17011,,,,,4/7/2016,150 Louisa Lane 17011,17011,Access Device Fraud
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.937391,40.239519,-76.937391,40.239519,-76.942391,-76.932391,40.234519,40.244519,150 Louisa Lane 17011,,,17011,,,,,6/2/2015,150 Louisa Lane 17011,17011,Access Device Fraud
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.937391,40.239519,-76.937391,40.239519,-76.942391,-76.932391,40.234519,40.244519,150 South Sporting Hill Road 17011,,,17011,,,,,4/26/2016,150 South Sporting Hill Road 17011,17011,Accidents Involving Damage to Attended Vehicle
"150 Maple Ave, Hampden Twp, Pennsylvania, 17011",Hampden Twp,Cumberland,Pennsylvania,17011,-76.954447,40.235352,-76.954447,40.235352,-76.955447,-76.953447,40.234352,40.236352,150 Maple Avenue 17011,,,17011,,,,,7/24/2016,150 Maple Avenue 17011,17011,Aggravated Indecent Assault
"150 Maple Ave, Hampden Twp, Pennsylvania, 17011",Hampden Twp,Cumberland,Pennsylvania,17011,-76.954447,40.235352,-76.954447,40.235352,-76.955447,-76.953447,40.234352,40.236352,150 Maple Avenue 17011,,,17011,,,,,10/9/2016,150 Maple Avenue 17011,17011,Burglary
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.937391,40.239519,-76.937391,40.239519,-76.942391,-76.932391,40.234519,40.244519,150 Salem Church Road 17011,,,17011,,,,,3/27/2016,150 Salem Church Road 17011,17011,Criminal Mischief
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.937391,40.239519,-76.937391,40.239519,-76.942391,-76.932391,40.234519,40.244519,150 Salem Church Road 17011,,,17011,,,,,11/7/2015,150 Salem Church Road 17011,17011,Criminal Mischief
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.937391,40.239519,-76.937391,40.239519,-76.942391,-76.932391,40.234519,40.244519,150 S Sporting Hill Road 17011,,,17011,,,,,6/10/2015,150 S Sporting Hill Road 17011,17011,Driving Under the Influence
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.937391,40.239519,-76.937391,40.239519,-76.942391,-76.932391,40.234519,40.244519,150 Gateway Drive 17011,,,17011,,,,,12/12/2016,150 Gateway Drive 17011,17011,Driving Under the Influence
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.937391,40.239519,-76.937391,40.239519,-76.942391,-76.932391,40.234519,40.244519,150 South Sporting Hill Road 17011,,,17011,,,,,11/26/2016,150 South Sporting Hill Road 17011,17011,Driving Under the Influence
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.937391,40.239519,-76.937391,40.239519,-76.942391,-76.932391,40.234519,40.244519,150 Lighthouse Drive 17011,,,17011,,,,,3/14/2016,150 Lighthouse Drive 17011,17011,Driving Under the Influence
"150 Lynnwood Ct, Hampden Twp, Pennsylvania, 17011",Hampden Twp,Cumberland,Pennsylvania,17011,-76.961663,40.235739,-76.961663,40.235739,-76.962663,-76.960663,40.234739,40.236739,150 Lynnwood Court 17011,,,17011,,,,,7/9/2015,150 Lynnwood Court 17011,17011,Harassment
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.937391,40.239519,-76.937391,40.239519,-76.942391,-76.932391,40.234519,40.244519,150 Salem Church Road 17011,,,17011,,,,,6/25/2016,150 Salem Church Road 17011,17011,Identity Theft
,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,,,17011,,,,,3/7/2016,0,17011,Identity Theft
"150 Bryce Rd, Hampden Twp, Pennsylvania, 17011",Hampden Twp,Cumberland,Pennsylvania,17011,-76.962126,40.253946,-76.962241,40.254130,-76.963126,-76.961126,40.252946,40.254946,150 Bryce Road 17011,,,17011,,,,,4/22/2015,150 Bryce Road 17011,17011,Identity Theft
"150 St Johns Church Rd, Hampden Twp, Pennsylvania, 17011",Hampden Twp,Cumberland,Pennsylvania,17011,-76.959702,40.236459,-76.959702,40.236459,-76.960702,-76.958702,40.235459,40.237459,150 St Johns Church Road 17011,,,17011,,,,,4/16/2015,150 St Johns Church Road 17011,17011,Identity Theft
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.937391,40.239519,-76.937391,40.239519,-76.942391,-76.932391,40.234519,40.244519,150 Salem Church Road 17011,,,17011,,,,,3/20/2015,150 Salem Church Road 17011,17011,Prohibited Acts; Penalties
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.937391,40.239519,-76.937391,40.239519,-76.942391,-76.932391,40.234519,40.244519,150 S Sporting Hill Road 17011,,,17011,,,,,8/13/2016,150 S Sporting Hill Road 17011,17011,Prohibited Acts; Penalties
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.937391,40.239519,-76.937391,40.239519,-76.942391,-76.932391,40.234519,40.244519,150 S Sporting Hill Road 17011,,,17011,,,,,10/4/2015,150 S Sporting Hill Road 17011,17011,Prohibited Acts; Penalties
"150 Maple Ave, Hampden Twp, Pennsylvania, 17011",Hampden Twp,Cumberland,Pennsylvania,17011,-76.954447,40.235352,-76.954447,40.235352,-76.955447,-76.953447,40.234352,40.236352,150 Maple Avenue 17011,,,17011,,,,,6/24/2016,150 Maple Avenue 17011,17011,Simple Assault
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.937391,40.239519,-76.937391,40.239519,-76.942391,-76.932391,40.234519,40.244519,150 S Sporting Hill Road 17011,,,17011,,,,,11/6/2015,150 S Sporting Hill Road 17011,17011,Simple Assault
