ID,Address,City,State,ZIP
1,150 Hampden Avenue 17011,Hampden Twp,PA,17011
2,150 Louisa Lane 17011,Camp Hill,PA,17011
3,150 Louisa Lane 17011,Camp Hill,PA,17011
4,150 South Sporting Hill Road 17011,Camp Hill,PA,17011
5,150 Maple Avenue 17011,Hampden Twp,PA,17011
6,150 Maple Avenue 17011,Hampden Twp,PA,17011
7,150 Salem Church Road 17011,Camp Hill,PA,17011
8,150 Salem Church Road 17011,Camp Hill,PA,17011
9,150 S Sporting Hill Road 17011,Camp Hill,PA,17011
10,150 Gateway Drive 17011,Camp Hill,PA,17011
11,150 South Sporting Hill Road 17011,Camp Hill,PA,17011
12,150 Lighthouse Drive 17011,Camp Hill,PA,17011
13,150 Lynnwood Court 17011,Hampden Twp,PA,17011
14,150 Salem Church Road 17011,Camp Hill,PA,17011
15,0,,PA,
16,150 Bryce Road 17011,Hampden Twp,PA,17011
17,150 St Johns Church Road 17011,Hampden Twp,PA,17011
18,150 Salem Church Road 17011,Camp Hill,PA,17011
19,150 S Sporting Hill Road 17011,Camp Hill,PA,17011
20,150 S Sporting Hill Road 17011,Camp Hill,PA,17011
21,150 Maple Avenue 17011,Hampden Twp,PA,17011
22,150 S Sporting Hill Road 17011,Camp Hill,PA,17011
23,150 Maple Avenue 17011,Hampden Twp,PA,17011
24,150 West Clearview Drive 17011,Hampden Twp,PA,17011
25,150 North Sporting Hill Road 17011,Camp Hill,PA,17011
26,150 N 36th Street 17011,Hampden Twp,PA,17011
27,150 Gateway Drive 17011,Camp Hill,PA,17011
28,150 Salem Church Road 17011,Camp Hill,PA,17011
29,150 Conodoguinet Avenue 17011,Hampden Twp,PA,17011
30,250 Salem Church Road 17011,Camp Hill,PA,17011
31,250 Salem Church Road 17011,Camp Hill,PA,17011
32,250 St Johns Church Road 17011,Hampden Twp,PA,17011
33,250 Lambs Gap Road 17011,Camp Hill,PA,17011
34,250 Hillcrest Road 17011,Hampden Twp,PA,17011
35,250 St James Court 17011,Camp Hill,PA,17011
36,250 Salem Church Road 17011,Camp Hill,PA,17011
37,250 Orrs Bridge Road 17011,Hampden Twp,PA,17011
38,250 St Johns Church Road 17011,Hampden Twp,PA,17011
39,250 Lambs Gap Road 17011,Camp Hill,PA,17011
40,250 Silver Spring Road 17011,Camp Hill,PA,17011
41,250 Fox Drive 17011,Camp Hill,PA,17011
42,250 Cherokee Drive 17011,Lower Allen Twp,PA,17011
43,250 Indian Creek Drive 17011,Camp Hill,PA,17011
44,250 Silver Spring Road 17011,Camp Hill,PA,17011
45,250 Silver Spring Road 17011,Camp Hill,PA,17011
46,250 Lambs Gap Road 17011,Camp Hill,PA,17011
47,250 South Sporting Hill Road 17011,Camp Hill,PA,17011
48,250 Hillcrest Road 17011,Hampden Twp,PA,17011
49,250 Lambs Gap Road 17011,Camp Hill,PA,17011
50,250 Old Silver Spring Road 17011,Camp Hill,PA,17011
51,250 Lambs Gap Road 17011,Camp Hill,PA,17011
52,250 Northgate Drive 17011,Hampden Twp,PA,17011
53,250 Salem Church Road 17011,Camp Hill,PA,17011
54,250 St Johns Drive 17011,Hampden Twp,PA,17011
55,250 Gull Court 17011,Camp Hill,PA,17011
56,250 Lamp Post Lane 17011,Hampden Twp,PA,17011
57,250 St Johns Church Road 17011,Hampden Twp,PA,17011
58,250 Maple Avenue 17011,Hampden Twp,PA,17011
59,350 Virginia Road 17011,Camp Hill,PA,17011
60,350 Raven Court 17011,Camp Hill,PA,17011
61,350 Silver Spring Road 17011,Camp Hill,PA,17011
62,350 Sheely Lane 17011,Camp Hill,PA,17011
63,350 Hempt Drive 17011,Camp Hill,PA,17011
64,350 Hempt Drive 17011,Camp Hill,PA,17011
