Match_addr,City,Subregion,Region,Postal
ID,Address,City,State,ZIP
999,5401 Carlisle Pike (Park Inn) 17011,Camp Hill,PA,17011
1000,5401 Carlisle Pike (Blarney?ÇÖs) 17011,Camp Hill,PA,17011
1001,5401 Carlisle Pike (Park Inn) 17011,Camp Hill,PA,17011
1002,5401 Carlisle Pike (Park Inn) 17011,Camp Hill,PA,17011
1003,5401 Carlisle Pike (Park Inn) 17011,Camp Hill,PA,17011
1004,5401 Carlisle Pike (Park Inn) 17011,Camp Hill,PA,17011
1005,5401 Carlisle Pike (Park Inn) 17011,Camp Hill,PA,17011
1006,5401 Carlisle Pike (Park Inn) 17011,Camp Hill,PA,17011
1007,5401 Carlisle Pike (Blarneys) 17011,Camp Hill,PA,17011
1008,5401 Carlisle Pike (Avis Rental) 17011,Camp Hill,PA,17011
1009,5401 Carlisle Pike (AVIS Rental) 17011,Camp Hill,PA,17011
1010,5401 Carlisle Pike (AVIS Rental) 17011,Camp Hill,PA,17011
1011,5411 Carlisle Pike (T-Mobile) 17011,Camp Hill,PA,17011
1012,5470 Carlisle Pike (Carabbas) 17011,Camp Hill,PA,17011
1013,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1014,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1015,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1016,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1017,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1018,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1019,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1020,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1021,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1022,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1023,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1024,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1025,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1026,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1027,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1028,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1029,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1030,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1031,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1032,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1033,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1034,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1035,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1036,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1037,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1038,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1039,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1040,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1041,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1042,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1043,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1044,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1045,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1046,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1047,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1048,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1049,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1050,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1051,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1052,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1053,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1054,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1055,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1056,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1057,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1058,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1059,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1060,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1061,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1062,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1063,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1064,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1065,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1066,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1067,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1068,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1069,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1070,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1071,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1072,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1073,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1074,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1075,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1076,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1077,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1078,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1079,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1080,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1081,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1082,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1083,5500 Carlisle Pike (Lowes) 17011,Camp Hill,PA,17011
1084,5505 Carlisle Pike (Denny?ÇÖs) 17011,Camp Hill,PA,17011
1085,5505 Carlisle Pike (Dennys) 17011,Camp Hill,PA,17011
1086,5510 Carlisle Pike (Evergreen) 17011,,PA,5510
1087,5520 Carlisle Pike (Sunoco) 17011,Camp Hill,PA,17011
1088,5520 Carlisle Pike (Sunoco) 17011,Camp Hill,PA,17011
1089,5520 Carlisle Pike (Sunoco A+) 17011,Camp Hill,PA,17011
1090,5528 Carlisle Pike (M&T Bank) 17011,Camp Hill,PA,17011
1091,5528 Carlisle Pike (M&T Bank) 17011,Camp Hill,PA,17011
1092,5528 Carlisle Pike (M&T Bank) 17011,Camp Hill,PA,17011
1093,5528 Carlisle Pike (M&T Bank) 17011,Camp Hill,PA,17011
1094,5550 Carlisle Pike (McDonalds) 17011,Camp Hill,PA,17011
1095,5550 Carlisle Pike (McDonalds) 17011,Camp Hill,PA,17011
1096,5600 Carlisle Pike (Kmart) 17011,Camp Hill,PA,17011
1097,5600 Carlisle Pike (Kmart) 17011,Camp Hill,PA,17011
1098,5600 Carlisle Pike (Kmart) 17011,Camp Hill,PA,17011
1099,5600 Carlisle Pike (Kmart) 17011,Camp Hill,PA,17011
1100,5600 Carlisle Pike (Kmart) 17011,Camp Hill,PA,17011
1101,5600 Carlisle Pike (Kmart) 17011,Camp Hill,PA,17011
1102,5600 Carlisle Pike (Kmart) 17011,Camp Hill,PA,17011
1103,5600 Carlisle Pike (Kmart) 17011,Camp Hill,PA,17011
1104,5600 Carlisle Pike (Kmart) 17011,Camp Hill,PA,17011
1105,5600 Carlisle Pike (Kmart) 17011,Camp Hill,PA,17011
1106,5600 Carlisle Pike (Kmart) 17011,Camp Hill,PA,17011
1107,5600 Carlisle Pike (Kmart) 17011,Camp Hill,PA,17011
1108,5600 Carlisle Pike (Kmart) 17011,Camp Hill,PA,17011
1109,5600 Carlisle Pike (Kmart) 17011,Camp Hill,PA,17011
1110,5800 Carlisle Pike (HH Gregg) 17011,Camp Hill,PA,17011
1111,5800 Carlisle Pike (HHGregg) 17011,Camp Hill,PA,17011
1112,5800 Carlisle Pike (HHGregg) 17011,Camp Hill,PA,17011
1113,5850 Carlisle Pike (Staples) 17011,Camp Hill,PA,17011
1114,5900 Carlisle Pike (Dicks Sporting Goods) 17011,Camp Hill,PA,17011
1115,5900 Carlisle Pike (PetSmart) 17011,Camp Hill,PA,17011
1116,6000 Carlisle Pike (Home Depot) 17011,Hampden Twp,PA,17011
1117,6000 Carlisle Pike (Home Depot) 17011,Hampden Twp,PA,17011
1118,6005 Carlisle Pike (Radio Shack) 17011,Camp Hill,PA,17011
1119,6023 Carlisle Pike (Auto Zone) 17011,Camp Hill,PA,17011
1120,6035 Carlisle Pike (Your Place) 17011,Camp Hill,PA,17011
1121,6035 Carlisle Pike (Your Place) 17011,Camp Hill,PA,17011
1122,6039 Carlisle Pike (Brenner) 17011,Camp Hill,PA,17011
1123,6039 Carlisle Pike 17011,Hampden Twp,PA,17011
1124,6039 Carlisle Pike (Brenner Chrysler Jeep) 17011,Camp Hill,PA,17011
1125,6040 Carlisle Pike (Ollies) 17011,Camp Hill,PA,17011
1126,6045 Carlisle Pike (Monro Muffler) 17011,Camp Hill,PA,17011
