"","Null","FIDxGRP","Effect","se","t","p","LLCI","ULCI"
"1",NA,0,0.1507,0.1621,0.9301,0.3534,-0.1687,0.4702
"2",NA,0.25,0.2324,0.1651,1.4081,0.1606,-0.093,0.5578
"3",NA,0.5,0.3142,0.1738,1.8076,0.0721,-0.0284,0.6568
"4",NA,0.6247,0.3549,0.18,1.9713,0.05,0,0.7098
"5",NA,0.75,0.3959,0.1874,2.112,0.0359,0.0264,0.7653
"6",NA,1,0.4776,0.205,2.3296,0.0208,0.0735,0.8817
"7",NA,1.25,0.5593,0.2256,2.4792,0.014,0.1146,1.004
"8",NA,1.5,0.641,0.2485,2.5799,0.0106,0.1512,1.1308
"9",NA,1.75,0.7227,0.273,2.6472,0.0087,0.1845,1.2609
"10",NA,2,0.8044,0.2989,2.6917,0.0077,0.2153,1.3935
"11",NA,2.25,0.8861,0.3257,2.721,0.0071,0.2441,1.5281
"12",NA,2.5,0.9678,0.3532,2.7399,0.0067,0.2715,1.6642
"13",NA,2.75,1.0495,0.3814,2.7518,0.0064,0.2977,1.8014
"14",NA,3,1.1313,0.41,2.759,0.0063,0.323,1.9395
"15",NA,3.25,1.213,0.439,2.7628,0.0062,0.3475,2.0784
"16",NA,3.5,1.2947,0.4683,2.7644,0.0062,0.3714,2.2179
"17",NA,3.75,1.3764,0.4979,2.7643,0.0062,0.3949,2.3579
"18",NA,4,1.4581,0.5277,2.7632,0.0062,0.4179,2.4983
"19",NA,4.25,1.5398,0.5576,2.7613,0.0063,0.4405,2.6391
"20",NA,4.5,1.6215,0.5877,2.7589,0.0063,0.4629,2.7801
"21",NA,4.75,1.7032,0.618,2.7561,0.0064,0.485,2.9214
"22",NA,5,1.7849,0.6483,2.7532,0.0064,0.5069,3.0629
