NCESSCH,USER_ID,cohort,cohort2,ZPR_1,FIDELmid,EFFmeanMID,EFFmeanFINAL,CoTeachStrat,keep3strat,keep4strat,FidelMax,female,REG_AgeRange,REG_Exper,REG_GPA,pctLunch,Enrollment
422583001738,Ali,Semester 3 Control,0,-.944487522704594,3.81818181818182,3,3.5,0,1,1,4,1,1,2,3.9,.259668508287293,181
422583001736,410,Semester 4,1,-.209984188535618,4.54545454545455,3.33333333333333,3.91666666666667,3,1,0,4.83333333333333,1,2,2,3.5,.271457085828343,501
422583001735,Ama,Semester 3 Control,0,.2758184639527,4.72727272727273,3.5,3.33333333333333,0,1,1,4.08333333333333,1,1,1,3.7,.284210526315789,190
422583001734,Meg,Semester 1 Control,0, ,-9, ,3.58333333333333,0,1,1, , ,-88,-88,-88,.442622950819672,427
422583001716,Reb,Semester 3 Control,0,.0921926304104553,3.63636363636364,3.41666666666667,3.5,0,1,1,4.91666666666667,1,1,1,3.8,.383986928104575,612
422574004920,Bob,Semester 1 Control,0,1.21778602257838,-9,3.83333333333333,4,0,1,1, ,1,3,1,4,.475961538461538,416
422436009967,Mic,Semester 3 Control,0,-.944487522704594,3.36363636363636,3,3.58333333333333,0,1,1,5,1,3,1,3.9,.439655172413793,464
422304006608,409,Semester 4,1,-.820137181864264,4.72727272727273,3.08333333333333,3.66666666666667,4,1,1,5,1,2,3,3.6,.375370919881306,674
422304006608,408,Semester 4,1,-1.1577511025978,3.90909090909091,2.91666666666667,3.5,5,1,1,4.08333333333333,1,2,1,3.9,.375370919881306,674
422280001801,440,Semester 4,1,-.820137181864264,4.54545454545455,3.08333333333333,3.16666666666667,3,1,0,4.66666666666667,0,5,1,3.6,.730418943533698,549
422280001799,267,Semester 2,1,1.38659298294514,4.63636363636364,3.91666666666667,3.66666666666667,3,1,0,4.41666666666667,0,1,2,3.85,.83459595959596,792
422280001799,333,Semester 3,1,.305456210303657,4.18181818181818,3.5,3.75,4,1,1,4.41666666666667,1,2,1,3.8,.83459595959596,792
422280001799,584,Semester 5,1,-.790499435513307,4.45454545454545,3.08333333333333,3,4,1,1,4.83333333333333,1,2,4,3.7,.83459595959596,792
422280001799,583,Semester 5,1,.429806551143986,4.90909090909091,3.58333333333333,3.91666666666667,6,1,1,4.91666666666667,1,2,3,3.5,.83459595959596,792
422205006853,407,Semester 4,1,-.974125269055551,4.09090909090909,3,3.41666666666667,4,1,1,4.58333333333333,1,1,1,3.8,.201320132013201,303
422205001730,571,Semester 5,1,.761621116441017,4.90909090909091,3.66666666666667,4,3,1,0,4.91666666666667,0,2,3,3.9,.199706314243759,681
422205000455,406,Semester 4,1,-.517960362918191,4,3.16666666666667,3.58333333333333,3,1,0,4.08333333333333,1,1,1,3.9,.165668662674651,501
422157006120,379,Semester 3,1,.0092069406277744,5,3.41666666666667,4,5,1,1,4.16666666666667,1,2,3,3.52,.426326129666012,509
422010007500,385,Semester 3,1,1.00452244268518,5,3.75,3.75,6,1,1,5,1,2,1,4,59.864,80
422010007500,574,Semester 5,1,.909681654362112,4.90909090909091,3.75,3.66666666666667,5,1,1,4.83333333333333,1,2,3,3.68,59.864,80
422010007500,567,Semester 5,1,.216542971250785,4.63636363636364,3.5,3.91666666666667,4,1,1,4.83333333333333,1,2,3,3.5,59.864,80
421914003909,Let,Semester 1 Control,0, ,-9, ,4,0,1,1, , ,-88,-88,-88,.404354587869362,643
421899005041,194,Semester 2,1,.826695964579431,4.63636363636364,3.75,3.5,5,1,1,5,1,2,1,3.4,.461538461538462,520
421899005041,289,Semester 3,1,.577995282898774,4.81818181818182,3.58333333333333,3.75,4,1,1,5,1,2,1,4,.461538461538462,520
421899005041,291,Semester 3,1,.0921926304104553,4,3.41666666666667,3.91666666666667,7,1,1,5,1,2,3,3.8,.461538461538462,520
421899005041,288,Semester 3,1,.779403764251591,4.90909090909091,3.66666666666667,4,3,1,0,5,1,2,1,3.96,.461538461538462,520
421899005041,394,Semester 4,1,-1.40065242884195,4.63636363636364,2.83333333333333,4,7,1,1,5,1,1,2,3.8,.461538461538462,520
421899004727,Sar,Semester 3 Control,0,-1.00376301540651,4.54545454545455,3,4,0,1,1,4.33333333333333,1,1,1,3.7,50.869,1028
421899004727,Jil,Semester 5 Control,0,-.731223942811392,5,3.08333333333333,3.91666666666667,0,1,1,5,1,2,3,3.9,50.869,1028
421899004727,Lau,Semester 5 Control,0,.459444297494944,5,3.58333333333333,3.91666666666667,0,1,1,4.08333333333333,1,2,1,3.6,50.869,1028
421899003803,464,Semester 5,1,1.55539994331191,5,4,4,4,1,1,5,1,1,1,3.7,.530577088716624,1161
421899003773,Eri,Semester 4 Control,0,1.00452244268518,4.90909090909091,3.75,3.66666666666667,0,1,1,4.91666666666667,1,2,3,4,.867269984917044,1326
421899003770,Jua,Semester 1 Control,0,.305456210303657,-9,3.5,3.5,0,1,1, ,0,2,1,3.8,.826989619377163,1156
421899003769,Chr,Semester 2,1,-1.06303850810842,5,3,4,5,1,1,5,0,2,1,3.5,.65666372462489,1133
421899003769,196,Semester 2,1,-.275059036674032,4.90909090909091,3.25,4,4,1,1,5,1,5,1,4,.65666372462489,1133
421899003769,324,Semester 3,1,.302492435668561,3.45454545454545,3.5,3.66666666666667,3,1,0,4.66666666666667,1,1,1,3.79,.65666372462489,1133
421899003769,392,Semester 4,1,.2758184639527,4.63636363636364,3.5,4,4,1,1,5,1,2,1,3.7,.65666372462489,1133
421899003769,474,Semester 5,1,.364731703005572,3.90909090909091,3.5,3.83333333333333,3,1,0,5,1,1,3,4,.65666372462489,1133
421899003769,473,Semester 5,1,-.275059036674032,4.09090909090909,3.25,4,3,1,0,5,1,2,1,4,.65666372462489,1133
421899003765,Kel,Semester 3 Control,0,.0921926304104553,4.72727272727273,3.41666666666667,3.83333333333333,0,1,1,5,1,1,1,3.8,.58296943231441,458
421899003760,Chr,Semester 1 Control,0, ,-9, ,4,0,1,1, , ,-88,-88,-88,.544897959183673,490
421899003760,470,Semester 5,1,.489082043845901,4.63636363636364,3.58333333333333,3.5,3,1,0,4.75,1,1,1,3.7,.544897959183673,490
421899003760,471,Semester 5,1,-.760861689162349,4.81818181818182,3.08333333333333,3.75,4,1,1,4.91666666666667,1,2,1,3.8,.544897959183673,490
421899003744,284,Semester 3,1,1.40141185612062,5,3.91666666666667,4,4,1,1,5,1,4,4,3.9,1.15198863636364,704
421899003744,395,Semester 4,1,-.488322616567234,4.72727272727273,3.16666666666667,3.75,4,1,1,5,1,4,1,4,1.15198863636364,704
421899003744,Dex,Semester 4 Control,0,1.49612445060999,2.72727272727273,4,4,0,1,1,4.58333333333333,0,5,3,3.5,1.15198863636364,704
421884004853,Jes,Semester 2 Control,0, ,-9, ,3.25,0,1,1, , ,-88,-88,-88,.0496323529411765,544
421884001106,Dev,Semester 5 Control,0,-.701586196460434,5,3.08333333333333,3.83333333333333,0,1,1,4.41666666666667,1,2,1,4,20.588,418
421839002761,Ale,Semester 1 Control,0, ,-9, ,4,0,1,1, , ,-88,-88,-88,.217910447761194,335
