NCESSCH,USER_ID,TreatmentFlag,FIDELmid,EFFmeanMID,EFFmeanFINAL,FINAL_a,FINAL_b,FINAL_c,MID_a,MID_b,MID_c,REG_a,REG_b,REG_c,CollabDialogueFinal,CollabDialogueMid,FidelMax,REG_Gender,REG_AgeRange,REG_Exper,REG_GPA,ZPR_1,FIDxGRP
428009007050,Ang,0,2.72727272727273,3.58333333333333, , , , ,3.5,3.5,3.75, , , , ,2.1, ,2,2,1,3,.64164018550865,0
422583001738,Ali,0,3.81818181818182,3,3.5,3.25,3.75,3.5,3.25,3.25,2.5, , , ,3.4,2.6,4,2,1,2,3.9,-.855520247344866,0
422583001736,410,1,4.54545454545455,3.33333333333333,3.91666666666667,4,4,3.75,3.25,3.5,3.25,3,3.25,3,1,2.3,4.83333333333333,2,2,2,3.5,7.15904574140093E-016,4.54545454545455
422583001735,Ama,0,4.72727272727273,3.5,3.33333333333333,3.25,3.5,3.25,3.25,3.5,3.75, , , ,1.9,1.9,4.08333333333333,2,1,1,3.7,.427760123672433,0
422583001732,417,1,4.72727272727273,2.83333333333333,2.83333333333333,3,3,2.5,3.5,2.25,2.75,4,2.75,2.5,2.3,2.1,4.75,1,2,1,3.2,-1.2832803710173,4.72727272727273
422583001732,418,1,3.54545454545455,2.16666666666667,3,3.5,2.5,3,2.5,2,2,3,2.25,2.25,3.4,3.6,3.66666666666667,1,2,1,3.1,-2.99432086570703,3.54545454545455
422583001716,Reb,0,3.63636363636364,3.41666666666667,3.5,3.75,3.5,3.25,3.5,3.5,3.25, , , ,2.8,2.8,4.91666666666667,2,1,1,3.8,.213880061836217,0
422436009967,Mic,0,3.36363636363636,3,3.58333333333333,3.5,3.75,3.5,2.75,3,3.25, , , ,2,1.2,5,2,3,1,3.9,-.855520247344866,0
422304006608,409,1,4.72727272727273,3.08333333333333,3.66666666666667,3.5,4,3.5,3,3.25,3,3,2.75,3.25,2.2,2.2,5,2,2,3,3.6,-.641640185508649,4.72727272727273
422304006608,408,1,3.90909090909091,2.91666666666667,3.5,3.5,3.75,3.25,2.5,3,3.25,3.5,3,3.25,2.3,2.6,4.08333333333333,2,2,1,3.9,-1.06940030918108,3.90909090909091
422304006608,499,1,5,3.58333333333333,3.75,3.5,3.75,4,3.75,3.25,3.75,3,3,3.75,2,1.4,4,2,2,2,3.9,.64164018550865,5
422304006608,505,1,3,3.33333333333333, , , , ,3.25,4,2.75,2.75,2.75,2.75, ,2.7, ,2,1,1,3.8,7.15904574140093E-016,3
422304000052,503,1,4.18181818181818,2.91666666666667, , , , ,3,2.75,3,2.75,3,3, ,1.9, ,1,2,2,3.9,-1.06940030918108,4.18181818181818
422280001801,440,1,4.54545454545455,3.08333333333333,3.16666666666667,3.5,3,3,3.5,3,2.75,3.25,2.5,2.25,1.1,1.6,4.66666666666667,1,5,1,3.6,-.641640185508649,4.54545454545455
422280001801,576,1,4.45454545454545,2.83333333333333,3.33333333333333,3.5,3.25,3.25,3,2.75,2.75,3,3,3.25,1.7,1.7,4.41666666666667,1,3,1,3.9,-1.2832803710173,4.45454545454545
422280001801,562,1,3.72727272727273,3.08333333333333,3.41666666666667,3.75,3.5,3,3.25,2.75,3.25,3,3,3,2.6,3.1,4.41666666666667,2,4,1,3.8,-.641640185508649,3.72727272727273
422280001799,267,1,4.63636363636364,3.91666666666667,3.66666666666667,4,3,4,4,4,3.75,4,4,3.75,1.5,2,4.41666666666667,1,1,2,3.85,1.49716043285352,4.63636363636364
422280001799,333,1,4.18181818181818,3.5,3.75,3.75,3.75,3.75,3.5,3,4,3,2.25,2.5,2,2.2,4.41666666666667,2,2,1,3.8,.427760123672433,4.18181818181818
422280001799,382,1,4,3.33333333333333, , , , ,3.5,3,3.5,3.25,3,3.5, ,2.7, ,2,1,2,3.7,7.15904574140093E-016,4
