b1,b1b,fipst,BurnoutTotal_mean,CountyName,PerBurn_mean,ChallSum_mean,N_responses
4,3.8,42003,2.84210526315789,ALLEGHENY,51,4.6,5
3,3,42007,2.63157894736842,BEAVER,55,4,1
3,2.5,42011,2.97368421052632,BERKS,42.5,7,2
4,4,42021,2.05555555555556,CAMBRIA,25,2,1
4,4,42023,4,CAMERON,100,6,1
2.75,3.25,42029,2.27631578947368,CHESTER,45,6,4
4,4,42033,2.10526315789474,CLEARFIELD,30,8,1
3.4,2.8,42037,2.8,COLUMBIA,53,6.8,5
4,4,42039,2.78947368421053,CRAWFORD,30, ,1
3.4,3.4,42041,2.98947368421053,CUMBERLAND,62,5.8,5
3.275,3.125,42043,2.79122807017544,DAUPHIN,57.5,5.46153846153846,40
4,3,42045,3.10526315789474,DELAWARE,67.5,2.5,2
3,2,42049,4.21052631578947,ERIE,100,5,1
4,4,42051,2.73684210526316,FAYETTE,50,8,1
2.36363636363636,2,42055,3.32535885167464,FRANKLIN,67.7272727272727,5.8,11
3.54545454545455,3.45454545454545,42061,2.75730994152047,HUNTINGDON,52.2727272727273,3.72727272727273,11
4,4,42063,2.74853801169591,INDIANA,51.1111111111111,5.33333333333333,9
3.5,3.57142857142857,42067,2.58646616541353,JUNIATA,47.5,4.84615384615385,14
3.42857142857143,2.71428571428571,42069,2.75146198830409,LACKAWANNA,50,5.42857142857143,7
3,3,42073,2.70175438596491,LAWRENCE,51.6666666666667,7,3
3,2,42075,2.78947368421053,LEBANON,60,4,2
4,4,42085,2.89473684210526,MERCER,45,7,1
4,3.66666666666667,42091,2.43859649122807,MONTGOMERY,47.5,4.25,6
3.5,3,42101,2.63157894736842,PHILADELPHIA,45,4.33333333333333,4
3,3,42105,2.31578947368421,POTTER,55,3,1
4,4,42109,2.57894736842105,SNYDER,40,4,1
3.21428571428571,2.85714285714286,42111,2.99624060150376,SOMERSET,60,5,14
4,4,42117,2.73684210526316,TIOGA,45,8,1
4,4,42119,3.73684210526316,UNION,75,8,1
4,4,42121,1.84210526315789,VENANGO,35,2,1
4,4,42123,1.63157894736842,WARREN,25,8,1
3,2.5,42129,2.78947368421053,WESTMORELAND,50,7,2
4,4,42133,2.76315789473684,YORK,52.5,7.5,2
