AUN,SchoolNumber,aun2,LEAName,SchoolName,ReadingPctProf1314,EconDisadv,DataElement.1,DataElement.2,DataElement.3,DataElement.4,DataElement.5,DataElement.6,DataElement.7,DataElement.8,Attendance1314,GradRate1314,Academic1314,Grade3Read1314,MathPctProf1314,Reading1314,SciBio1314,NumBlack,DropRate,PctELL,NumFemale,SURVYEAR,NCESSCH,STID,SEASCH,FIPST,LEAID,SCHNO,LEANM,SCHNAM,PHONE,MSTREE,MCITY,MSTATE,MZIP,MZIP4,LSTREE,LCITY,LSTATE,LZIP,LZIP4,TYPE,STATUS,UNION,ULOCAL,LATCOD,LONCOD,CONUM,CONAME,CDCODE,BIES,RECONSTY,RECONSTF,SMEMPUP,ISMEMPUP,SFTEPUP,ISFTEPUP,SFLE,ISFLE,SPFEMALE,ISPFEMALE,SPWHITE,ISPWHITE,SPELM,ISPELM,FTE,GSLO,GSHI,PKOFFRD,KGOFFRD,G01OFFRD,G02OFFRD,G03OFFRD,G04OFFRD,G05OFFRD,G06OFFRD,G07OFFRD,G08OFFRD,G09OFFRD,G10OFFRD,G11OFFRD,G12OFFRD,UGOFFRD,LEVEL,TITLEISTAT,TITLEI,STITLI,MAGNET,CHARTR,SHARED,FRELCH,REDLCH,TOTFRL,PK,AMPKM,AMPKF,ASPKM,ASPKF,HIPKM,HIPKF,BLPKM,BLPKF,WHPKM,WHPKF,HPPKM,HPPKF,TRPKM,TRPKF,KG,AMKGM,AMKGF,ASKGM,ASKGF,HIKGM,HIKGF,BLKGM,BLKGF,WHKGM,WHKGF,HPKGM,HPKGF,TRKGM,TRKGF,G01,AM01M,AM01F,AS01M,AS01F,HI01M,HI01F,BL01M,BL01F,WH01M,WH01F,HP01M,HP01F,TR01M,TR01F,G02,AM02M,AM02F,AS02M,AS02F,HI02M,HI02F,BL02M,BL02F,WH02M,WH02F,HP02M,HP02F,TR02M,TR02F,G03,AM03M,AM03F,AS03M,AS03F,HI03M,HI03F,BL03M,BL03F,WH03M,WH03F,HP03M,HP03F,TR03M,TR03F,G04,AM04M,AM04F,AS04M,AS04F,HI04M,HI04F,BL04M,BL04F,WH04M,WH04F,HP04M,HP04F,TR04M,TR04F,G05,AM05M,AM05F,AS05M,AS05F,HI05M,HI05F,BL05M,BL05F,WH05M,WH05F,HP05M,HP05F,TR05M,TR05F,G06,AM06M,AM06F,AS06M,AS06F,HI06M,HI06F,BL06M,BL06F,WH06M,WH06F,HP06M,HP06F,TR06M,TR06F,G07,AM07M,AM07F,AS07M,AS07F,HI07M,HI07F,BL07M,BL07F,WH07M,WH07F,HP07M,HP07F,TR07M,TR07F,G08,AM08M,AM08F,AS08M,AS08F,HI08M,HI08F,BL08M,BL08F,WH08M,WH08F,HP08M,HP08F,TR08M,TR08F,G09,AM09M,AM09F,AS09M,AS09F,HI09M,HI09F,BL09M,BL09F,WH09M,WH09F,HP09M,HP09F,TR09M,TR09F,G10,AM10M,AM10F,AS10M,AS10F,HI10M,HI10F,BL10M,BL10F,WH10M,WH10F,HP10M,HP10F,TR10M,TR10F,G11,AM11M,AM11F,AS11M,AS11F,HI11M,HI11F,BL11M,BL11F,WH11M,WH11F,HP11M,HP11F,TR11M,TR11F,G12,AM12M,AM12F,AS12M,AS12F,HI12M,HI12F,BL12M,BL12F,WH12M,WH12F,HP12M,HP12F,TR12M,TR12F,UG,AMUGM,AMUGF,ASUGM,ASUGF,HIUGM,HIUGF,BLUGM,BLUGF,WHUGM,WHUGF,HPUGM,HPUGF,TRUGM,TRUGF,MEMBER,AM,AMALM,AMALF,ASIAN,ASALM,ASALF,HISP,HIALM,HIALF,BLACK,BLALM,BLALF,WHITE,WHALM,WHALF,PACIFIC,HPALM,HPALF,TR,TRALM,TRALF,TOTETH,VIRTUALSTAT,NSLPSTATUS,CHARTAUTH1,CHARTAUTH2,list,schNames,cs,schSize,hs,poorest
103022503,7908,1030225037908,Duquesne City SD,DUQUESNE EL SCH, ,100,Attendance Rate,Cohort Graduation Rate,Final Academic Score,Grade 3 Reading - Percent Proficient or Advanced on PSSA,Mathematics/Algebra I - Percent Proficient or Advanced on PSSA/Keystone Exam,Percent 3 or Higher on any AP Exam or 4 or Higher on any IB Exam,Reading/Literature - Percent Proficient or Advanced on PSSA/Keystone Exam,Science/Biology - Percent Proficient or Advanced on PSSA/Keystone,86.71,NA,51.8,17.07,23.36,18.25,38.89,72.95,Not Applicable,0,50.55,2013,420801000924,103022503,7908,42,4208010,00924,DUQUESNE CITY SD,DUQUESNE EL SCH,4124665300,300 KENNEDY AVENUE,DUQUESNE,PA,15110, ,300 KENNEDY AVE,DUQUESNE,PA,15110, ,1,1,000,21,40.372,-79.8482,42003,ALLEGHENY COUNTY,4214,2,2012,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,27,KG,06,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,5,1,1,2,2,2,363,0,363,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,71,1,2,0,0,0,0,24,32,4,2,0,0,4,2,78,1,2,0,0,1,0,27,27,5,4,0,0,8,3,61,1,0,0,0,1,1,19,25,2,5,0,0,4,3,48,0,2,0,0,1,0,17,14,5,3,0,0,4,2,36,0,0,0,0,0,1,16,11,0,3,0,0,0,5,38,0,0,0,0,0,2,12,17,1,2,0,0,4,0,34,0,0,0,0,1,0,12,14,3,1,0,0,3,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,366,9,3,6,0,0,0,8,4,4,267,127,140,40,20,20,0,0,0,42,27,15,366,VIRTUALNO,NSLPPRO2,N,N,0, ,0,2, ,1
104432503,7119,1044325037119,Farrell Area SD,FARRELL AREA ES/LMS, ,100,Attendance Rate,Cohort Graduation Rate,Final Academic Score,Grade 3 Reading - Percent Proficient or Advanced on PSSA,Mathematics/Algebra I - Percent Proficient or Advanced on PSSA/Keystone Exam,Percent 3 or Higher on any AP Exam or 4 or Higher on any IB Exam,Reading/Literature - Percent Proficient or Advanced on PSSA/Keystone Exam,Science/Biology - Percent Proficient or Advanced on PSSA/Keystone,94.65,NA,54.6,39.66,46.58,30.47,44.44,83.49,Not Applicable,0,49.08,2013,420969007143,104432503,7119,42,4209690,07143,FARRELL AREA SD,FARRELL AREA ES/LMS,7243466585,1600 ROEMER BLVD,FARRELL,PA,16121,1754,1600 ROEMER BLVD,FARRELL,PA,16121,1754,1,1,000,21,41.2156,-80.4877,42085,MERCER COUNTY,4203,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,35,PK,06,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,5,1,1,2,2,2,433,0,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,1,0,0,0,0,0,26,20,1,8,0,1,0,0,67,0,0,0,0,0,1,26,27,5,8,0,0,0,0,66,0,0,0,0,1,0,29,26,8,2,0,0,0,0,65,1,0,0,0,1,0,27,26,1,9,0,0,0,0,64,0,0,0,0,1,1,32,22,4,4,0,0,0,0,63,0,1,0,0,1,0,20,34,2,5,0,0,0,0,54,0,0,0,0,0,0,31,18,4,1,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,436,3,2,1,0,0,0,6,4,2,364,191,173,62,25,37,1,0,1,0,0,0,436,VIRTUALNO,NSLPNO,N,N,0, ,0,2, ,1
104432903,6125,1044329036125,Grove City Area SD,GEORGE JR REPUBLIC HS,0,100,Attendance Rate,Cohort Graduation Rate,Final Academic Score,Grade 3 Reading - Percent Proficient or Advanced on PSSA,Mathematics/Algebra I - Percent Proficient or Advanced on PSSA/Keystone Exam,Percent 3 or Higher on any AP Exam or 4 or Higher on any IB Exam,Reading/Literature - Percent Proficient or Advanced on PSSA/Keystone Exam,Science/Biology - Percent Proficient or Advanced on PSSA/Keystone,97.79,76.92,55.3,NA, , ,NA,56.6,0,2.54,0,2013,421122006125,104432903,6125,42,4211220,06125,GROVE CITY AREA SD,GEORGE JR REPUBLIC HS,7244589330,233 GEORGE JUNIOR RD,GROVE CITY,PA,16127, ,233 GEORGE JUNIOR RD,GROVE CITY,PA,16127, ,1,1,000,32,41.1663,-80.1108,42085,MERCER COUNTY,4203,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,58.12,09,12,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,3,1,1,2,2,2,2,391,0,391,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,65,0,0,0,0,8,0,38,0,19,0,0,0,0,0,115,0,0,0,0,15,0,62,0,37,0,1,0,0,0,121,0,0,1,0,19,0,70,0,31,0,0,0,0,0,93,0,0,0,0,15,0,53,0,24,0,1,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,394,0,0,0,1,1,0,57,57,0,223,223,0,111,111,0,2,2,0,0,0,0,394,VIRTUALNO,NSLPNO,N,N,0, ,0,2,1,1
126514368,8217,1265143688217,ACT Academy Cyber Charter School,ACT ACADEMY CYBER CS,0,100,Attendance Rate,Cohort Graduation Rate,Final Academic Score,Grade 3 Reading - Percent Proficient or Advanced on PSSA,Mathematics/Algebra I - Percent Proficient or Advanced on PSSA/Keystone Exam,Percent 3 or Higher on any AP Exam or 4 or Higher on any IB Exam,Reading/Literature - Percent Proficient or Advanced on PSSA/Keystone Exam,Science/Biology - Percent Proficient or Advanced on PSSA/Keystone,69.29,2.78,28.9,NA,10.34,20.69,7.14,87.9,0,0,52.87,2013,420086807433,126514368,8217,42,4200868,07433,ACT ACADEMY CYBER CS,ACT ACADEMY CYBER CS,2672976231,2111 EASTBURN AVENUE,PHILADELPHIA,PA,19138, ,2111 EASTBURN AVE,PHILADELPHIA,PA,19138, ,1,1,000,11,40.0561,-75.1559,42101,PHILADELPHIA COUNTY,4202,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,4.25,09,12,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,3,3,1,1,2,1,2,68,14,82,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,29,0,0,0,0,0,0,13,12,2,0,0,1,1,0,45,0,0,0,0,0,0,11,27,3,2,0,0,0,2,49,0,0,0,0,0,0,30,12,1,4,0,0,0,2,34,0,0,0,0,0,0,12,21,0,0,0,0,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,157,0,0,0,0,0,0,0,0,0,138,66,72,12,6,6,1,0,1,6,2,4,157,VIRTUALYES,NSLPNO,999999999,M,0, ,1,1,1,1
126514720,8289,1265147208289,Young Scholars Kenderton CS,YOUNG SCHOLARS KENDERTON CS, ,100,Attendance Rate,Cohort Graduation Rate,Final Academic Score,Grade 3 Reading - Percent Proficient or Advanced on PSSA,Mathematics/Algebra I - Percent Proficient or Advanced on PSSA/Keystone Exam,Percent 3 or Higher on any AP Exam or 4 or Higher on any IB Exam,Reading/Literature - Percent Proficient or Advanced on PSSA/Keystone Exam,Science/Biology - Percent Proficient or Advanced on PSSA/Keystone, ,NA,47.7,31.37,31.97,19.26,21.62,96.89,0,0,47.11,2013,420087707481,126514720,8289,42,4200877,07481,YOUNG SCHOLARS KENDERTON CS,YOUNG SCHOLARS KENDERTON CS,2678383460,1500 W. ONTARIO STREET,PHILADELPHIA,PA,19140, ,1500 WEST ONTARIO ST,PHILADELPHIA,PA,19140, ,1,3,000,11,40.0049,-75.154,42101,PHILADELPHIA COUNTY,4202,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,39,KG,08,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,1,2,447,0,447,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,60,0,0,0,0,0,0,31,27,0,1,0,0,0,1,62,1,0,0,0,0,0,34,27,0,0,0,0,0,0,61,0,0,0,0,1,0,30,29,0,0,0,0,0,1,56,0,0,0,0,1,0,35,20,0,0,0,0,0,0,52,0,0,0,0,0,0,28,20,0,0,0,0,3,1,50,0,0,0,1,1,0,21,27,0,0,0,0,0,0,53,0,0,0,0,0,0,26,25,0,0,0,0,0,2,29,0,0,0,0,0,0,14,15,0,0,0,0,0,0,27,0,0,0,0,0,0,12,15,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,450,1,1,0,1,0,1,3,3,0,436,231,205,1,0,1,0,0,0,8,3,5,450,VIRTUALNO,NSLPNO,126515001,M,0, ,1,2, ,1
126515001,3614,1265150013614,Philadelphia City SD,RHOADS JAMES SCH, ,100,Attendance Rate,Cohort Graduation Rate,Final Academic Score,Grade 3 Reading - Percent Proficient or Advanced on PSSA,Mathematics/Algebra I - Percent Proficient or Advanced on PSSA/Keystone Exam,Percent 3 or Higher on any AP Exam or 4 or Higher on any IB Exam,Reading/Literature - Percent Proficient or Advanced on PSSA/Keystone Exam,Science/Biology - Percent Proficient or Advanced on PSSA/Keystone,89.82,NA,44.7,39.28,27.33,27.92,13.13,92.96,0.34,0,48.24,2013,421899003614,126515001,3614,42,4218990,03614,PHILADELPHIA CITY SD,RHOADS JAMES SCH,2155815504,4901 PARRISH ST,PHILADELPHIA,PA,19139,1721,4901 PARRISH ST,PHILADELPHIA,PA,19139,1721,1,1,000,11,39.9674,-75.2201,42101,PHILADELPHIA COUNTY,4202,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,30.08,KG,08,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,5,1,1,2,2,2,594,0,594,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,74,0,0,0,0,2,1,31,35,0,0,0,0,2,3,85,1,0,0,0,0,0,34,43,0,0,0,0,5,2,78,0,0,0,0,1,0,36,32,1,0,0,0,6,2,68,0,0,0,0,0,0,32,31,1,0,0,0,3,1,69,0,0,0,0,0,2,34,28,0,0,0,0,3,2,53,0,0,0,0,0,0,29,23,0,0,0,0,0,1,64,0,0,0,0,1,0,29,33,0,1,0,0,0,0,60,0,0,0,0,0,0,32,28,0,0,0,0,0,0,46,0,0,0,0,0,0,26,19,0,1,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,597,1,1,0,0,0,0,7,4,3,555,283,272,4,2,2,0,0,0,30,19,11,597,VIRTUALNO,NSLPNO,N,N,0, ,0,3, ,1
126515001,3615,1265150013615,Philadelphia City SD,WASHINGTON MARTHA SCH, ,100,Attendance Rate,Cohort Graduation Rate,Final Academic Score,Grade 3 Reading - Percent Proficient or Advanced on PSSA,Mathematics/Algebra I - Percent Proficient or Advanced on PSSA/Keystone Exam,Percent 3 or Higher on any AP Exam or 4 or Higher on any IB Exam,Reading/Literature - Percent Proficient or Advanced on PSSA/Keystone Exam,Science/Biology - Percent Proficient or Advanced on PSSA/Keystone,91.52,NA,53.1,45.00,31.56,35.11,17.65,91.94,0,1.38,39.63,2013,421899003615,126515001,3615,42,4218990,03615,PHILADELPHIA CITY SD,WASHINGTON MARTHA SCH,2158238203,766 N 44TH ST,PHILADELPHIA,PA,19104,1362,766 NORTH 44TH ST,PHILADELPHIA,PA,19104,1362,1,1,000,11,39.9661,-75.2114,42101,PHILADELPHIA COUNTY,4202,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,31.6,KG,08,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,5,1,1,2,2,2,431,0,431,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,32,0,0,0,0,1,0,18,11,0,0,0,0,2,0,47,0,0,0,0,0,1,24,15,0,0,0,0,5,2,42,0,0,0,0,1,0,19,15,0,0,0,0,5,2,44,0,0,1,0,0,0,24,16,0,0,0,0,0,3,55,0,0,0,0,0,1,25,22,0,0,0,0,4,3,61,0,0,0,0,1,0,37,22,0,0,0,0,1,0,52,0,0,0,0,0,0,34,17,0,0,0,0,1,0,56,0,0,0,0,0,0,34,21,1,0,0,0,0,0,45,0,0,0,0,0,0,24,21,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,434,0,0,0,1,1,0,5,3,2,399,239,160,1,1,0,0,0,0,28,18,10,434,VIRTUALNO,NSLPNO,N,N,0, ,0,2, ,1
126515001,3616,1265150013616,Philadelphia City SD,PENROSE SCH, ,100,Attendance Rate,Cohort Graduation Rate,Final Academic Score,Grade 3 Reading - Percent Proficient or Advanced on PSSA,Mathematics/Algebra I - Percent Proficient or Advanced on PSSA/Keystone Exam,Percent 3 or Higher on any AP Exam or 4 or Higher on any IB Exam,Reading/Literature - Percent Proficient or Advanced on PSSA/Keystone Exam,Science/Biology - Percent Proficient or Advanced on PSSA/Keystone,93.46,NA,56.2,31.88,37,40.38,26.77,83.69,0,5.01,49.36,2013,421899003616,126515001,3616,42,4218990,03616,PHILADELPHIA CITY SD,PENROSE SCH,2154926455,2515 S 78TH ST,PHILADELPHIA,PA,19153,1201,2515 SOUTH 78TH ST,PHILADELPHIA,PA,19153,1201,1,1,000,11,39.9075,-75.2484,42101,PHILADELPHIA COUNTY,4201,2,N,2,1,FA,2,PS,2,PS,2,PS,2,PS,2,PS,36.02,KG,08,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,5,1,1,2,2,2,696,0,696,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,78,0,0,1,1,1,3,22,36,1,1,0,0,8,4,104,0,0,3,2,0,0,38,43,1,0,0,0,9,8,66,0,0,0,0,0,0,30,29,0,1,0,0,2,4,72,0,0,1,1,1,0,25,34,0,1,0,0,7,2,59,0,0,3,3,2,0,23,19,1,0,0,0,3,5,66,0,0,1,0,0,2,25,34,0,0,0,0,2,2,87,0,1,1,2,1,1,46,33,1,0,0,0,0,1,83,0,0,2,1,0,1,43,32,3,0,0,0,1,0,84,0,0,0,5,0,3,45,28,0,1,0,0,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,699,1,0,1,27,12,15,15,5,10,585,297,288,11,7,4,0,0,0,60,33,27,699,VIRTUALNO,NSLPNO,N,N,0, ,0,4, ,1
126515001,3629,1265150013629,Philadelphia City SD,MCDANIEL DELAPLAINE SCH, ,100,Attendance Rate,Cohort Graduation Rate,Final Academic Score,Grade 3 Reading - Percent Proficient or Advanced on PSSA,Mathematics/Algebra I - Percent Proficient or Advanced on PSSA/Keystone Exam,Percent 3 or Higher on any AP Exam or 4 or Higher on any IB Exam,Reading/Literature - Percent Proficient or Advanced on PSSA/Keystone Exam,Science/Biology - Percent Proficient or Advanced on PSSA/Keystone,90.06,NA,48.8,30.14,19.75,22.5,16.13,90.46,0,.5,51.19,2013,421899003629,126515001,3629,42,4218990,03629,PHILADELPHIA CITY SD,MCDANIEL DELAPLAINE SCH,2159528600,1801 S 22ND STREET,PHILADELPHIA,PA,19145,2703,1801 SOUTH 22ND ST,PHILADELPHIA,PA,19145,2703,1,1,000,11,39.9296,-75.1819,42101,PHILADELPHIA COUNTY,4202,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,42.44,KG,08,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,5,1,1,2,2,2,794,0,794,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,103,1,1,2,0,1,1,43,49,0,1,0,0,3,1,104,0,0,3,0,1,2,46,44,0,1,0,0,3,4,110,0,0,0,2,2,3,48,49,0,1,0,0,2,3,88,0,0,0,0,1,1,36,43,0,2,0,0,3,2,75,0,0,1,0,1,0,39,31,1,1,0,0,1,0,85,0,0,0,1,2,1,37,38,1,1,0,0,3,1,90,0,0,1,0,1,3,40,42,0,1,0,0,1,1,72,0,0,0,0,1,1,28,40,2,0,0,0,0,0,70,0,0,0,0,0,0,34,34,0,1,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,797,2,1,1,10,7,3,22,10,12,721,351,370,13,4,9,0,0,0,29,16,13,797,VIRTUALNO,NSLPNO,N,N,0, ,0,4, ,1
126515001,3645,1265150013645,Philadelphia City SD,KEARNY GEN PHILIP SCH, ,100,Attendance Rate,Cohort Graduation Rate,Final Academic Score,Grade 3 Reading - Percent Proficient or Advanced on PSSA,Mathematics/Algebra I - Percent Proficient or Advanced on PSSA/Keystone Exam,Percent 3 or Higher on any AP Exam or 4 or Higher on any IB Exam,Reading/Literature - Percent Proficient or Advanced on PSSA/Keystone Exam,Science/Biology - Percent Proficient or Advanced on PSSA/Keystone,93.71,NA,62.2,36.96,44.57,35.41,41.38,81.32,0,0,47.25,2013,421899003645,126515001,3645,42,4218990,03645,PHILADELPHIA CITY SD,KEARNY GEN PHILIP SCH,2153517343,601 FAIRMOUNT AVE,PHILADELPHIA,PA,19123,2711,601 FAIRMOUNT AVE,PHILADELPHIA,PA,19123,2711,1,1,000,11,39.9639,-75.1481,42101,PHILADELPHIA COUNTY,4201,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,28,KG,08,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,5,1,1,2,2,2,452,0,452,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,57,0,0,0,0,3,4,18,16,3,4,0,0,5,4,72,0,0,1,0,0,2,32,25,0,5,0,0,7,0,49,0,0,0,0,1,1,19,20,3,2,0,0,0,3,48,0,0,0,0,0,1,20,18,4,3,0,0,1,1,59,0,0,0,1,2,0,23,23,2,4,0,0,2,2,52,0,0,0,0,1,1,28,20,0,0,0,0,1,1,43,0,0,0,0,2,1,20,17,1,1,0,0,0,1,37,0,0,0,0,0,0,20,16,0,0,0,0,1,0,38,0,0,0,0,0,2,19,16,1,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,455,0,0,0,2,1,1,21,9,12,370,199,171,33,14,19,0,0,0,29,17,12,455,VIRTUALNO,NSLPNO,N,N,0, ,0,2, ,1
