aun2,SchoolName,AUN,SchoolNumber,LEAName,NumBlack,DropRate,EconDisadv,PctELL,NumFemale
1005100007744,First Phila CS For Literacy,100510000,7744,First Phila CS For Literacy,43.39,0,87.2,3.21,52.44
1012613024939,West Crawford El Sch,101261302,4939,Connellsville Area SD,4.39,0,81.87,0,47.08
1012680032182,Ben Franklin Sch,101268003,2182,Uniontown Area SD,19.43,0.61,80.57,2.25,52.76
1012680032184,Uniontown Area SHS,101268003,2184,Uniontown Area SD,16.63,4.95,83.25,0.12,52.96
1012680037933,Lafayette El Sch,101268003,7933,Uniontown Area SD,42.81,0,93.93,0,47.6
1012680037934,Lafayette MS,101268003,7934,Uniontown Area SD,39.33,0,93.26,0,51.69
1020230307549,Manchester Academic CS,102023030,7549,Manchester Academic CS,96.01,0,99.69,0,48.16
1020274510416,Pittsburgh Perry HS,102027451,0416,Pittsburgh SD,75.58,4.98,85.14,0,49.26
1020274516047,Pittsburgh Oliver,102027451,6047,Pittsburgh SD,84.07,0,84.07,0,25.66
1020274517616,Pittsburgh Allegheny 6-8,102027451,7616,Pittsburgh SD,77.25,0,87.2,0.95,53.08
1020274517886,Pittsburgh Arsenal 6-8,102027451,7886,Pittsburgh SD,75.71,0,85.24,15.71,51.43
1020274518110,Pittsburgh Milliones 6-12,102027451,8110,Pittsburgh SD,91.06,1.78,83.94,0,49.09
1030200027772,Propel CS-Homestead,103020002,7772,Propel CS-Homestead,87.61,4.05,84.68,0,53.36
1030200037831,Propel CS-McKeesport,103020003,7831,Propel CS-McKeesport,65.81,0,81.75,0,53.98
1030203688337,Young Scholars of McKeesport Charter Sch,103020368,8337,Young Scholars of McKeesport Charter Sch,83.75,0,97.5,1.25,58.75
1030221030000,Cornell SD,103022103,0000,Cornell SD,13.15,0.35,100,1.1,50.86
1030221036944,Cornell El Sch,103022103,6944,Cornell SD,10.51,0,100,1.99,51.14
1030221038087,Cornell HS,103022103,8087,Cornell SD,16.38,0.35,100,0,50.52
1030225030000,Duquesne City SD,103022503,0000,Duquesne City SD,67.79,0,81.6,0,46.63
1030225037908,Duquesne El Sch,103022503,7908,Duquesne City SD,67.79,0,81.6,0,46.63
1030249528306,Propel CS - Hazelwood,103024952,8306,Propel CS - Hazelwood,78.14,0,84.62,0.4,53.44
1030260028271,Twin Rivers Intrmd Sch,103026002,8271,McKeesport Area SD,50.89,0,80.8,0,48.88
1030281928193,Propel CS-Northside,103028192,8193,Propel CS-Northside,77.83,0,80.54,0,47.29
1030282468194,Urban Pathways K-5 College Charter Schoo,103028246,8194,Urban Pathways K-5 College Charter School,96.58,0,93.92,0,48.67
1030288330193,Barrett El Sch,103028833,0193,Steel Valley SD,74.27,0,81.74,1.24,45.23
1030298030000,Wilkinsburg Borough SD,103029803,0000,Wilkinsburg Borough SD,94.58,2.5,81.61,0.26,49.34
1030298030553,Turner El Sch,103029803,0553,Wilkinsburg Borough SD,94.09,0,81.01,0,51.9
1030298030554,Wilkinsburg MS,103029803,0554,Wilkinsburg Borough SD,94.32,0.9,80.68,0,50
1030298030555,Wilkinsburg SHS,103029803,0555,Wilkinsburg Borough SD,93.86,3.55,80.7,0,45.61
1030298035106,Kelly El Sch,103029803,5106,Wilkinsburg Borough SD,95.27,0,82.65,0.63,48.58
1035193768146,Universal Daroff Charter School,103519376,8146,Universal Daroff Charter School,98.65,0,87.33,1.72,52.4
1043753028319,Harry W Lockley Early Learning Center,104375302,8319,New Castle Area SD,21.77,0,84.33,0,46.05
1044325030000,Farrell Area SD,104432503,0000,Farrell Area SD,82,0.94,92.12,0,47.12
1044325035248,Farrell Area HS/UMS,104432503,5248,Farrell Area SD,80.58,0.94,97.09,0,47.25
1044325037119,Farrell Area ES/LMS,104432503,7119,Farrell Area SD,83.59,0,90.26,0,47.95
1044328307506,Keystone Education Center CS,104432830,7506,Keystone Education Center CS,19.72,12.75,98.59,0,40.38
1044329036125,George Jr Republic HS,104432903,6125,Grove City Area SD,58.14,0,100,2.62,0
1044329037316,George Jr Republic MS,104432903,7316,Grove City Area SD,57.63,0,100,1.69,0
1044356033170,Musser El Sch,104435603,3170,Sharon City SD,42.4,0,92.69,0,49.42
1044356033171,West Hill El Sch,104435603,3171,Sharon City SD,9.66,0,87.93,3.1,52.07
1052526022001,Cleveland El Sch,105252602,2001,Erie City SD,19.7,0,80.3,2.67,48.75
1052526022003,Diehl El Sch,105252602,2003,Erie City SD,39.16,0,81.18,14.83,49.43
1052526022016,McKinley El Sch,105252602,2016,Erie City SD,52.44,0,83.36,9.41,47.56
1052526022022,Emerson-Gridley El Sch,105252602,2022,Erie City SD,47.83,0,80.17,3.33,45.33
1052526022027,Strong Vincent HS,105252602,2027,Erie City SD,43.09,7.45,80.24,7.73,45.02
1052526026959,Wayne MS,105252602,6959,Erie City SD,51.45,0,81.93,14.85,50.38
1052526027035,Pfeiffer-Burleigh El Sch,105252602,7035,Erie City SD,45.26,0,80.08,17.69,47.49
1052526027294,Central HS,105252602,7294,Erie City SD,23.22,1.74,82.04,5.48,44.36
1052526027515,Northwest PA Collegiate Academy,105252602,7515,Erie City SD,11.28,0.25,80.54,0,57.72
1052529207532,Robert Benjamin Wiley Community CS,105252920,7532,Robert Benjamin Wiley Community CS,43.42,0,99.74,0,53.16
1052575128163,Erie Rise Leadership Academy Charter Sch,105257512,8163,Erie Rise Leadership Academy Charter School,63.32,0,97.63,7.12,51.72
1061720031540,Penfield El Sch,106172003,1540,Dubois Area SD,4,0,81.33,0,52
1076530407550,Dr Robert Ketterer CS Inc.,107653040,7550,Dr Robert Ketterer CS Inc.,25.26,2.59,96.32,0,35.79
