LEAName,LEATypeDescription_first,LEACounty_first,YearsInEd_mean,YearsInLEA_mean,female_sum,AnnualSalary_mean,N_teachers
Abington Heights SD,School District,Lackawanna,14.4985915492958,12.0985915492958,258,66514.6056338028,355
Abington SD,School District,Montgomery,14.9920424403183,14.0013262599469,516,90394.5265251989,754
Albert Gallatin Area SD,School District,Fayette,11.828025477707,11.7229299363057,230,56960.6082802548,314
Aliquippa SD,School District,Beaver,17.0413223140496,16.0661157024793,81,62170.85,121
Allegheny Valley SD,School District,Allegheny,15.6694560669456,14.5564853556485,162,67176.5774058577,239
Allegheny-Clarion Valley SD,School District,Clarion,16.6114285714286,15.24,130,62135.2228571429,175
Allentown City SD,School District,Lehigh,13.228880866426,12.4346570397112,1036,68624.9884476534,1385
Altoona Area SD,School District,Blair,13.1706036745407,12.1167979002625,544,55093.7257217848,762
Ambridge Area SD,School District,Beaver,14.5492424242424,14.3522727272727,181,59243.6856060606,264
Annville-Cleona SD,School District,Lebanon,11.9490740740741,9.06018518518519,155,61814.5287356322,216
Antietam SD,School District,Berks,12.2803738317757,10.2897196261682,82,56299.8037383178,107
Apollo-Ridge SD,School District,Armstrong,14.9,12.5933333333333,94,63630.8266666667,150
Armstrong SD,School District,Armstrong,16.0853658536585,14.6881533101045,431,74554.1463414634,574
Athens Area SD,School District,Bradford,14.3333333333333,13.1029411764706,139,67017.9509803922,204
Austin Area SD,School District,Potter,14.6153846153846,12.2923076923077,46,55782.5384615385,65
Avella Area SD,School District,Washington,13.4025974025974,12.2987012987013,56,56799.7631578947,77
Avon Grove SD,School District,Chester,14.7632978723404,12.5531914893617,295,73838.2819148936,376
Avonworth SD,School District,Allegheny,12.98125,12.9625,122,72284.6375,160
Bald Eagle Area SD,School District,Centre,11.9078341013825,10.3640552995392,166,51694.5852534562,217
Baldwin-Whitehall SD,School District,Allegheny,14.0335195530726,12.9944134078212,251,70764.3240223464,358
Bangor Area SD,School District,Northampton,14.9893238434164,12.5053380782918,199,73138.6227758007,281
Beaver Area SD,School District,Beaver,14.2621359223301,12.0776699029126,136,61812.8640776699,206
Bedford Area SD,School District,Bedford,15.7458563535912,13.5745856353591,110,63528.6564417178,181
Belle Vernon Area SD,School District,Westmoreland,12.539603960396,12.3861386138614,139,75160.3465346535,202
Bellefonte Area SD,School District,Centre,12.3678929765886,10.6923076923077,218,57214.9866220736,299
Bellwood-Antis SD,School District,Blair,17.6901408450704,12.2018779342723,141,57716.6948356807,213
Bensalem Township SD,School District,Bucks,13.4295302013423,11.4614093959732,443,87030.4345637584,596
Benton Area SD,School District,Columbia,13.1489361702128,12.0851063829787,73,54864.4361702128,94
Bentworth SD,School District,Washington,13.8909090909091,12.4909090909091,82,56870.1818181818,110
Berlin Brothersvalley SD,School District,Somerset,15.6341463414634,14.3739837398374,69,54568.5641025641,123
Bermudian Springs SD,School District,Adams,15.2283105022831,12.716894977169,158,59734.3165137615,219
Berwick Area SD,School District,Columbia,15.1950354609929,13.9751773049645,216,63442.9964539007,282
Bethel Park SD,School District,Allegheny,15.3002070393375,14.287784679089,323,73210.2898550725,483
Bethlehem Area SD,School District,Northampton,14.8551572787125,13.1726408193124,996,70479.2494513533,1367
Bethlehem-Center SD,School District,Washington,15.9722222222222,15.9722222222222,78,62369.4444444444,108
Big Beaver Falls Area SD,School District,Beaver,15.4944444444444,14.6,125,60628.5388888889,180
Big Spring SD,School District,Cumberland,13.4778481012658,11.8575949367089,239,61974.5636942675,316
Blackhawk SD,School District,Beaver,12.5647668393782,11.3575129533679,125,66200.481865285,193
Blacklick Valley SD,School District,Cambria,12.1279069767442,10.7093023255814,68,47209.8023255814,86
Blairsville-Saltsburg SD,School District,Indiana,11.8089887640449,11.0898876404494,129,70917.7471910112,178
Bloomsburg Area SD,School District,Columbia,10.6649214659686,10.3298429319372,131,53035.5968586387,191
Blue Mountain SD,School District,Schuylkill,14.4965277777778,12.4861111111111,203,60131.3194444444,288
Blue Ridge SD,School District,Susquehanna,13.5179856115108,12.1510791366906,97,58641.4892086331,139
Boyertown Area SD,School District,Berks,14.0172143974961,12.2316118935837,491,73167.7496087637,639
Bradford Area SD,School District,McKean,12.8349056603774,12.0849056603774,152,57927.4528301887,212
Brandywine Heights Area SD,School District,Berks,13.280612244898,11.5969387755102,141,69825.9591836735,196
Brentwood Borough SD,School District,Allegheny,15.5112781954887,12.9097744360902,97,73254.0152671756,133
Bristol Borough SD,School District,Bucks,14.6461538461538,13.6692307692308,92,90319.8,130
Bristol Township SD,School District,Bucks,15.044,14.486,365,88248.392,500
Brockway Area SD,School District,Jefferson,16.0645161290323,13.0806451612903,72,60450.7398373984,124
Brookville Area SD,School District,Jefferson,14.3831775700935,11.9579439252336,175,54001.1989795918,214
Brownsville Area SD,School District,Fayette,15.1258741258741,13.8601398601399,104,61435.1468531469,143
Burgettstown Area SD,School District,Washington,14.7666666666667,13.9083333333333,87,54388.9583333333,120
Burrell SD,School District,Westmoreland,14.8,14.175,144,67988.9,200
Butler Area SD,School District,Butler,10.8507462686567,9.3,494,58780.0835820896,670
California Area SD,School District,Washington,15.859649122807,13.2280701754386,69,58382.201754386,114
Cambria Heights SD,School District,Cambria,15.8768115942029,12.8405797101449,90,53553.8695652174,138
Cameron County SD,School District,Cameron,16.027027027027,14.5540540540541,51,57643.7297297297,74
Camp Hill SD,School District,Cumberland,12.5950920245399,9.31288343558282,123,65545.5170068027,163
Canon-McMillan SD,School District,Washington,14.1258741258741,12.1701631701632,324,61371.5850815851,429
Canton Area SD,School District,Bradford,14.0891089108911,12.1782178217822,68,65334.9504950495,101
Carbondale Area SD,School District,Lackawanna,13.3430656934307,12.1021897810219,101,55024.503649635,137
Carlisle Area SD,School District,Cumberland,14.5693950177936,12.0427046263345,396,58937.3364661654,562
Carlynton SD,School District,Allegheny,13.6645569620253,12.746835443038,109,70767.8417721519,158
Carmichaels Area SD,School District,Greene,10.9333333333333,10.5714285714286,72,52449.9619047619,105
Catasauqua Area SD,School District,Lehigh,17.4503311258278,14.6688741721854,98,83765.4437086093,151
Centennial SD,School District,Bucks,16.3225806451613,14.2523719165085,389,94813.5104364326,527
Central Bucks SD,School District,Bucks,14.6801169590643,13.059649122807,1272,83026.065497076,1710
Central Cambria SD,School District,Cambria,11.6285714285714,10.7942857142857,124,52088.92,175
Central Columbia SD,School District,Columbia,14.4113924050633,12.7848101265823,110,62907.7721518987,158
Central Dauphin SD,School District,Dauphin,13.0876242095754,11.4137308039747,826,64846.9801264679,1107
Central Fulton SD,School District,Fulton,16.0467289719626,14.2056074766355,79,65129.8679245283,107
Central Greene SD,School District,Greene,13.1340782122905,11.8379888268156,131,56579.7374301676,179
Central Valley SD,School District,Beaver,12.1275510204082,11.8826530612245,150,66634.0510204082,196
Central York SD,School District,York,10.5948827292111,10.5095948827292,347,69485.4562899787,469
Chambersburg Area SD,School District,Franklin,10.8990825688073,10.0160550458716,657,63768.1359338061,872
Charleroi SD,School District,Washington,14.6549295774648,12.6971830985915,109,57583.4154929577,142
Chartiers Valley SD,School District,Allegheny,15.2307692307692,13.8254437869822,237,78660.6834319527,338
Chartiers-Houston SD,School District,Washington,14.8777777777778,13.6333333333333,63,58190.7666666667,90
Cheltenham SD,School District,Montgomery,14.5431578947368,12.0168421052632,334,90553.9936842105,475
Chester-Upland SD,School District,Delaware,10.3755102040816,8.39591836734694,187,69715.7428571429,245
Chestnut Ridge SD,School District,Bedford,17.7076923076923,14.8051282051282,144,54324.9845360825,195
Chichester SD,School District,Delaware,12.1469740634006,11.3314121037464,243,69170.4034582133,347
