"","NCESSCH","USER_ID","cohort","TreatmentFlag","FIDELmid","EFFmeanMID","EFFmeanFINAL","CoTeachStrat","FINAL_a","FINAL_b","FINAL_c","MID_a","MID_b","MID_c","REG_a","REG_b","REG_c","CollabDialogueFinal","CollabDialogueMid","FidelMax","REG_Gender","REG_AgeRange","REG_Exper","REG_GPA","pctLunch","Enrollment","keep","ZPR_1","ZEFFmeanFINAL","ZEFFmeanMID","ZFIDELmid","ZREG_GPA","cc","FIDxGRP","PRE_1","COO_1","LEV_1","PRE_2","COO_2","LEV_2"
"1",428009007050,"Ang","Semester 4 Control",0,2.72727272727273,3.58333333333333,3.5,0,3.5,4,3,3.5,3.5,3.75,NA,NA,NA,NA,2.1,2.08333333333333,2,2,1,3,0.298108284409654,1533,1,0.622670141726743,-0.255105515428406,0.622670141726743,-2.61238503480993,-2.69145988061826,1,0,-0.0179883461018627,0.0152137572776016,0.0962475234928778,-0.0959179228821892,0.0159784323915143,0.0974665472180093
"2",422583001738,"Ali","Semester 3 Control",0,3.81818181818182,3,3.5,0,3.25,3.75,3.5,3.25,3.25,2.5,NA,NA,NA,3.4,2.6,4,2,1,2,3.9,0.259668508287293,181,1,-0.882908235311011,-0.255105515428406,-0.882908235311013,-0.896081255134439,0.903774351056318,1,0,0.217714293059808,0.0105658171351348,0.0225162920452905,0.310596319089234,0.0108915088882147,0.0242479849714662
"3",422583001736,"410","Semester 4",1,4.54545454545455,3.33333333333333,3.91666666666667,3,4,4,3.75,3.25,3.5,3.25,3,3.25,3,1,2.3,4.83333333333333,2,2,2,3.5,0.271457085828343,501,0,-0.0225777341465797,0.757484359408026,-0.0225777341465811,0.248121264649221,-0.69410752968794,1,4.54545454545455,-0.0294674499983437,1.113577349146e-07,0.0023336234269023,0.0501308618055694,1.18847109187837e-05,0.00360541293123431
"4",422583001735,"Ama","Semester 3 Control",0,4.72727272727273,3.5,3.33333333333333,0,3.25,3.5,3.25,3.25,3.5,3.75,NA,NA,NA,1.9,1.9,4.08333333333333,2,1,1,3.7,0.284210526315789,190,1,0.407587516435635,-0.660141465362978,0.407587516435634,0.534171894595135,0.10483341068419,1,0,0.414133159027867,3.65591422263357e-07,0.0219399065586774,0.279788847548602,0.000130748570160142,0.0255627209689221
"5",422583001732,"417","Semester 4",1,4.72727272727273,2.83333333333333,2.83333333333333,2,3,3,2.5,3.5,2.25,2.75,4,2.75,2.5,2.3,2.1,4.75,1,2,1,3.2,0.287854889589905,1268,0,-1.31307348589323,-1.8752493151667,-1.31307348589323,0.534171894595135,-1.89251894024613,1,4.72727272727273,0.100171149239465,0.0057902856319842,0.00415109177610401,-0.0344452958605773,0.00540489741276977,0.00778859810924766
"6",422583001732,"418","Semester 4",1,3.54545454545455,2.16666666666667,3,2,3.5,2.5,3,2.5,2,2,3,2.25,2.25,3.4,3.6,3.66666666666667,1,2,1,3.1,0.287854889589905,1268,0,-3.03373448822209,-1.47021336523212,-3.03373448822209,-1.32515720005331,-2.2919894104322,1,3.54545454545455,-0.742479745806294,0.0421416174082098,0.0203947151470938,-0.794991566862981,0.0338441340266753,0.0209482203169471
"7",422583001716,"Reb","Semester 3 Control",0,3.63636363636364,3.41666666666667,3.5,0,3.75,3.5,3.25,3.5,3.5,3.25,NA,NA,NA,2.8,2.8,4.91666666666667,2,1,1,3.8,0.383986928104575,612,1,0.192504891144527,-0.255105515428406,0.192504891144526,-1.18213188508035,0.504303880870253,1,0,0.178430519866196,2.17410498606238e-06,0.0292715299483997,0.0748578818590796,0.000133303205807577,0.0314247955301049
"8",422436009967,"Mic","Semester 3 Control",0,3.36363636363636,3,3.58333333333333,0,3.5,3.75,3.5,2.75,3,3.25,NA,NA,NA,2,1.2,5,2,3,1,3.9,0.439655172413793,464,1,-0.882908235311011,-0.0525875404611189,-0.882908235311013,-1.61120782999923,0.903774351056318,1,0,0.119504860075779,0.0160261294454055,0.0435543623066799,0.023625140436699,0.0112320547017322,0.0453996370336339
"9",422304006608,"409","Semester 4",1,4.72727272727273,3.08333333333333,3.66666666666667,4,3.5,4,3.5,3,3.25,3,3,2.75,3.25,2.2,2.2,5,2,2,3,3.6,0.375370919881306,674,1,-0.667825610019903,0.149930434506167,-0.667825610019905,0.534171894595135,-0.294637059501875,1,4.72727272727273,0.100171149239465,0.00170995259910798,0.00415109177610401,0.368721256703225,0.00658776621828273,0.0186274120795558
"10",422304006608,"408","Semester 4",1,3.90909090909091,2.91666666666667,3.5,5,3.5,3.75,3.25,2.5,3,3.25,3.5,3,3.25,2.3,2.6,4.08333333333333,2,2,1,3.9,0.375370919881306,674,1,-1.09799086060212,-0.255105515428406,-1.09799086060212,-0.753055940161482,0.903774351056318,1,3.90909090909091,-0.483202547330676,0.00158272454711132,0.00833333428421001,-0.560977329631472,0.00108320359137329,0.00954752003275516
