aun2,school,year,aun,schoolnumber,county_,district_,group,grade,subject1,subject2,subject3,numberscored1,numberscored2,numberscored3,pctadvanced1,pctadvanced2,pctadvanced3,pctproficient1,pctproficient2,pctproficient3,pctbasic1,pctbasic2,pctbasic3,pctbb1,pctbb2,pctbb3,district,engprofadv,mathprofadv,sciprofadv,survyear,ncessch,stid,seasch,fipst,leaid,schno,leanm,schnam,phone,mstree,mcity,mstate,mzip,mzip4,lstree,lcity,lstate,lzip,lzip4,type,status,union,ulocal,latcod,loncod,conum,coname,cdcode,bies,reconsty,reconstf,smempup,ismempup,sftepup,isftepup,sfle,isfle,spfemale,ispfemale,spwhite,ispwhite,spelm,ispelm,fte,gslo,gshi,povrate
1.242e+12,"21ST CENTURY CYBER CS",2015,124150002,7691,"","21ST CENTURY CYBER C","All Students","School Total","English Language Arts","Math","Science",188,"186","89","7.4","3.8","28.1","46.8","18.8","41.6","38.8","33.9","20.2","6.9","43.5","10.1","21ST CENTURY CYBER CS",54.2,22.6,"69.7","2013","420009100597","124150002","7691","42","4200091","00597","21ST CENTURY CYBER CS","21ST CENTURY CYBER CS","4848755400","805 SPRINGDALE DR.","EXTON","PA","19341","3043","805 SPRINGDALE DR","EXTON","PA","19341","3043","1","1","000","21","40.0274","-75.6","42029","CHESTER COUNTY","4206","2","N","2","2","PS","2","PS","2","PS","2","PS","2","PS","2","PS","39.35","06","12",.15957447
1.242e+12,"21ST CENTURY CYBER CS",2016,124150002,7691,"CHEST","21ST CENTURY CYBER C","All Students","School Total","English Language Arts","Math","Science",169,"168","81","11.8","5.4","30.9","45","18.5","32.1","36.7","31","25.9","6.5","45.2","11.1","",56.8,23.9,"63","2013","420009100597","124150002","7691","42","4200091","00597","21ST CENTURY CYBER CS","21ST CENTURY CYBER CS","4848755400","805 SPRINGDALE DR.","EXTON","PA","19341","3043","805 SPRINGDALE DR","EXTON","PA","19341","3043","1","1","000","21","40.0274","-75.6","42029","CHESTER COUNTY","4206","2","N","2","2","PS","2","PS","2","PS","2","PS","2","PS","2","PS","39.35","06","12",.15957447
1.194e+12,"NEWTON-RANSOM SCH",2016,119350303,2407,"LACKA","ABINGTON HEIGHTS SD","All Students","School Total","English Language Arts","Math","Science",116,"116","54","11.2","22.4","46.3","60.3","36.2","46.3","23.3","26.7","7.4","5.2","14.7","0","",71.5,58.6,"92.6","2013","420201002407","119350303","2407","42","4202010","02407","ABINGTON HEIGHTS SD","NEWTON-RANSOM SCH","5705858300","1549 NEWTON RANSOM BOULEVARD","CLARKS SUMMIT","PA","18411","9802","1549 NEWTON RANSOM BLVD","CLARKS SUMMIT","PA","18411","9802","1","1","000","41","41.4778","-75.7479","42069","LACKAWANNA COUNTY","4210","2","N","2","2","PS","2","PS","2","PS","2","PS","2","PS","2","PS","20.09","KG","04",.24567474
1.194e+12,"SOUTH ABINGTON SCH",2015,119350303,6398,"","ABINGTON HEIGHTS SD","All Students","School Total","English Language Arts","Math","Science",109,"109","55","28.4","21.1","58.2","43.1","37.6","34.5","23.9","30.3","3.6","4.6","11","3.6","ABINGTON HEIGHTS SD",71.5,58.7,"92.7","2013","420201006398","119350303","6398","42","4202010","06398","ABINGTON HEIGHTS SD","SOUTH ABINGTON SCH","5705852100","NORTHERN BOULEVARD BOX 163","CHINCHILLA","PA","18410","0163","NORTHERN BLVD","CHINCHILLA","PA","18410","0163","1","1","000","21","41.4768","-75.6837","42069","LACKAWANNA COUNTY","4210","2","N","2","2","PS","2","PS","2","PS","2","PS","2","PS","2","PS","18.54","KG","04",.11355311
1.194e+12,"CLARKS SUMMIT EL SCH",2016,119350303,7570,"LACKA","ABINGTON HEIGHTS SD","All Students","School Total","English Language Arts","Math","Science",145,"145","77","24.1","21.4","48.1","50.3","40.7","41.6","20.7","24.1","6.5","4.8","13.8","3.9","",74.4,62.1,"89.7","2013","420201000371","119350303","7570","42","4202010","00371","ABINGTON HEIGHTS SD","CLARKS SUMMIT EL SCH","5705857300","401 W GROVE ST","CLARKS SUMMIT","PA","18411","2025","401 WEST GROVE ST","CLARKS SUMMIT","PA","18411","2025","1","1","000","21","41.4889","-75.7027","42069","LACKAWANNA COUNTY","4210","2","N","2","2","PS","2","PS","2","PS","2","PS","2","PS","2","PS","24.42","KG","04",.14606742
1.194e+12,"SOUTH ABINGTON SCH",2016,119350303,6398,"LACKA","ABINGTON HEIGHTS SD","All Students","School Total","English Language Arts","Math","Science",111,"111","56","19.8","30.6","48.2","53.2","38.7","39.3","23.4","18.9","10.7","3.6","11.7","1.8","",73,69.3,"87.5","2013","420201006398","119350303","6398","42","4202010","06398","ABINGTON HEIGHTS SD","SOUTH ABINGTON SCH","5705852100","NORTHERN BOULEVARD BOX 163","CHINCHILLA","PA","18410","0163","NORTHERN BLVD","CHINCHILLA","PA","18410","0163","1","1","000","21","41.4768","-75.6837","42069","LACKAWANNA COUNTY","4210","2","N","2","2","PS","2","PS","2","PS","2","PS","2","PS","2","PS","18.54","KG","04",.11355311
1.194e+12,"WAVERLY SCH",2016,119350303,2402,"LACKA","ABINGTON HEIGHTS SD","All Students","School Total","English Language Arts","Math","Science",104,"104","50","31.7","28.8","68","59.6","42.3","30","7.7","24","2","1","4.8","0","",91.3,71.1,"98","2013","420201002402","119350303","2402","42","4202010","02402","ABINGTON HEIGHTS SD","WAVERLY SCH","5705856300","103 WAVERLY RD","WAVERLY","PA","18471","","103 WAVERLY RD","WAVERLY","PA","18471","","1","1","000","21","41.5255","-75.7099","42069","LACKAWANNA COUNTY","4210","2","N","2","2","PS","2","PS","2","PS","2","PS","2","PS","2","PS","16.74","KG","04",.1316726
1.194e+12,"WAVERLY SCH",2015,119350303,2402,"","ABINGTON HEIGHTS SD","All Students","School Total","English Language Arts","Math","Science",114,"114","66","38.6","33.3","66.7","54.4","39.5","31.8","7","22.8","1.5","0","4.4","0","ABINGTON HEIGHTS SD",93,72.8,"98.5","2013","420201002402","119350303","2402","42","4202010","02402","ABINGTON HEIGHTS SD","WAVERLY SCH","5705856300","103 WAVERLY RD","WAVERLY","PA","18471","","103 WAVERLY RD","WAVERLY","PA","18471","","1","1","000","21","41.5255","-75.7099","42069","LACKAWANNA COUNTY","4210","2","N","2","2","PS","2","PS","2","PS","2","PS","2","PS","2","PS","16.74","KG","04",.1316726
1.194e+12,"ABINGTON HEIGHTS MS",2015,119350303,6839,"","ABINGTON HEIGHTS SD","All Students","School Total","English Language Arts","Math","Science",1002,"1002","264","26.5","16.6","32.6","50.7","36.9","39","19.3","30.8","16.7","3.5","15.7","11.7","ABINGTON HEIGHTS SD",77.2,53.5,"71.6","2013","420201006839","119350303","6839","42","4202010","06839","ABINGTON HEIGHTS SD","ABINGTON HEIGHTS MS","5705854300","1555 NEWTON RANSOM BLVD","CLARKS SUMMIT","PA","18411","9804","1555 NEWTON RANSOM BLVD","CLARKS SUMMIT","PA","18411","9804","1","1","000","41","41.4773","-75.7491","42069","LACKAWANNA COUNTY","4210","2","N","2","2","PS","2","PS","2","PS","2","PS","2","PS","2","PS","67.96","05","08",.14985591
1.194e+12,"NEWTON-RANSOM SCH",2015,119350303,2407,"","ABINGTON HEIGHTS SD","All Students","School Total","English Language Arts","Math","Science",108,"108","56","13.9","23.1","39.3","54.6","37","39.3","26.9","25.9","16.1","4.6","13.9","5.4","ABINGTON HEIGHTS SD",68.5,60.1,"78.6","2013","420201002407","119350303","2407","42","4202010","02407","ABINGTON HEIGHTS SD","NEWTON-RANSOM SCH","5705858300","1549 NEWTON RANSOM BOULEVARD","CLARKS SUMMIT","PA","18411","9802","1549 NEWTON RANSOM BLVD","CLARKS SUMMIT","PA","18411","9802","1","1","000","41","41.4778","-75.7479","42069","LACKAWANNA COUNTY","4210","2","N","2","2","PS","2","PS","2","PS","2","PS","2","PS","2","PS","20.09","KG","04",.24567474
