Team,POS,NO.,PLAYER,LastName,AGE,GS,SB,G,SH,SG,A,FC,FS,YC,RC
NEW,D,2,Ciaran Clark,Clark,28,7,0,1,3,1,0,5,8,1,0
NEW,D,3,Paul Dummett,Dummett,25,1,0,0,0,0,0,0,0,0,0
NEW,D,27,Jesús Gamez,Gamez,32,1,1,0,1,0,0,0,1,0,0
NEW,D,25,Massadio Haidara,Haidara,24,--,--,--,--,--,--,--,--,--,--
NEW,D,6,Jamaal Lascelles,Lascelles,23,7,1,2,5,4,0,6,3,2,0
NEW,D,20,Florian Lejeune,Lejeune,26,2,0,0,3,2,0,1,3,0,0
NEW,D,19,Javier Manquillo,Manquillo,23,6,0,0,1,0,0,6,5,0,0
NEW,D,18,Chancel Mbemba,Mbemba,23,4,1,0,0,0,0,3,3,0,0
NEW,D,42,Jamie Sterry,Sterry,21,--,--,--,--,--,--,--,--,--,--
NEW,D,22,DeAndre Yedlin,Yedlin,24,4,0,0,1,0,0,7,2,1,0
NEW,M,16,Rolando Aarons,Aarons,21,0,0,0,0,0,0,0,0,0,0
NEW,M,30,Christian Atsu,Atsu,25,7,1,1,12,4,1,2,7,0,0
NEW,M,35,Daniel Tan Barlaser,Tan Barlaser,20,--,--,--,--,--,--,--,--,--,--
NEW,M,4,Jack Colback,Colback,27,--,--,--,--,--,--,--,--,--,--
NEW,M,10,Mohamed Diame,Diame,30,0,5,0,1,1,0,1,1,0,0
NEW,M,14,Isaac Hayden,Hayden,22,7,1,1,5,3,0,14,6,4,0
NEW,M,23,Mikel Merino,Merino,21,6,2,0,5,2,0,8,10,2,0
NEW,M,7,Jacob Murphy,Murphy,22,1,3,0,4,0,0,2,0,0,0
NEW,M,11,Matt Ritchie,Ritchie,28,8,0,0,17,4,4,7,6,3,0
NEW,M,24,Henri Saivet,Saivet,26,0,0,0,0,0,0,0,0,0,0
NEW,M,8,Jonjo Shelvey,Shelvey,25,3,2,0,8,1,0,1,1,0,1
NEW,F,9,Dwight Gayle,Gayle,28,2,5,0,5,2,0,6,4,1,0
NEW,F,45,Aleksandar Mitrovic,Mitrovic,23,0,1,1,3,2,0,1,1,0,0
NEW,F,17,Ayoze Pérez,Perez,23,8,0,1,14,4,1,12,10,1,0
NEW,F,21,Joselu,Joselu,27,6,1,2,22,11,0,10,3,1,0
CHE,D,3,Marcos Alonso,Alonso,26,8,0,2,14,5,0,7,8,3,0
CHE,D,28,César Azpilicueta,Azpilicueta,28,8,0,0,2,1,4,7,1,1,0
CHE,D,24,Gary Cahill,Cahill,31,4,1,0,0,0,0,2,1,0,1
CHE,D,27,Andreas Christensen,Christensen,21,3,3,0,1,0,0,1,3,0,0
CHE,D,35,Jake Clark-Salter,Clark-Salter,20,--,--,--,--,--,--,--,--,--,--
CHE,D,30,David Luiz,Luiz,30,6,0,1,7,3,0,9,9,3,1
CHE,D,--,Baba Rahman,Rahman,23,--,--,--,--,--,--,--,--,--,--
CHE,D,2,Antonio Rüdiger,Rüdiger,24,6,0,0,2,0,1,6,6,2,0
CHE,D,21,Davide Zappacosta,Zappacosta,25,0,2,0,3,1,0,0,0,0,0
CHE,M,44,Ethan Ampadu,Ampadu,17,--,--,--,--,--,--,--,--,--,--
CHE,M,14,Tiemoué Bakayoko,Bakayoko,23,5,2,1,4,1,1,15,5,1,0
CHE,M,22,Willian,Willian,29,6,2,0,9,3,1,3,13,0,0
CHE,M,6,Danny Drinkwater,Drinkwater,27,0,0,0,0,0,0,0,0,0,0
CHE,M,4,Cesc Fàbregas,Fabregas,30,6,1,1,8,2,1,7,7,0,1
CHE,M,10,Eden Hazard,Hazard,26,2,3,0,3,2,0,1,10,0,0
CHE,M,7,N'Golo Kanté,Kanté,26,7,0,1,5,1,0,8,2,1,0
CHE,M,15,Victor Moses,Moses,26,6,0,0,7,2,0,12,6,1,0
CHE,M,17,Charly Musonda,Musonda,21,0,2,0,2,0,0,3,0,0,0
CHE,M,16,Kenedy,Kenedy,21,0,0,0,0,0,0,0,0,0,0
CHE,M,36,Kyle Scott,Scott,19,0,0,0,0,0,0,0,0,0,0
CHE,M,66,Dujon Sterling,Sterling,17,--,--,--,--,--,--,--,--,--,--
CHE,F,23,Michy Batshuayi,Batshuayi,24,2,3,0,2,1,0,2,0,0,0
CHE,F,9,Álvaro Morata,Morata,24,6,1,6,21,8,2,8,6,1,0
CHE,F,11,Pedro,Pedro,30,4,3,1,11,6,1,3,4,0,0
LEI,D,29,Yohan Benalouane,Benalouane,30,--,--,--,--,--,--,--,--,--,--
LEI,D,3,Ben Chilwell,Chilwell,20,2,1,0,0,0,0,2,2,0,0
LEI,D,16,Aleksandar Dragovic,Dragovic,26,0,0,0,0,0,0,0,0,0,0
LEI,D,28,Christian Fuchs,Fuchs,31,7,0,0,2,0,0,4,0,0,0
LEI,D,6,Robert Huth,Huth,33,--,--,--,--,--,--,--,--,--,--
LEI,D,34,Josh Knight,Knight,20,--,--,--,--,--,--,--,--,--,--
LEI,D,15,Harry Maguire,Maguire,25,9,0,1,3,2,2,7,3,0,0
LEI,D,5,Wes Morgan,Morgan,33,9,0,0,1,0,0,11,3,2,0
LEI,D,2,Danny Simpson,Simpson,30,9,0,0,1,1,0,3,4,0,0
LEI,M,11,Marc Albrighton,Albrighton,27,9,0,0,4,0,1,5,9,2,0
LEI,M,18,Daniel Amartey,Amartey,22,0,1,0,0,0,0,1,0,0,0
LEI,M,38,Hamza Choudhury,Choudhury,20,--,--,--,--,--,--,--,--,--,--
LEI,M,7,Demarai Gray,Gray,21,1,6,0,6,3,0,0,2,0,0
LEI,M,21,Vicente Iborra,Iborra,29,2,1,0,2,0,0,1,0,0,0
LEI,M,22,Matty James,James,26,4,0,0,4,0,0,7,1,1,0
LEI,M,10,Andy King,King,28,3,3,0,2,0,0,2,2,0,0
LEI,M,26,Riyad Mahrez,Mahrez,26,8,1,1,18,4,2,6,15,0,0
LEI,M,25,Wilfred Ndidi,Ndidi,20,9,0,0,8,0,0,16,6,2,0
LEI,F,8,Kelechi Iheanacho,Iheanacho,21,2,4,0,2,0,0,3,2,1,0
