cohort2,USER_ID,PRE_1,FIDEL_mean_mid,EFFmeanFINAL,EFFmeanMID,EFFmeanREG,TOTFRL,TotExper
1,26,3.62251177561723, ,3.66666666666667,3.41666666666667,2.16666666666667,368,8
1,72,3.38378581006575, ,3.75,3,2.66666666666667,811,19
1,25,3.45240060921808, ,3.41666666666667,3.16666666666667,2.58333333333333,368,17
1,92,3.68903306380261, ,3.75,3.5,3.91666666666667,100,8
1,80,3.80734929109488, ,3.83333333333333,3.66666666666667,3.08333333333333,132,3
1,94,3.87069442667492, ,4,3.91666666666667,3.16666666666667,129,16
1,79,3.7113753047525, ,4,3.58333333333333,2.66666666666667,101,20
1,88,3.60359840460483, ,3.75,3.25,3.5,129,22
1,90,3.89278395029266, ,3.91666666666667,3.91666666666667,3,31, 
1,89,3.70350669554897, ,3.66666666666667,3.41666666666667,2.58333333333333,174,25
1,22,3.34855801367217, ,3.33333333333333,2.91666666666667,3.16666666666667,126,11.5
1,81,3.72978324110062, ,3.75,3.58333333333333,3.41666666666667,236,10
1,20,3.17108367273377, ,3.25,2.66666666666667,2.41666666666667,132,30
1,71,3.89278395029266, ,4,3.91666666666667,3.33333333333333,811,30
1,85,3.4813478727108, ,3.33333333333333,3,2.83333333333333,129,8
1,24,3.44453200001455, ,3.16666666666667,3,2.66666666666667,368,8
1,31,3.50762441826245, ,3.41666666666667,3.16666666666667,3.5,122,8
1,83,3.94248537843259, ,4,3.91666666666667,4,129,9
1,84,3.78894135474676, ,3.66666666666667,3.66666666666667,3.08333333333333,132,18
1,87,3.10799125448588, ,3.66666666666667,2.5,3.5,76,10
1,69,3.70744100015073, ,4,3.5,3.58333333333333,240,12
1,76,3.85596807759642, ,4,3.91666666666667,3.75,31,5.5
1,70,3.3038735317724, ,3.5,2.75,3.41666666666667,744,36.4
1,30,3.95378285757361, ,4,4,3.25, ,7
1,91,3.82785073840995, ,3.58333333333333,3.75,3.75,240, 
1,93,3.76659911379687, ,2.91666666666667,3.58333333333333,3.83333333333333,76,26
1,29,3.67062512745449, ,3.5,3.5,2.91666666666667, , 
1,75,3.3564266228757, ,3.66666666666667,3.08333333333333,3.41666666666667,811, 
1,68,3.24471541812626, ,3.08333333333333,2.66666666666667,3,240,30
1,21,3.50762441826245, ,3.33333333333333,3.16666666666667,3.75,132,28
1,73,3.78500705014499, ,4,3.58333333333333,3.66666666666667,744,6.5
1,27,3.60753270920659, ,3.41666666666667,3.33333333333333,2.5,145,35
1,86,3.70744100015073, ,3.75,3.5,3.25,129,5
2, ,3.89278395029266, ,4,3.91666666666667, ,342, 
2, ,3.90725758203902, ,4,3.83333333333333, ,198, 
2, ,3.1145962770287, ,3.08333333333333,2.25, ,43, 
2, ,3.19609663162473, ,3.5,2.41666666666667, ,74, 
2, ,3.65615149570813, ,3.91666666666667,3.58333333333333, ,185, 
2, ,3.15534645432672, ,3.5,2.33333333333333, ,166, 
2, ,3.70744100015073, ,3.5,3.5, ,956, 
2, ,3.04489883623798, ,3.66666666666667,2.33333333333333, ,66, 
2, ,3.78500705014499, ,3.75,3.58333333333333, ,175, 
2, ,3.83362583664653, ,3.83333333333333,3.83333333333333, ,147, 
2, ,3.9519420639388, ,4,4, ,280, 
2, ,3.81128359569664, ,3.5,3.75, ,185, 
2, ,3.825757227443, ,3,3.66666666666667, ,360, 
1,418,2.92658260894571,3.54545454545455,3,2.16666666666667,2.5,365, 
1,234,3.08171470893422,4.18181818181818,3.5,2.33333333333333,2.16666666666667,132,15
1,239,3.09460026437791,4.18181818181818,3.08333333333333,2.33333333333333,2.58333333333333,368,15
1,582,3.20789954543002,4.81818181818182,3.58333333333333,2.66666666666667,2.66666666666667,284, 
1,327,3.24128654818878,4.90909090909091,3.41666666666667,2.75,2.83333333333333,129,22
1,417,3.27099196367792,4.72727272727273,2.83333333333333,2.83333333333333,3.08333333333333,365, 
1,318,3.26705765907615,4.63636363636364,4,2.75,3.16666666666667,368,13
1,402,3.29993922717063,4.81818181818182,3.25,2.66666666666667,3.16666666666667, , 
2, ,3.38537388636842,4.63636363636364,3.33333333333333,2.91666666666667, ,111, 
1,226,3.25341395163605,4.09090909090909,3.16666666666667,2.5,2.58333333333333,130,15
1,566,3.35909734081677,5,3.75,2.75,3.41666666666667,147, 
1,227,3.21843887257461,3.63636363636364,2.75,2.5,2.33333333333333, ,11
1,233,3.1145962770287,2.36363636363636,2.58333333333333,2.25,2.16666666666667,132,10.5
1,399,3.29993922717063,4.18181818181818,3.25,2.66666666666667,3.25,157, 
1,510,3.40035295277906,5,3.16666666666667,3,2.5,132, 
2, ,3.44453200001455,4.54545454545455,4,3, ,604, 
1, ,3.40771612731831,5,4,3,3.33333333333333,744, 
1,400,3.34855801367217,4.36363636363636,3.5,2.91666666666667,3.41666666666667,489, 
1,317,3.33015007732405,4.18181818181818,3.33333333333333,2.91666666666667,3.16666666666667,82,11
1,394,3.38143958176665,4.63636363636364,4,2.83333333333333,2.66666666666667,240, 
2, ,3.51155872286421,4.90909090909091,3.58333333333333,3.25, , , 
1,331,3.31834716351876,3.90909090909091,3.41666666666667,2.66666666666667,3.16666666666667,74,13.5
2, ,3.52209805000881,5,3.91666666666667,3.08333333333333, , , 
2, ,3.52209805000881,5,3.91666666666667,3.08333333333333, , , 
1,326,3.38143958176665,4.45454545454545,3.5,2.83333333333333,3,132, 
2, ,3.42612406366643,4,3.08333333333333,3, ,29, 
2, ,3.54050598635693,5,3.83333333333333,3.08333333333333, , , 
1,576,3.39984751811478,4.45454545454545,3.33333333333333,2.83333333333333,3.08333333333333,401, 
1,325,3.42218975906466,4.63636363636364,3.58333333333333,2.91666666666667,2.33333333333333,132,18
1,492,3.38143958176665,4.18181818181818,3.25,2.83333333333333,2.75,489, 
2, ,3.43399267286996,3.81818181818182,3.58333333333333,3.16666666666667, , , 
1,231,3.43532803184049,4.54545454545455,3.41666666666667,3,3.08333333333333,112,25
1,506,3.42612406366643,4.36363636363636,3,3,2.66666666666667,147, 
1,237,3.44637279364936,4.54545454545455,3.16666666666667,3,3,68,18.5
1,409,3.46687424096444,4.72727272727273,3.66666666666667,3.08333333333333,3,253, 
2, ,3.49975580905892,4.18181818181818,3.83333333333333,3, ,520, 
1,238,3.3669659500203,3.72727272727273,3.08333333333333,2.91666666666667,3.25,68,22
2, ,3.52336163666951,4.36363636363636,3.91666666666667,3.5, , , 
1,332,3.43005836826819,4.27272727272727,3.41666666666667,3.08333333333333,3,74,18.5
1,494,3.43005836826819,4.27272727272727,2,3.08333333333333,2.75,74, 
1,287,3.2933342046278,2.90909090909091,1,2.91666666666667,3.08333333333333,240,16
1,440,3.46687424096444,4.54545454545455,3.16666666666667,3.08333333333333,2.66666666666667,401, 
2, ,3.4708085455662,3.72727272727273,3.33333333333333,3.16666666666667, ,368, 
2, ,3.4813478727108,3.81818181818182,3.5,3, ,47, 
1,585,3.50762441826245,4.90909090909091,3.58333333333333,3.16666666666667,3.58333333333333,76, 
1,471,3.50369011366068,4.81818181818182,3.75,3.08333333333333,2.83333333333333,267, 
1,214,3.52603235461057,5,3.5,3.16666666666667,3,236,10
1,372,3.51549302746598,4.81818181818182,3.66666666666667,3.33333333333333,3.41666666666667,100,25
1,584,3.48528217731256,4.45454545454545,3,3.08333333333333,3.41666666666667,661, 
1,228,3.44453200001455,4,2.83333333333333,3,2.75, ,15
1,235,3.46687424096444,4.18181818181818,3,3.08333333333333,2.75,132,23.5
1,408,3.44059769541279,3.90909090909091,3.5,2.91666666666667,3.25,253, 
1,407,3.46293993636267,4.09090909090909,3.41666666666667,3,3,61, 
1,366,3.38143958176665,3.27272727272727,3.41666666666667,2.83333333333333,2.91666666666667,132,3
1,517,3.56284822730682,5,3.41666666666667,3.16666666666667,2.75,368, 
1,442,3.49683237378572,4.36363636363636,3.91666666666667,3.25,2.75,174, 
2, ,3.4813478727108,3.36363636363636,3.58333333333333,3, ,204, 
1,263,3.40378182271654,3.45454545454545,2.91666666666667,2.91666666666667,2.58333333333333, ,7
1,377,3.56678253190858,5,3.75,3.25,4,112,12
2, ,3.66402010491166,5,3.5,3.75, ,237, 
1,401,3.52603235461057,4.45454545454545,3.91666666666667,3.16666666666667,3.33333333333333,489, 
2, ,3.46687424096444,3,3,3.08333333333333, ,123, 
1,225,3.54444029095869,4.54545454545455,3.41666666666667,3.16666666666667,3.41666666666667,112,21
1,581,3.52603235461057,4.36363636363636,4,3.16666666666667,3.16666666666667,112, 
1,335,3.3669659500203,2.81818181818182,3,2.91666666666667,3,368,8
2, ,3.66669082285272,4.72727272727273,3.83333333333333,3.41666666666667, ,267, 
1,395,3.58125616365494,4.72727272727273,3.75,3.16666666666667,3.16666666666667,811, 
1,379,3.61514860107798,5,4,3.41666666666667,3.41666666666667,217,7
2, ,3.69296736840438,4.90909090909091,3.83333333333333,3.58333333333333, , , 
1,410,3.57071683651035,4.54545454545455,3.91666666666667,3.33333333333333,3.08333333333333,136, 
2, ,3.70744100015073,5,4,3.5, , , 
2, ,3.5851904682567,3.81818181818182,3.91666666666667,3.25, ,274, 
2, ,3.7113753047525,5,3.91666666666667,3.58333333333333, , , 
1,569,3.5875366965558,4.63636363636364,3.75,3.41666666666667,3.33333333333333,100, 
1,412,3.54050598635693,4.18181818181818,3.25,3.08333333333333,3.33333333333333,126, 
2, ,3.68903306380261,4.72727272727273,3.33333333333333,3.5, ,54, 
1,196,3.62200634095295,4.90909090909091,4,3.25,3.5,744,12
1,370,3.61540131841012,4.81818181818182,3.75,3.5,2.83333333333333,100,8
1,562,3.50369011366068,3.72727272727273,3.41666666666667,3.08333333333333,3,401, 
1,403,3.60410383926911,4.63636363636364,3.66666666666667,3.41666666666667,3.08333333333333,53, 
2, ,3.70350669554897,4.72727272727273,3.58333333333333,3.41666666666667, ,354, 
1,504,3.58912477285847,4.45454545454545,3.33333333333333,3.33333333333333,2.83333333333333,68, 
1,579,3.65221719110637,5,4,3.5,3.66666666666667,76, 
1,405,3.56678253190858,4.18181818181818,3.41666666666667,3.25,2.91666666666667,68, 
1, ,3.55757856373452,4.09090909090909,3.33333333333333,3.25,2.91666666666667,174, 
1,321,3.54837459556046,4,2.41666666666667,3.25,2.83333333333333, , 
1,322,3.52209805000881,3.72727272727273,3.58333333333333,3.08333333333333,3, ,14
2, ,3.70744100015073,4.63636363636364,4,3.5, , , 
1,232,3.62594064555471,4.63636363636364,3.83333333333333,3.33333333333333,3.08333333333333,112,19
1,406,3.56284822730682,4,3.58333333333333,3.16666666666667,3.16666666666667,83, 
1,323,3.56468902094163,4,3.33333333333333,3.16666666666667,2.66666666666667, , 
1,195,3.62200634095295,4.54545454545455,3.25,3.25,2.75,126,10
1,368,3.60359840460483,4.36363636363636,3.66666666666667,3.25,3.5,101,20
1,376,3.64434858190284,4.72727272727273,3.91666666666667,3.33333333333333,3.5,280,24
2, ,3.68509875920085,4.27272727272727,3.41666666666667,3.41666666666667, ,77, 
1,330,3.64434858190284,4.63636363636364,3.33333333333333,3.33333333333333,2.5,132,1
2, ,3.77053341839863,5,3.66666666666667,3.66666666666667, ,198, 
1,329,3.66669082285272,4.81818181818182,3.33333333333333,3.41666666666667,3.5,157,7
2, ,3.57465114111211,3.09090909090909,2.83333333333333,3.41666666666667, ,147, 
1,371,3.68903306380261,5,3.66666666666667,3.5,3.58333333333333,174,28
1,567,3.65221719110637,4.63636363636364,3.91666666666667,3.5,3.58333333333333, , 
1,490,3.53783526841587,3.54545454545455,3.66666666666667,3.41666666666667,3.16666666666667,126, 
1,441,3.69112657476956,5,4,3.58333333333333,3.91666666666667,147, 
1,374,3.69455544470705,5,3,3.5,3.66666666666667,240, 
2, ,3.56678253190858,2.90909090909091,3.5,3.25, ,520, 
1,513,3.68141717193122,4.81818181818182,3.75,3.41666666666667,3.25,147, 
1,583,3.69296736840438,4.90909090909091,3.91666666666667,3.58333333333333,3.75,661, 
1,230,3.67062512745449,4.63636363636364,3.58333333333333,3.5,3, ,32
1,213,3.71530960935426,5,3.66666666666667,3.66666666666667,3,174,17
1,473,3.62200634095295,4.09090909090909,4,3.25,3.16666666666667,744, 
1,375,3.72267278389351,5,4,3.66666666666667,3.66666666666667,240,17.5
2, ,3.66669082285272,3.63636363636364,3.5,3.41666666666667, ,235, 
1,392,3.68903306380261,4.63636363636364,4,3.5,3.58333333333333,744, 
1,319,3.73689369830773,5,3.66666666666667,3.5,3.08333333333333,121,9
1,236,3.62987495015648,3.90909090909091,3.5,3.41666666666667,2.91666666666667,68,12.5
1,495,3.62987495015648,3.90909090909091,4,3.41666666666667,3.33333333333333,233, 
1,283,3.65221719110637,4.09090909090909,3.66666666666667,3.5,3.25, ,156
1,364,3.74266879654431,4.90909090909091,3.66666666666667,3.58333333333333,3.08333333333333,76,26
1,373,3.73371754570239,4.81818181818182,3.5,3.66666666666667,3.41666666666667,174,10
1,493,3.75605978665227,5,3.75,3.75,2.83333333333333,112, 
1,328,3.75212548205051,4.90909090909091,3.91666666666667,3.66666666666667,3.41666666666667,157,9
1,398,3.75212548205051,4.90909090909091,3.75,3.66666666666667,3.66666666666667,157, 
2, ,3.73371754570239,3.90909090909091,4,3.66666666666667, ,243, 
1,367,3.76317024385938,5,3.5,3.66666666666667,2.66666666666667,132,7
2, ,3.79287565934852,4.45454545454545,3.91666666666667,3.75, , , 
1,320,3.71848576195961,4.54545454545455,3.33333333333333,3.5,3.16666666666667, ,16
2, ,3.85203377299465,5,3.58333333333333,3.83333333333333, ,177, 
1,499,3.76659911379687,5,3.75,3.58333333333333,3.25,253, 
