Match_addr,City,Subregion,Region,Postal,Lon,Lat,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,ARC_Addres,ARC_Neighb,ARC_City,ARC_Subreg,ARC_Region,ARC_Postal,ARC_Post_1,ARC_Countr,Date_Clean,Address_Cl,Zip_Code,Type_Clean,STATEFP,COUNTYFP,COUSUBFP,COUSUBNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CNECTAFP,NECTAFP,NCTADVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
"150 Hampden Ave, Hampden Twp, Pennsylvania, 17011",Hampden Twp,Cumberland,Pennsylvania,17011,-76.96362,40.23538,-76.96362,40.23538,-76.96462,-76.96262,40.23438,40.23638,150 Hampden Avenue 17011,,,17011,,,,,6/3/2016,150 Hampden Avenue 17011,17011,Access Device Fraud,,,,,,,,,,,,,,,,,,
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.93739,40.23952,-76.93739,40.23952,-76.94239,-76.93239,40.23452,40.24452,150 Louisa Lane 17011,,,17011,,,,,4/7/2016,150 Louisa Lane 17011,17011,Access Device Fraud,,,,,,,,,,,,,,,,,,
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.93739,40.23952,-76.93739,40.23952,-76.94239,-76.93239,40.23452,40.24452,150 Louisa Lane 17011,,,17011,,,,,6/2/2015,150 Louisa Lane 17011,17011,Access Device Fraud,,,,,,,,,,,,,,,,,,
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.93739,40.23952,-76.93739,40.23952,-76.94239,-76.93239,40.23452,40.24452,150 South Sporting Hill Road 17011,,,17011,,,,,4/26/2016,150 South Sporting Hill Road 17011,17011,Accidents Involving Damage to Attended Vehicle,,,,,,,,,,,,,,,,,,
"150 Maple Ave, Hampden Twp, Pennsylvania, 17011",Hampden Twp,Cumberland,Pennsylvania,17011,-76.95445,40.23535,-76.95445,40.23535,-76.95545,-76.95345,40.23435,40.23635,150 Maple Avenue 17011,,,17011,,,,,7/24/2016,150 Maple Avenue 17011,17011,Aggravated Indecent Assault,,,,,,,,,,,,,,,,,,
"150 Maple Ave, Hampden Twp, Pennsylvania, 17011",Hampden Twp,Cumberland,Pennsylvania,17011,-76.95445,40.23535,-76.95445,40.23535,-76.95545,-76.95345,40.23435,40.23635,150 Maple Avenue 17011,,,17011,,,,,10/9/2016,150 Maple Avenue 17011,17011,Burglary,,,,,,,,,,,,,,,,,,
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.93739,40.23952,-76.93739,40.23952,-76.94239,-76.93239,40.23452,40.24452,150 Salem Church Road 17011,,,17011,,,,,3/27/2016,150 Salem Church Road 17011,17011,Criminal Mischief,,,,,,,,,,,,,,,,,,
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.93739,40.23952,-76.93739,40.23952,-76.94239,-76.93239,40.23452,40.24452,150 Salem Church Road 17011,,,17011,,,,,11/7/2015,150 Salem Church Road 17011,17011,Criminal Mischief,,,,,,,,,,,,,,,,,,
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.93739,40.23952,-76.93739,40.23952,-76.94239,-76.93239,40.23452,40.24452,150 S Sporting Hill Road 17011,,,17011,,,,,6/10/2015,150 S Sporting Hill Road 17011,17011,Driving Under the Influence,,,,,,,,,,,,,,,,,,
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.93739,40.23952,-76.93739,40.23952,-76.94239,-76.93239,40.23452,40.24452,150 Gateway Drive 17011,,,17011,,,,,12/12/2016,150 Gateway Drive 17011,17011,Driving Under the Influence,,,,,,,,,,,,,,,,,,
