OBJECTID,year,origin,enplanements,passengers,departures,arrivals,freight,mail
1,2024,01A,17,17,5,5,0,0
2,2024,05A,1,1,1,1,0,0
3,2024,06A,50,55,67,66,139,0
4,2024,09A,41,43,15,15,0,0
5,2024,1B1,32,32,7,7,0,0
6,2024,1CT,4,4,1,1,0,0
7,2024,1G4,11217,11217,931,1473,0,0
8,2024,1N7,4,4,1,1,0,0
9,2024,1NY,9,9,4,3,0,0
10,2024,1TX,2,2,7,7,0,0
11,2024,2AK,4,6,3,3,0,0
12,2024,2FL,2,2,1,3,0,0
13,2024,2GA,9,9,3,3,0,0
14,2024,2NJ,2,2,1,1,0,0
15,2024,2NY,25,25,12,10,0,0
16,2024,2PA,11,11,4,4,0,0
17,2024,2WA,1376,1376,310,311,0,0
18,2024,3FL,11,11,3,3,0,0
19,2024,3NJ,5,5,2,2,0,0
20,2024,3VA,2,2,1,1,0,0
21,2024,4CL,25,25,3,3,0,0
22,2024,4NC,10,10,2,2,0,0
23,2024,5CA,7,7,1,1,0,0
24,2024,5NJ,0,0,1,1,0,0
25,2024,5PA,5,5,1,1,0,0
26,2024,6AK,243,261,148,150,26152,0
27,2024,6B0,20,20,7,6,0,0
28,2024,6CA,8,8,1,1,0,0
29,2024,6PA,3,3,1,1,0,0
30,2024,7AK,2225,2227,1460,1468,145813,8175
31,2024,A01,70,79,48,48,200,0
32,2024,A03,92,103,56,60,0,0
33,2024,A04,10,10,3,1,0,0
34,2024,A06,8,8,115,115,94373,0
35,2024,A17,9,9,8,8,0,0
36,2024,A20,0,0,176,177,3167724,0
37,2024,A26,18,24,11,11,10390,0
38,2024,A27,2,55,50,50,21922,0
39,2024,A29,81,81,39,40,0,0
40,2024,A30,4,6,3,2,0,0
41,2024,A34,12,12,6,5,0,0
42,2024,A43,1011,964,939,924,207614,21728
43,2024,A50,4,4,1,1,0,0
44,2024,A52,0,0,22,22,0,0
45,2024,A5K,7,7,12,7,330,0
46,2024,A63,4,13,3,3,0,0
47,2024,A65,4,2,5,6,0,0
48,2024,A72,0,0,121,122,0,0
49,2024,A75,5,5,3,3,0,0
50,2024,A76,3,3,2,2,0,0
51,2024,A87,2,2,1,1,0,0
52,2024,AA8,2,2,4,4,72000,0
53,2024,AAF,4,4,2,3,0,0
54,2024,ABE,447699,451490,6620,6488,123162330,0
55,2024,ABI,94521,97461,2315,2635,462392,0
56,2024,ABL,1812,3863,1045,1046,84324,64165
57,2024,ABQ,2690201,2729021,30167,30040,43809885,2574456
58,2024,ABR,23705,23769,981,1024,157994,0
59,2024,ABY,30193,30311,1276,1285,12534363,19887
60,2024,ACK,152003,152003,10927,11083,111803,150523
61,2024,ACT,53757,57644,1175,1175,29393,0
62,2024,ACV,133676,133676,2413,2629,378894,0
63,2024,ACY,487781,499879,3659,3649,803,0
64,2024,ADK,2179,2179,123,123,51024,5507
65,2024,ADQ,86579,86585,6229,6239,2635222,541978
66,2024,ADS,62,62,23,28,0,0
67,2024,ADW,276,276,12,17,0,0
68,2024,AET,1521,2769,661,669,67872,35818
69,2024,AEX,129227,129662,2843,2829,166,0
70,2024,AFW,4682,4694,8493,7489,357294061,0
71,2024,AGC,73,73,18,17,0,0
72,2024,AGN,2216,2338,776,780,22358,7764
73,2024,AGS,298966,304133,5068,5055,13270,0
74,2024,AHN,1935,1944,45,45,0,0
75,2024,AIA,4206,4206,628,629,0,0
76,2024,AIK,11,11,2,2,0,0
77,2024,AIN,3416,4493,1530,1532,78897,15720
78,2024,AKB,276,276,175,174,3063,2375
79,2024,AKI,2674,2821,1488,1487,17935,7517
80,2024,AKK,547,575,326,328,1900,755
81,2024,AKN,39154,40093,5467,5491,4024810,1709138
82,2024,AKP,3255,3649,1145,1148,94755,11320
83,2024,AL6,8,8,2,2,0,0
84,2024,ALB,1490421,1503774,16737,16767,21753432,3814
85,2024,ALE,8,8,1,1,0,0
86,2024,ALO,11995,12462,683,680,38420,0
87,2024,ALS,12227,12227,630,627,0,0
88,2024,ALW,36870,36870,709,708,235,0
89,2024,ALZ,21,46,83,85,795,74
90,2024,AMA,402307,418354,5980,5989,271451,1729
91,2024,ANB,27,27,14,14,67082,0
92,2024,ANC,2699874,2702278,71765,65160,3116063944,95095127
93,2024,AND,40,40,2,2,0,0
94,2024,ANI,5440,5526,3801,3804,591591,2609760
95,2024,ANP,18,18,6,2,0,0
96,2024,ANV,378,616,375,376,73360,36448
97,2024,AOO,5137,5137,598,594,0,0
98,2024,AOS,36,55,85,90,2090,1163
99,2024,APA,71,71,24,24,0,0
100,2024,APC,135,135,33,38,0,0
101,2024,APF,591,587,91,94,0,0
102,2024,APN,11150,11150,856,1033,352198,0
103,2024,ARA,0,0,6,8,20095,0
104,2024,ARC,1763,2318,741,751,81395,62701
105,2024,ART,23153,23153,651,648,722,0
106,2024,ASE,349484,349522,7560,7560,0,0
107,2024,AST,10,10,3,3,0,0
108,2024,ATK,1810,3793,990,994,158364,19306
109,2024,ATL,45406031,45478621,345209,345083,314043628,9765781
110,2024,ATS,9,9,1,1,0,0
111,2024,ATT,2731,3995,2111,2113,20862,17262
112,2024,ATW,540346,540760,7647,7647,6287741,0
113,2024,ATY,14132,14132,627,633,0,0
114,2024,AUG,5224,5224,1193,1188,0,0
115,2024,AUK,3428,4726,2943,2949,37258,34813
116,2024,AUN,2,2,1,1,0,0
117,2024,AUO,41,41,4,4,0,0
118,2024,AUS,10159438,10273729,90001,89872,135628566,222532
119,2024,AUZ,11,11,1,1,0,0
120,2024,AVL,1096081,1097490,12844,12860,3475,0
121,2024,AVP,219505,221233,3289,3289,1242,0
122,2024,AVW,13,13,4,4,0,0
123,2024,AXX,47,47,14,14,0,0
124,2024,AZ3,20,20,3,3,0,0
125,2024,AZA,977643,980722,6598,6468,42548,0
126,2024,AZO,92381,92554,1926,1924,462,1
127,2024,B19,4,4,2,1,0,0
128,2024,B21,3,3,1,2,0,0
129,2024,BAF,1218,1218,21,25,0,0
130,2024,BAM,56,56,2,2,0,0
131,2024,BBX,123,123,42,42,0,0
132,2024,BCE,35,35,5,4,0,0
133,2024,BCT,4244,4291,288,281,0,0
134,2024,BDL,3233502,3246935,29893,29987,150293871,6516437
135,2024,BDR,93,93,26,33,0,0
136,2024,BDY,26,26,9,11,0,0
137,2024,BED,16387,16387,577,583,116437,0
