"","State","ReportYear","ProgramCode","Program","ProgramType","UNITID","TotalNumPrepPrgs","UGPrograms","UGMinGPAEntry","UGMinGPAExit","PGPrograms","PGMinGPAEntry","PGMinGPAExit","SCEAvgHrsPrior_StdntTch","SCEAvgHrsFor_StdntTch","SCEAvgHrsPrior_TeachRcd","SCEAvgHrsFor_TeachRcd","SuperFTEFaculty","SCENumAdjunctIHE","SCENumCoopTeachK12","SuperStudents","TotalEnroll","CompletersCurrent","MaleEnroll","MaleCompleters","FemaleEnroll","FemaleCompleters","OtherGenderEnroll","OtherGenderCompleters","NonReportGenderEnroll","NonReportGenderCompleters","IndianEnroll","IndianCompleters","AsianEnroll","AsianCompleters","BlackEnroll","BlackCompleters","HispanicEnroll","HispanicCompleters","IslanderEnroll","IslanderCompleters","WhiteEnroll","WhiteCompleters","MultiRacialEnroll","MultiRacialCompleters","NonReportRaceEthEnroll","NonReportRaceEthCompleters","GrantMajors","StateLocalNeeds","SchoolNeeds","SpecEdCore","GenEdDisabilities","GenEdLEP","GenEdLowInc","LocalityTrn","AssuranceComments","B_ratio","W_ratio","BW_completionRatio","X","INSTNM","IALIAS","ADDR","CITY","STABBR","ZIP","FIPS","OBEREG","CHFNM","CHFTITLE","GENTELE","EIN","DUNS","OPEID","OPEFLAG","WEBADDR","ADMINURL","FAIDURL","APPLURL","NPRICURL","VETURL","ATHURL","DISAURL","SECTOR","ICLEVEL","CONTROL","HLOFFER","UGOFFER","GROFFER","HDEGOFR1","DEGGRANT","HBCU","HOSPITAL","MEDICAL","TRIBAL","LOCALE","OPENPUBL","ACT","NEWID","DEATHYR","CLOSEDAT","CYACTIVE","POSTSEC","PSEFLAG","PSET4FLG","RPTMTH","INSTCAT","C15BASIC","C15IPUG","C15IPGRD","C15UGPRF","C15ENPRF","C15SZSET","CCBASIC","CARNEGIE","LANDGRNT","INSTSIZE","F1SYSTYP","F1SYSNAM","F1SYSCOD","CBSA","CBSATYPE","CSA","NECTA","COUNTYCD","COUNTYNM","CNGDSTCD","LONGITUD","LATITUDE","ADMCON1","ADMCON2","ADMCON3","ADMCON4","ADMCON5","ADMCON6","ADMCON7","ADMCON8","ADMCON9","XAPPLCN","APPLCN","XAPPLCNM","APPLCNM","XAPPLCNW","APPLCNW","XADMSSN","ADMSSN","XADMSSNM","ADMSSNM","XADMSSNW","ADMSSNW","XENRLT","ENRLT","XENRLM","ENRLM","XENRLW","ENRLW","XENRLFT","ENRLFT","XENRLFTM","ENRLFTM","XENRLFTW","ENRLFTW","XENRLPT","ENRLPT","XENRLPTM","ENRLPTM","XENRLPTW","ENRLPTW","XSATNUM","SATNUM","XSATPCT","SATPCT","XACTNUM","ACTNUM","XACTPCT","ACTPCT","XSATVR25","SATVR25","XSATVR75","SATVR75","XSATMT25","SATMT25","XSATMT75","SATMT75","XACTCM25","ACTCM25","XACTCM75","ACTCM75","XACTEN25","ACTEN25","XACTEN75","ACTEN75","XACTMT25","ACTMT25","XACTMT75","ACTMT75","XCSTOTLT","CSTOTLT","XCSTOTLM","CSTOTLM","XCSTOTLW","CSTOTLW","XCSAIANT","CSAIANT","XCSAIANM","CSAIANM","XCSAIANW","CSAIANW","XCSASIAT","CSASIAT","XCSASIAM","CSASIAM","XCSASIAW","CSASIAW","XCSBKAAT","CSBKAAT","XCSBKAAM","CSBKAAM","XCSBKAAW","CSBKAAW","XCSHISPT","CSHISPT","XCSHISPM","CSHISPM","XCSHISPW","CSHISPW","XCSNHPIT","CSNHPIT","XCSNHPIM","CSNHPIM","XCSNHPIW","CSNHPIW","XCSWHITT","CSWHITT","XCSWHITM","CSWHITM","XCSWHITW","CSWHITW","XCS2MORT","CS2MORT","XCS2MORM","CS2MORM","XCS2MORW","CS2MORW","XCSUNKNT","CSUNKNT","XCSUNKNM","CSUNKNM","XCSUNKNW","CSUNKNW","XCSNRALT","CSNRALT","XCSNRALM","CSNRALM","XCSNRALW","CSNRALW"
"1","Pennsylvania",2021,"2002","ABCTE - Pennsylvania (Title 2 Only)","Alternative, not IHE-based",NA,6,0,NA,NA,1,NA,NA,NA,NA,0,0,0,0,0,0,137,48,44,28,77,20,0,0,16,0,1,1,7,0,8,4,9,0,0,0,91,41,6,0,15,2,0,1,1,-6,0,0,1,1,"American Board completers enter the classroom only after completing the pedagogy and professional teaching knowledge aspect of the program, unless otherwise required by the individual state. American Board completers experience a mentoring program as defined by existing state induction programs, further guiding completers in the teaching of specific cohorts of students.",1.42708333333333,1.28594322344322,1.10975609756098,NA,"Cheyney University of Pennsylvania","Cheyney","1837 University Circle","Cheynew","PA","",42,NA,"","",NA,NA,"",NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,-75.529121,39.934513,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA
"2","Pennsylvania",2021,"2002","ABCTE - Pennsylvania (Title 2 Only)","Alternative, not IHE-based",NA,6,0,NA,NA,1,NA,NA,NA,NA,0,0,0,0,0,0,137,48,44,28,77,20,0,0,16,0,1,1,7,0,8,4,9,0,0,0,91,41,6,0,15,2,0,1,1,-6,0,0,1,1,"American Board completers enter the classroom only after completing the pedagogy and professional teaching knowledge aspect of the program, unless otherwise required by the individual state. American Board completers experience a mentoring program as defined by existing state induction programs, further guiding completers in the teaching of specific cohorts of students.",1.42708333333333,1.28594322344322,1.10975609756098,NA,"PASSHE Center City","PASSHE Ctr. City","","Philadelphia","PA","",42,NA,"","",NA,NA,"",NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"Philadelphia County",NA,-75.160276,39.954532,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA
"3","Pennsylvania",2021,"2004","Albright College","Traditional",NA,10,1,2.8,3,1,2.8,3,90,700,NA,NA,0,2,16,13,13,13,2,2,11,11,0,0,0,0,0,0,0,0,1,1,1,1,0,0,11,11,0,0,0,0,1,1,1,1,1,1,1,1,"Field work in our Professional Development School provides on-going experiences with limited English proficient students, children with disabilities, and children from low-income families in an urban setting.",1,1,1,NA,"Cheyney University of Pennsylvania","Cheyney","1837 University Circle","Cheynew","PA","",42,NA,"","",NA,NA,"",NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,-75.529121,39.934513,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA
"4","Pennsylvania",2021,"2004","Albright College","Traditional",NA,10,1,2.8,3,1,2.8,3,90,700,NA,NA,0,2,16,13,13,13,2,2,11,11,0,0,0,0,0,0,0,0,1,1,1,1,0,0,11,11,0,0,0,0,1,1,1,1,1,1,1,1,"Field work in our Professional Development School provides on-going experiences with limited English proficient students, children with disabilities, and children from low-income families in an urban setting.",1,1,1,NA,"PASSHE Center City","PASSHE Ctr. City","","Philadelphia","PA","",42,NA,"","",NA,NA,"",NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"Philadelphia County",NA,-75.160276,39.954532,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA
"5","Pennsylvania",2021,"2431","Alvernia University","Traditional",210775,5,1,3,3,1,3,3,190,525,NA,NA,3,2,0,26,73,13,18,1,55,12,0,0,0,0,0,0,0,0,6,0,9,0,0,0,56,13,1,0,1,0,1,1,1,1,1,1,1,1,"Collaboration with LEAs informs a continuous quality improvement effort and decision making related to all programs. LEAs feedback, essential for the programs’ maintenance, evaluation, and development, is obtained through several channels. The Education Advisory Board that consists of administrators from several local school districts - urban, suburban, and rural- holds annual meetings. Suggestions of the cooperating teachers who work with students during their clinical experiences are discussed at the department meetings and implemented during annual course revisions.  The courses with fieldwork get revised to respond to the input and concerns of both cooperating teachers and students in clinical experience. 

Another utilized strategy is the combination of rigorous coursework with diverse field experiences. Teaching an inclusive classroom approach is implemented across all courses. Special education and teaching ELL courses are emphasized. In 2019-20, more field experiences were embedded into the courses",0,1.30357142857143,0,1239,"Alvernia University",NA,"400 Saint Bernardine St","Reading","PA","19607-1799",42,2,"Thomas F. Flynn","President",6107968200,231522643,"100956312",323300,1,"www.alvernia.edu","www.alvernia.edu/admissions/index.html","www.alvernia.edu/financialaid/index.html","www.alvernia.edu/admissions/undergraduate/apply.html","www.alvernia.edu/financialaid/netpricecalculator.html","www.alvernia.edu/financialaid/veteran/index.html",NA,"www.alvernia.edu/student-life/student-success/ADAServicesandAccommodations.html",2,1,2,9,1,1,11,1,2,2,2,2,13,1,"A",-2,-2,-2,1,1,1,1,1,2,19,19,13,6,4,10,19,32,2,2,2,NA,-2,39740,1,428,-2,42011,"Berks County",4216,-75.936754,40.310028,1,2,1,2,2,3,1,2,3,"R",1788,"R",524,"R",1264,"R",1332,"R",385,"R",947,"R",345,"R",114,"R",231,"R",345,"R",114,"R",231,"R",0,"R",0,"R",0,"R",310,"R",90,"R",111,"R",32,"R",440,"R",540,"R",440,"R",550,"R",19,"R",23,"B",NA,"B",NA,"B",NA,"B",NA,"R",629,"R",171,"R",458,"Z",0,"Z",0,"Z",0,"R",8,"R",4,"R",4,"R",80,"R",21,"R",59,"R",48,"R",9,"R",39,"Z",0,"Z",0,"Z",0,"R",460,"R",128,"R",332,"R",9,"R",1,"R",8,"R",22,"R",7,"R",15,"R",2,"R",1,"R",1
"6","Pennsylvania",2021,"2431","Alvernia University","Alternative, IHE-based",210775,5,1,3,3,1,3,3,190,525,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,"Collaboration with LEAs informs a continuous quality improvement effort and decision making related to all programs. LEAs feedback, essential for the programs’ maintenance, evaluation, and development, is obtained through several channels. The Education Advisory Board that consists of administrators from several local school districts - urban, suburban, and rural- holds annual meetings. Suggestions of cooperating teachers who work with students during their clinical experiences are discussed at the department meetings and implemented during annual course revisions.  The courses with fieldwork get revised to respond to the input and concerns of both cooperating teachers and students in clinical experience. 

Another utilized strategy is the combination of rigorous coursework with diverse field experiences. Teaching an inclusive classroom approach is implemented across all courses. Special education and teaching ELL courses are emphasized.

Field experiences are embedded into the courses leading to pre-stud",NA,NA,NA,1239,"Alvernia University",NA,"400 Saint Bernardine St","Reading","PA","19607-1799",42,2,"Thomas F. Flynn","President",6107968200,231522643,"100956312",323300,1,"www.alvernia.edu","www.alvernia.edu/admissions/index.html","www.alvernia.edu/financialaid/index.html","www.alvernia.edu/admissions/undergraduate/apply.html","www.alvernia.edu/financialaid/netpricecalculator.html","www.alvernia.edu/financialaid/veteran/index.html",NA,"www.alvernia.edu/student-life/student-success/ADAServicesandAccommodations.html",2,1,2,9,1,1,11,1,2,2,2,2,13,1,"A",-2,-2,-2,1,1,1,1,1,2,19,19,13,6,4,10,19,32,2,2,2,NA,-2,39740,1,428,-2,42011,"Berks County",4216,-75.936754,40.310028,1,2,1,2,2,3,1,2,3,"R",1788,"R",524,"R",1264,"R",1332,"R",385,"R",947,"R",345,"R",114,"R",231,"R",345,"R",114,"R",231,"R",0,"R",0,"R",0,"R",310,"R",90,"R",111,"R",32,"R",440,"R",540,"R",440,"R",550,"R",19,"R",23,"B",NA,"B",NA,"B",NA,"B",NA,"R",629,"R",171,"R",458,"Z",0,"Z",0,"Z",0,"R",8,"R",4,"R",4,"R",80,"R",21,"R",59,"R",48,"R",9,"R",39,"Z",0,"Z",0,"Z",0,"R",460,"R",128,"R",332,"R",9,"R",1,"R",8,"R",22,"R",7,"R",15,"R",2,"R",1,"R",1
"7","Pennsylvania",2021,"2039","Arcadia University","Traditional",NA,10,1,3,3,1,3,3,75,560,NA,NA,1,15,130,85,206,54,40,11,166,43,0,0,0,0,0,0,7,2,23,5,7,1,1,1,134,39,3,1,31,5,1,1,1,1,1,1,1,1,"The PA standards require these components and have been addressed in our program plans.  Specific courses have been designed to address these competencies. We have established intentional partnerships with diverse school districts (urban, suburban, public, public charter schools) to provide the kind of deep, mentored fieldwork needed to prepare students to be able to teach in any context. Our programs are founded on deep, mentored, ongoing fieldwork, coached by professors and classroom teachers.",0.829307568438003,1.11028192371476,0.746934225195095,NA,"Cheyney University of Pennsylvania","Cheyney","1837 University Circle","Cheynew","PA","",42,NA,"","",NA,NA,"",NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,-75.529121,39.934513,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA
"8","Pennsylvania",2021,"2039","Arcadia University","Traditional",NA,10,1,3,3,1,3,3,75,560,NA,NA,1,15,130,85,206,54,40,11,166,43,0,0,0,0,0,0,7,2,23,5,7,1,1,1,134,39,3,1,31,5,1,1,1,1,1,1,1,1,"The PA standards require these components and have been addressed in our program plans.  Specific courses have been designed to address these competencies. We have established intentional partnerships with diverse school districts (urban, suburban, public, public charter schools) to provide the kind of deep, mentored fieldwork needed to prepare students to be able to teach in any context. Our programs are founded on deep, mentored, ongoing fieldwork, coached by professors and classroom teachers.",0.829307568438003,1.11028192371476,0.746934225195095,NA,"PASSHE Center City","PASSHE Ctr. City","","Philadelphia","PA","",42,NA,"","",NA,NA,"",NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"Philadelphia County",NA,-75.160276,39.954532,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA
"9","Pennsylvania",2021,"2646","Bloomsburg University of Pennsylvania","Traditional",211158,14,1,2.8,2.8,1,3,3,120,500,NA,NA,2.17,6,260,241,618,194,91,39,527,155,0,0,0,0,6,1,3,1,13,5,7,4,1,0,436,128,22,12,130,43,1,1,1,1,1,1,1,1,"The McDowell Institute for Teacher Excellence in Positive Behavior Support, housed in the College of Education at Bloomsburg University, is a unique component of the institution’s teacher preparation programs that was established in 2012. The McDowell Institute is designed to equip educators with strategies, practices, and experiences to effectively support the academic, social, and emotional growth of all students. The Institute provides all teacher candidates with the social-emotional training that is needed by today’s teachers, and is required by our state and local agencies. This training includes “Youth Mental Health First Aid Training” as well as modules on social emotional learning topics that are integrated in coursework throughout the curriculum. The modules include topics such as trauma, adverse childhood experiences, rapport as a protective factor, building resiliency, positive reinforcement, bully prevention, and general social-emotional learning.

All teacher preparation candidates in Pennsylva",1.22521808088818,0.935212333301807,1.31009615384615,1243,"Bloomsburg University of Pennsylvania",NA,"400 E Second St","Bloomsburg","PA","17815",42,2,"Dr. David L. Soltz","President",5703894000,232738930,"75991430",331500,1,"www.bloomu.edu","www.bloomu.edu/admissions/","www.bloomu.edu/aid","www.bloomu.edu/admissions/","www.passhe.edu/answers/Calculator/BL/npcalc-211158.htm","www.bloomu.edu/veterans","www.buhuskies.com/index.aspx","www.bloomu.edu/disabilities",1,1,1,9,1,1,13,1,2,2,2,2,13,1,"A",-2,-2,-2,1,1,1,1,1,2,18,16,6,10,3,13,18,21,2,3,1,"Pennsylvania State System of Higher Education",142050,14100,1,146,-2,42037,"Columbia County",4211,-76.446383,41.007989,2,2,1,1,2,3,1,1,3,"R",9330,"R",3649,"R",5681,"R",7236,"R",2833,"R",4403,"R",1902,"R",839,"R",1063,"R",1895,"R",833,"R",1062,"R",7,"R",6,"R",1,"R",1807,"R",95,"R",306,"R",16,"R",430,"R",530,"R",440,"R",540,"R",18,"R",23,"R",17,"R",22,"R",17,"R",24,"R",2048,"R",805,"R",1243,"R",1,"Z",0,"R",1,"R",15,"R",4,"R",11,"R",105,"R",41,"R",64,"R",77,"R",28,"R",49,"R",1,"R",1,"Z",0,"R",1768,"R",683,"R",1085,"R",40,"R",23,"R",17,"R",22,"R",7,"R",15,"R",19,"R",18,"R",1
"10","Pennsylvania",2021,"2646","Bloomsburg University of Pennsylvania","Alternative, IHE-based",211158,10,0,NA,NA,1,3,3,NA,NA,0,1,0.15,2,5,5,10,5,8,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,1,1,-6,1,1,1,1,"The McDowell Institute for Teacher Excellence in Positive Behavior Support, housed in the College of Education at Bloomsburg University, is a unique component of the institution’s teacher preparation programs that was established in 2012. The McDowell Institute is designed to equip educators with strategies, practices, and experiences to effectively support the academic, social, and emotional growth of all students.  The Institute provides teacher candidates with the social-emotional training that is needed by today’s teachers. This training includes modules on social emotional learning topics that are integrated into coursework within the curriculum. 

All initial teacher preparation candidates in the state of Pennsylvania are required to take nine credits of special education coursework to enable them to effectively teach students with disabilities. Additionally, all teacher preparation candidates must take at least one course focused on teaching English Language Learners. In 2019, a specific field experi",NA,1,NA,1243,"Bloomsburg University of Pennsylvania",NA,"400 E Second St","Bloomsburg","PA","17815",42,2,"Dr. David L. Soltz","President",5703894000,232738930,"75991430",331500,1,"www.bloomu.edu","www.bloomu.edu/admissions/","www.bloomu.edu/aid","www.bloomu.edu/admissions/","www.passhe.edu/answers/Calculator/BL/npcalc-211158.htm","www.bloomu.edu/veterans","www.buhuskies.com/index.aspx","www.bloomu.edu/disabilities",1,1,1,9,1,1,13,1,2,2,2,2,13,1,"A",-2,-2,-2,1,1,1,1,1,2,18,16,6,10,3,13,18,21,2,3,1,"Pennsylvania State System of Higher Education",142050,14100,1,146,-2,42037,"Columbia County",4211,-76.446383,41.007989,2,2,1,1,2,3,1,1,3,"R",9330,"R",3649,"R",5681,"R",7236,"R",2833,"R",4403,"R",1902,"R",839,"R",1063,"R",1895,"R",833,"R",1062,"R",7,"R",6,"R",1,"R",1807,"R",95,"R",306,"R",16,"R",430,"R",530,"R",440,"R",540,"R",18,"R",23,"R",17,"R",22,"R",17,"R",24,"R",2048,"R",805,"R",1243,"R",1,"Z",0,"R",1,"R",15,"R",4,"R",11,"R",105,"R",41,"R",64,"R",77,"R",28,"R",49,"R",1,"R",1,"Z",0,"R",1768,"R",683,"R",1085,"R",40,"R",23,"R",17,"R",22,"R",7,"R",15,"R",19,"R",18,"R",1
