Howely1,Howely2,Howely3,Howely4,Howely5,Howely6,Howely7,Howely8,YF1,YF2,YF3,YF4,explain,Yopp1,Yopp2,Yopp3,Yopp4,Yopp5,Yopp6,Yopp7,Yopp8,Yopp9,Yopp10,Yopp11,Yopp12,Yopp13,Yopp14,Yopp15,Yopp16,Yopp17,Yopp18,Yopp19,Yopp20,Yopp21,Yopp22,Yopp23,Yopp24,YoppComposite,priorC,Texper,Q45_AgeRange,lea,Date
4,4,4,4,5,4,3,2,3-4 times a week,1-2 times a week,1-2 times a month,Less than once a month,I work with teachers on daily basis discussing content and sometimes instruction.,2,3,3,2,5,4,4,4,3,3,4,3,3,3,2,3,3,3,3,4,5,5,5,5,3.50,3-4 years,More than 5 years,41 to 50,Chambersburg,1/6/2017
4,2,2,2,5,2,2,2,Less than once a month,Less than once a month,1-2 times a week,Less than once a month,"I do note feel that I am a math coach in my building. Nor, do I feel that I would be able to have open conversations with the other teachers about instructional practices. In order for this to occur, my principal would need to initiate and follow-up with this expectation.",1,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.33,3-4 years,More than 5 years,41 to 50,Chambersburg-Area,1/6/2017
4,3,2,4,4,3,2,2,1-2 times a month,3-4 times a month,Less than once a month,Less than once a month,"As I am not officially a coach, I feel as though I haven't been able to put many of these concepts into practice.  That being said, I feel that my instructional practices have improved dramatically because of my deeper understanding of content knowledge and the standards of mathematical practices.  I am continuing to push myself and strive for better every week.  ",2,2,2,4,4,3,3,3,3,2,2,3,3,3,2,3,2,3,3,4,4,4,3,4,2.96,Not at all,More than 5 years,41 to 50,York Academy Regional Charter School,1/6/2017
4,4,3,4,2,5,3,4,3-4 times a month,3-4 times a month,1-2 times a month,Less than once a month,,4,2,3,2,5,4,4,5,5,4,4,4,4,4,4,4,3,5,4,3,5,4,4,2,3.83,Not at all,3-5 years,22 to 30,Tuscarora School District,1/6/2017
4,4,4,4,4,4,3,4,3-4 times a month,1-2 times a week,1-2 times a month,Less than once a month,I have loved talking math with other staff.  I have a chance to lead a professional development day that I am excited to share,2,2,3,3,4,4,2,4,3,3,3,3,3,4,4,3,3,3,3,4,4,3,3,3,3.17,Not at all,More than 5 years,31 to 40,Tuscarora School District,1/6/2017
4,4,4,4,4,4,4,4,1-2 times a week,1-2 times a week,Daily,1-2 times a month,I have been working closely with the other kindergarten teacher to model how to do the Eureka math.,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.00,Not at all,More than 5 years,31 to 40,Tuscarora ,1/6/2017
4,3,3,4,4,4,3,4,Less than once a month,Less than once a month,Less than once a month,Less than once a month,I am a regular education teacher.,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.00,Not at all,More than 5 years,31 to 40,Nadine Sanders,1/6/2017
4,4,4,4,4,4,4,4,3-4 times a week,1-2 times a week,Less than once a month,Less than once a month,"I am in a regular classroom, and do not have a lot of time available to do the coaching. ",4,4,4,4,3,4,3,4,4,4,4,3,3,3,4,3,3,3,3,4,4,3,3,3,3.50,Not at all,More than 5 years,31 to 40,James Buchanan Hugh School ,1/6/2017
4,4,4,2,2,2,2,2,1-2 times a month,1-2 times a month,Less than once a month,Less than once a month,"It is difficult to apply these skills because I am a curriculum leader, not a math coach.  I do not have authority over anyone nor the ability to make decisions that impact others.  I can simply lead by example and have professional discussions with my colleagues.",3,3,3,4,3,3,3,2,4,4,4,3,4,4,2,4,4,3,3,4,5,4,4,3,3.46,Not at all,More than 5 years,31 to 40,Spring Grove Area School District,1/6/2017
5,5,5,5,5,5,5,5,3-4 times a week,1-2 times a week,Daily,1-2 times a month,"It has been a slow process as teachers are not always willing to discuss math content knowledge. I think they are more concerned with the data they are collecting at this point, rather than using the data to inform instruction. ",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.00,1-2 years,More than 5 years,22 to 30,Central Dauphin School District,1/6/2017
4,4,4,4,4,4,4,4,Less than once a month,Less than once a month,Less than once a month,Less than once a month,,4,4,4,4,3,5,4,4,5,5,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4.17,Not at all,More than 5 years,31 to 40,Middletown Area School District,1/6/2017
5,5,4,4,5,5,4,4,3-4 times a month,1-2 times a month,1-2 times a month,Less than once a month,I am not working as a math coach. I use the knowledge that I've gained to inform my own practices and my discussions with colleagues.,4,5,3,4,3,2,5,3,2,2,2,2,2,2,2,3,4,3,3,5,4,4,5,4,3.25,Not at all,More than 5 years,41 to 50,Lincoln Intermediate Unit 12,1/6/2017
5,4,5,4,4,5,4,5,Less than once a month,Less than once a month,Less than once a month,Less than once a month,"I am a regular classroom teacher. I have not assumed a ""coaching"" role at this point in the process. ",3,4,3,3,3,3,4,4,3,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,3.63,Not at all,More than 5 years,41 to 50,Middletown Area School District,1/6/2017
5,4,5,5,4,4,4,4,Daily,3-4 times a week,1-2 times a week,Less than once a month,I haven't had the opportunity to apply official math coaching knowledge as of yet.  I am preparing to do a math coaching observation with a colleague for our field experience currently.,3,3,3,4,4,5,4,5,5,5,4,3,4,4,4,5,5,4,4,4,4,4,4,4,4.08,Not at all,More than 5 years,31 to 40,Harrisburg City School District,1/6/2017
5,5,5,5,4,4,4,3,Daily,Daily,1-2 times a week,1-2 times a week,"I am a math intervention teacher and I work with students mainly but at times I work with teachers co teaching, preparing their lesson and helping them develop the lesson as well.",4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.92,Not at all,3-5 years,31 to 40,Harrisburg School District,1/6/2017
3,3,3,4,3,4,3,3,1-2 times a month,Less than once a month,Less than once a month,Less than once a month,"I am  not a math coach, I am an instructional teacher.  I using what I am learning in my own classroom.  Up to this point, I find that I am using this time to reflect more on my own knowledge and practices. ",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.00,Not at all,More than 5 years,31 to 40,York City School District,1/6/2017
5,4,4,4,4,4,3,4,Daily,3-4 times a week,3-4 times a month,Less than once a month,It has been a slow process but I have been able to share with colleagues.,4,4,3,5,3,4,3,4,5,4,4,4,4,4,4,4,3,4,3,4,3,4,5,3,3.83,1-2 years,More than 5 years,31 to 40,Chambersburg,1/6/2017
5,3,3,3,3,4,3,3,3-4 times a week,3-4 times a week,3-4 times a month,1-2 times a month,I have just completed my first college math class in 14 years of teaching.,2,4,3,3,3,3,4,3,5,4,5,5,4,4,4,3,5,5,4,5,5,5,5,4,4.04,Not at all,More than 5 years,41 to 50,Tuscarora,1/6/2017
5,4,5,4,5,5,3,3,1-2 times a week,3-4 times a month,Less than once a month,1-2 times a month,"Although I am not an official math coach, I am learning valuable knowledge that can be implemented in my own classroom, and also shared with my colleagues and administration.  I am also realizing that I have tons to learn.",5,5,5,5,5,5,5,5,4,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,4.71,Not at all,More than 5 years,31 to 40,Spring Grove School District,1/6/2017
4,5,4,4,3,4,5,4,3-4 times a week,1-2 times a week,3-4 times a month,1-2 times a month,"I have been asked by administration to work closely with another 3rd grade teacher to help him become a better, more successful math teacher. He brings his entire class of students into my classroom for the concept development portion of the lesson. Here we work together to assist the students in their understanding of the content.  ",5,4,5,4,5,5,3,4,5,4,4,4,4,4,4,4,4,5,5,5,4,4,4,5,4.33,Not at all,3-5 years,22 to 30,Harrisburg School District,1/6/2017
5,5,5,5,5,5,5,5,Less than once a month,Less than once a month,Less than once a month,Less than once a month,I am not a math coach. I use the skills that I am acquiring in my class and take them back to my administration to enhance instruction in our building and district.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.00,Not at all,More than 5 years,22 to 30,Northern York County School District,1/6/2017
4,4,4,4,3,4,3,2,1-2 times a week,1-2 times a week,Less than once a month,Less than once a month,"I am not in a coaching position, but applying pedagogy and content knowledge to work with math colleagues in designing curriculum, instruction and assessment",2,3,2,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,2.83,Not at all,More than 5 years,31 to 40,Gettysburg Area School District,1/6/2017
5,4,4,5,5,4,4,4,Daily,3-4 times a week,3-4 times a month,1-2 times a week,"I feel that I have made significant progress in this area. I think my biggest gain is simply with confidence. I'm getting great ideas from presenters and colleagues during the courses and the coaching sessions, but I'm also seeing that I am using and have been using many of the principles to action in terms of my teaching. ",4,4,3,3,4,5,5,4,5,4,4,4,4,4,4,3,4,4,4,3,4,4,4,3,3.92,5 or more years,More than 5 years,31 to 40,Harrisburg School District (Melrose School),1/6/2017
