"","UNITID","inst","X","INSTNM","IALIAS","ADDR","CITY","STABBR","ZIP","FIPS","OBEREG","CHFNM","CHFTITLE","GENTELE","EIN","DUNS","OPEID","OPEFLAG","WEBADDR","ADMINURL","FAIDURL","APPLURL","NPRICURL","VETURL","ATHURL","DISAURL","SECTOR","ICLEVEL","CONTROL","HLOFFER","ENRLW","XENRLFT","ENRLFT","XENRLFTM","XCSUNKNM","CSUNKNM","XCSUNKNW","CSUNKNW","XCSNRALT","CSNRALT","XCSNRALM","CSNRALM","XCSNRALW","CSNRALW","infections","city","sector","EFFYLEV","EFYTOTLT","infectionsPerEnroll","INSTNM2","label1"
"1",210571,"Albright College",1236,"Albright College",NA,"1621 N. 13th St.","Reading","PA","19612-5234",42,2,"Lex McMillan III","President",6109212381,231352615,"72851116",322900,1,"www.albright.edu","www.albright.edu/admit/home/","www.albright.edu/admit/home/home/financial-aid/","www.albright.edu/admit/home/home/apply-online/","https://albright.studentaidcalculator.com/survey.aspx","www.albright.edu/accelerated/veterans-and-military-resources.html#meet",NA,"www.albright.edu/disabilityservices/index.html","Private",1,2,7,351,"R",596,"R","R",30,"R",74,"R",12,"R",8,"R",4,7,"Reading","Private",1,2075,0.003,"Albright College",NA
"2",210669,"Allegheny College",1237,"Allegheny College",NA,"520 N Main St","Meadville","PA","16335-3902",42,2,"James H. Mullen, Jr.","President",8143323100,250965212,"74973918",323000,1,"www.allegheny.edu","www.allegheny.edu/admissions/","sites.allegheny.edu/finaid/prospective-students/","www.allegheny.edu/admissions/apply/","www.allegheny.edu/netpricecalculator",NA,NA,"sites.allegheny.edu/disabilityservices/","Private",1,2,5,288,"R",551,"R","R",0,"R",1,"R",13,"R",5,"R",8,29,"Meadville",NA,1,1830,0.016,"Allegheny College",NA
"3",210739,"DeSales U.",1238,"DeSales University",NA,"2755 Station Avenue","Center Valley","PA","18034-9568",42,2,"Very Rev. Bernard F. O'Connor, OSFS","President",6102821100,231653718,"73617227",398600,1,"www.desales.edu","www.desales.edu/home/admissions-financial-aid/apply-to-desales","www.desales.edu/home/admissions-financial-aid/costs-financial-aid","admissions.desales.edu/undergraduate/applying/apply-online","cvweb02.desales.edu/costestimator","www.desales.edu/home/admissions-financial-aid/costs-financial-aid/graduate/funding-your-education/military-benefits",NA,"www.desales.edu/home/about/people/administration-offices/academic-resource-center/disability-services","Private",1,2,9,296,"R",501,"R","R",24,"R",44,"R",0,"R",0,"R",0,8,"Center Valley","Private",1,4317,0.002,"DeSales U",NA
"4",210775,"Alvernia U.",1239,"Alvernia University",NA,"400 Saint Bernardine St","Reading","PA","19607-1799",42,2,"Thomas F. Flynn","President",6107968200,231522643,"100956312",323300,1,"www.alvernia.edu","www.alvernia.edu/admissions/index.html","www.alvernia.edu/financialaid/index.html","www.alvernia.edu/admissions/undergraduate/apply.html","www.alvernia.edu/financialaid/netpricecalculator.html","www.alvernia.edu/financialaid/veteran/index.html",NA,"www.alvernia.edu/student-life/student-success/ADAServicesandAccommodations.html","Private",1,2,9,231,"R",345,"R","R",7,"R",15,"R",2,"R",1,"R",1,2,"Reading","Private",1,3352,0.001,"Alvernia U",NA
"5",211024,"Clarks Summit U.",1240,"Clarks Summit University","BBC |BBC&S |Summit U |Summit University |BBC & S |BBS |Baptist Bible College of PA |Baptist Bible College |Baptist Bible Seminary |Baptist Bible College & Seminary |Baptist Bible College of Pennsylvania |Summit University of Pennsylvania |SU of Pennsylvania |Summit U |Summit U of Pennsylvania","538 Venard Rd","South Abington Township","PA","18411-1250",42,2,"James Lytle","President",5705862400,150543962,"69597813",267000,1,"https://www.clarkssummitu.edu/","https://www.clarkssummitu.edu/future-students/","https://www.clarkssummitu.edu/current-students/financial-services/","discover.summitu.edu/applynow/inquiryform","https://www.clarkssummitu.edu/admissions/future-undergraduate-students/undergraduate-financial-aid/calculate-costs/","https://www.clarkssummitu.edu/admissions/future-undergraduate-students/unique-study-options/military-students-veterans/",NA,"https://www.clarkssummitu.edu/online-programs/online-undergraduate-programs/online-student-learning-support/","Private",1,2,9,50,"R",94,"R","R",2,"R",2,"R",7,"R",6,"R",1,1,"South Abington Township",NA,1,1073,0.001,"Clarks Summit U",NA
"6",211088,"Arcadia U.",1241,"Arcadia University","Beaver College","450 S Easton Rd","Glenside","PA","19038-3295",42,2,"Nicolette DeVille Christensen","President",2155722900,231352620,"77070035",323500,1,"https://www.arcadia.edu","https://www.arcadia.edu/admissions/","https://www.arcadia.edu/admissions/financial-aid-scholarships","https://www.arcadia.edu/admissions/undergraduate/how-apply","https://arcadia.studentaidcalculator.com/welcome.aspx","https://www.arcadia.edu/admissions/financial-aid-scholarships/veterans-programs","https://www.arcadia.edu/university/policies-guidelines/your-right-know","https://www.arcadia.edu/academics/academic-support/disability-support-services","Private",1,2,9,410,"R",600,"R","R",15,"R",55,"R",43,"R",18,"R",25,1,"Glenslide","Private",1,4268,0,"Arcadia U",NA
"7",211158,"Bloomsburg U. of Penna.",1243,"Bloomsburg University of Pennsylvania",NA,"400 E Second St","Bloomsburg","PA","17815",42,2,"Dr. David L. Soltz","President",5703894000,232738930,"75991430",331500,1,"www.bloomu.edu","www.bloomu.edu/admissions/","www.bloomu.edu/aid","www.bloomu.edu/admissions/","www.passhe.edu/answers/Calculator/BL/npcalc-211158.htm","www.bloomu.edu/veterans","www.buhuskies.com/index.aspx","www.bloomu.edu/disabilities","Public",1,1,9,1063,"R",1895,"R","R",7,"R",15,"R",19,"R",18,"R",1,369,"Bloomsburg","Public",1,9843,0.037,"Bloomsburg U of Pennsylvania",NA
"8",211273,"Bryn Mawr College",1245,"Bryn Mawr College",NA,"101 N Merion Avenue","Bryn Mawr","PA","19010",42,2,"Kim Cassidy","President",6105265000,231352621,"67398420",323700,1,"www.brynmawr.edu","www.brynmawr.edu/admissions/","www.brynmawr.edu/sfs/","www.brynmawr.edu/admissions/apply/","npc.collegeboard.org/student/app/brynmawr","www.brynmawr.edu/financial-aid/aid/special-programs-yellow-ribbon-program",NA,"www.brynmawr.edu/access_services/","Private",1,2,9,407,"R",407,"R","R",6,"R",38,"R",84,"R",0,"R",84,8,"Bryn Mawr","Private",1,1799,0.004,"Bryn Mawr College",NA
"9",211291,"Bucknell U.",1246,"Bucknell University",NA,"One Dent Drive","Lewisburg","PA","17837",42,2,"John Bravman","President",5705772000,240772407,"3030335",323800,1,"www.bucknell.edu","www.bucknell.edu/x68.xml","www.bucknell.edu/x21246.xml","https://www.commonapp.org/","npc.collegeboard.org/student/app/bucknell",NA,"https://www.bucknell.edu/HEOA.xml","www.bucknell.edu/Accessibility","Private",1,2,7,476,"R",950,"R","R",3,"R",0,"R",49,"R",27,"R",22,29,"Lewisburg","Private",1,3842,0.008,"Bucknell U",NA
"10",211352,"Cabrini U.",1247,"Cabrini University",NA,"610 King of Prussia Rd","Radnor","PA","19087-3698",42,2,"Donald Taylor","President",6109028100,231526668,"71449789",324100,1,"www.cabrini.edu","www.cabrini.edu/admissions","www.cabrini.edu/financialaid","www.cabrini.edu/apply","www.cabrini.edu/calculator","www.cabrini.edu/veterans",NA,"www.cabrini.edu/Disability","Private",1,2,9,289,"R",481,"R","R",22,"R",48,"Z",0,"Z",0,"Z",0,14,"Radnor",NA,1,2660,0.005,"Cabrini U",NA
