"","namePaste"
"1","A000374 Agriculture"
"2","A000370 Agriculture"
"3","A000055 Appropriations"
"4","A000371 Appropriations"
"5","A000372 Agriculture"
"6","A000376 Foreign Affairs"
"7","A000369 Appropriations"
"8","A000377 Judiciary"
"9","A000375 Ways and Means"
"10","A000378 Agriculture"
"11","B001291 Science Space and Technology"
"12","B001298 Agriculture"
"13","B001307 Agriculture"
"14","B001306 Science Space and Technology"
"15","B001299 Armed Services"
"16","B001282 Financial Services"
"17","B001300 Energy and Commerce"
"18","B001270 Foreign Affairs"
"19","B001281 Financial Services"
"20","B001287 Foreign Affairs"
"21","B001301 Armed Services"
"22","B001292 Science Space and Technology"
"23","B001302 Judiciary"
"24","B001257 Energy and Commerce"
"25","B001311 Homeland Security"
"26","B001250 Armed Services"
"27","B000490 Appropriations"
"28","B000574 Ways and Means"
"29","B001303 Energy and Commerce"
"30","B001278 Education and Labor"
"31","B001295 Agriculture"
"32","B001296 Budget"
"33","B000755 Ways and Means"
"34","B001308 Agriculture"
"35","B001274 Armed Services"
"36","B001284 Energy and Commerce"
"37","B001304 Armed Services"
"38","B001285 Transportation and Infrastructure"
"39","B001260 Ways and Means"
"40","B001297 Foreign Affairs"
"41","B001275 Energy and Commerce"
"42","B001305 Financial Services"
"43","B001309 Budget"
"44","B001248 Energy and Commerce"
"45","B001286 Agriculture"
"46","B001251 Energy and Commerce"
"47","B001289 Armed Services"
"48","C000059 Appropriations"
"49","C001112 Agriculture"
"50","C001097 Energy and Commerce"
"51","C001072 Transportation and Infrastructure"
"52","C001103 Energy and Commerce"
"53","C001051 Appropriations"
"54","C001090 Appropriations"
"55","C001055 Appropriations"
"56","C001117 Financial Services"
"57","C001066 Select Committee on the Climate Crisis"
"58","C001091 Education and Labor"
"59","C000266 Foreign Affairs"
"60","C001109 Armed Services"
"61","C001080 Small Business"
"62","C001084 Foreign Affairs"
"63","C001123 Armed Services"
"64","C001101 Appropriations"
"65","C001067 Energy and Commerce"
"66","C001049 Financial Services"
"67","C001061 Financial Services"
"68","C001118 Education and Labor"
"69","C001115 Oversight and Reform"
"70","C000537 Majority Whip"
"71","C001068 Judiciary"
"72","C001053 Appropriations"
"73","C001093 Judiciary"
"74","C001108 Agriculture"
"75","C001062 Agriculture"
"76","C001078 Foreign Affairs"
"77","C001094 Armed Services"
"78","C000754 Armed Services"
"79","C001110 Homeland Security"
"80","C001059 Agriculture"
"81","C001069 Armed Services"
"82","C001124 Agriculture"
"83","C001119 Agriculture"
"84","C001087 Agriculture"
"85","C001120 Budget"
"86","C001111 Appropriations"
"87","C001121 Armed Services"
"88","C001063 Appropriations"
"89","C000984 Oversight and Reform"
"90","C001122 Natural Resources"
"91","C001114 Foreign Affairs"
"92","D000629 Small Business"
"93","D000626 Financial Services"
"94","D000096 Ways and Means"
"95","D000619 Agriculture"
"96","D000598 Armed Services"
"97","D000631 Financial Services"
"98","D000191 Transportation and Infrastructure"
"99","D000197 Energy and Commerce"
"100","D000216 Appropriations"
"101","D000617 Ways and Means"
"102","D000630 Agriculture"
"103","D000627 Homeland Security"
"104","D000623 Education and Labor"
"105","D000616 Agriculture"
"106","D000610 Ethics"
"107","D000600 Appropriations"
"108","D000624 Energy and Commerce"
"109","D000399 Budget"
"110","D000482 Energy and Commerce"
"111","D000615 Energy and Commerce"
"112","D000628 Agriculture"
"113","E000294 Financial Services"
"114","E000179 Foreign Affairs"
"115","E000299 Armed Services"
"116","E000215 Energy and Commerce"
"117","E000297 Foreign Affairs"
"118","E000298 Ways and Means"
"119","E000296 Small Business"
"120","F000465 Ways and Means"
"121","F000467 Small Business"
"122","F000466 Foreign Affairs"
"123","F000459 Appropriations"
"124","F000468 Science Space and Technology"
"125","F000461 Budget"
"126","F000449 Appropriations"
"127","F000454 Financial Services"
"128","F000450 Education and Labor"
"129","F000462 Appropriations"
"130","F000455 Agriculture"
"131","F000469 Education and Labor"
"132","G000571 Armed Services"
"133","G000578 Armed Services"
"134","G000579 Armed Services"
"135","G000574 Armed Services"
"136","G000559 Armed Services"
"137","G000586 Financial Services"
"138","G000587 Financial Services"
"139","G000584 Energy and Commerce"
"140","G000563 Oversight and Reform"
"141","G000552 Judiciary"
"142","G000592 Armed Services"
"143","G000585 Oversight and Reform"
"144","G000588 Financial Services"
"145","G000581 Financial Services"
"146","G000582 Natural Resources"
"147","G000589 Financial Services"
"148","G000565 Natural Resources"
"149","G000583 Financial Services"
