"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","id"
"1","Sophisticated Lady / Tea For Two","1933","Art Tatum","The Genius Of Art Tatum, No. 21","1955","Art Tatum","The Tatum Group Masterpieces, Vol. 5","1964","Art Tatum / Lionel Hampton / Harry Edison / Buddy Rich / Red Callender / Barney Kessel","Live Sessions 1940 / 1941","1975","Art Tatum","20th Century Piano Genius","1986","Art Tatum","Jazz Masters (100 Ans De Jazz)","1998","Art Tatum","The Art Tatum - Ben Webster Quartet","2015","Art Tatum / Ben Webster","El Gran Tatum",NA,"Art Tatum","Sweet Georgia Brown / Shiek Of Araby / Back O' Town Blues","1945","Benny Goodman Quintet* / Esquire All Stars Featuring Louis Armstrong","The Immortal Live Sessions 1944/1947","1975","Louis Armstrong","Anything Goes: The Cole Porter Songbook - Instrumentals","1992","Cole Porter","Oscar Rides Again","2008","Oscar Pettiford","Battery Bounce / Lucille Blues",NA,"Art Tatum And His Band","Black & White Jazz","1973","Various","Jazz-Live & Rare: The First Esquire Concert","1986","Various","G.I. Jukebox (100 Original Hits From The Swing Era 1936–1946)","1993","Various","Jazz Jive And Jump","1996","Various","Los Veinte Del Siglo Veinte: Jazz","1999","Various","Les Standards Du Jazz (20 Titres De Légende)","2002","Various","Jazz","2005","Various","Waltzing The Blues","2007","Benny Carter","Jazz Legends (The Musicians Who Define A Genre)","2014","Various","RCA Jazz [Easy Listening] Sampler ",NA,"Various","1"
"2","Star Dust / Ill Wind","1934","Art Tatum","The Genius Of Art Tatum #27","1955","Art Tatum","This Is...Art Tatum  - Vol 1","1964","Art Tatum","The Tatum Solo Masterpieces, Vol. 10","1975","Art Tatum","Solos 1937 & Classic Piano Solos","1988","Art Tatum","1945-1947","1998","Art Tatum","The Tatum Group Masterpieces","2018","Art Tatum / Ben Webster","Willow Weep For Me / Gershwin Medley",NA,"Art Tatum","Flyin' On A V-Disc","1946","Lionel Hampton And The V-Disc All-Stars*","Lionel Hampton And His Giants","1975","Lionel Hampton","Blue Berlin - Blue Note Plays The Music Of Irving Berlin","1992","Various","Guitar (Greatest Works)","2008","Various","Hot Jazz On Film - Volume 1",NA,"Various","De la prohibition à la protestation - 50 ans de pop music américaine","1973","Various","Jazz Legends","1986","Various","Swing Piano Bar","1993","Various","The Stars Salute Rodgers & Hart","1996","Rodgers & Hart","Totally Jazz Piano","1999","Various","Classic Jazz: The Thirties","2002","Various","Songbook","2005","Hoagy Carmichael","Jazz - A Fine Romance - Jazz Greats","2007","Various","The Real... Jazz (The Ultimate Jazz Collection)","2014","Various","Les Maîtres Du Piano Jazz",NA,"Various","2"
"3","I Ain't Got Nobody / When A Woman Loves A Man","1934","Art Tatum","The Genius of Art Tatum 26","1955","Art Tatum","Great Jazz Pianists","1965","Oscar Peterson / Erroll Garner / Art Tatum","The Tatum Group Masterpieces, Vols. 1 y 2","1975","Art Tatum, Benny Carter, Louis Bellson","Masterpieces 1938-1939","1988","Art Tatum","Virtuous","1999","Art Tatum","Masters Of Jazz Piano","2018","Art Tatum And Oscar Peterson","Boogie-Woogie / Someone To Watch Over Me",NA,"Art Tatum","Boogie / If I Had You","1946","Art Tatum Trio","Harlem Odyssey","1975","Various","The Blues (A Smithsonian Collection Of Classic Blues Singers) ","1993","Various","Alto Sax (Greatest Works)","2008","Various","Mostly Blues ....And Some Others",NA,"The Count Basie Kansas City Septem*","Jazz Piano Greats","1974","Various","The Gershwin Collection: An Historical Treasury Of The Music Of George Gershwin","1987","Various","Jazz On A Winter's Night","1993","Various","The Sunday Times Music Collection - The Jazz Band Set : No.3 - Piano","1996","Various","Jazz: 15 perel!","1999","Various","Boogie Woogie Piano","2002","Various","Piano","2005","Various","Ticklin' The Ivories - Volume 2","2007","Various","Swing Noir: Music From The Jazz Clubs Of The 1930s","2014","Various","The Best Of Jazz",NA,"Various","3"
"4","Love Me / Cocktails For Two","1934","Art Tatum","St. Louis Blues","1955","Art Tatum","Art Tatum","1965","Art Tatum","The Keys Tone Sessions","1976","Art Tatum","Play Piano Play","1988","Art Tatum - Erroll Garner","Central Avenue Sounds, Jazz In Los Angeles (1921-1956)","1999","Wardell Gray, Nat King Cole, Dexter Gordon, Jelly Roll Morton, T-Bone Walker, Art Tatum, Lionel Hampton, Charles Mingus, Gerald Wilson, Benny Carter","It Had To Be You / Where Or When",NA,"Art Tatum","The Swing Piano",NA,"Earl Hines And And*, Teddy Wilson","The Man I Love / I Know That You Know","1949","Art Tatum Trio","Piano Giants Vol. 1","1975","Various","Black Legends Of Jazz","1994","Various","Ben Webster - Art Tatum Quartet","2010","The Art Tatum - Ben Webster Quartet","Chairmen Of The Board",NA,"Various","Those Memory Years","1974","Various","Hall Of Fame, Volume 1","1987","Various","I Grandi Successi 1949-1950","1993","Various","Essential Jazz Volume 1","1996","Various","Parkinson's Choice","1999","Various","Late Night Jazz","2002","Various","Smooth Jazz","2005","Various","So Jazz","2007","Various","Jazz From America On Disques Vogue","2015","Various","That's Jazz Volume 3: Piano Stomp",NA,"Various","4"
"5","Star Dust / Beautiful Love","1934","Art Tatum","The Genius Of Art Tatum # 10","1955","Art Tatum","Art!","1966","Art Tatum","Erroll Garner Art Tatum","1976","Errol Garner* - Art Tatum","The Genius Of Keyboard","1988","Art Tatum","Body And Soul","1999","Art Tatum","Art Tatum",NA,"Art Tatum","Anything For You / Love Me",NA,"Art Tatum","Piano Solos With Rhythm Accompaniment","1950","Art Tatum Trio","1955-1956","1975","The Art Tatum Trio*","The Verve Story 1944-1994 - Disc Two","1994","Various","Kind Of Rich","2011","Buddy Rich","The Greatest Names In Jazz",NA,"Various","Genius On The Black Side: Shows #40-45","1975","Various","Hollywood Collection","1987","Various","Hubert Gregg Says 'Thanks For The Memory' (Favourite Items From His Classic Radio 2 Series)","1993","Hubert Gregg","Les Villes Du Jazz / Jazz Cities","1996","Various","Jazz: The Definitive Performances","1999","Various","Jazz Magazine N. 15","2002","Various","Jazz Piano Masters","2005","Various","Les Trésors Du Jazz 1956","2007","Various","The Real... Blues ","2015","Various","The Ultimate Jazz Piano",NA,"Various","5"
"6","The Shout / After You've Gone","1935","Art Tatum","The Genius Of Art Tatum Number Eleven","1955","Art Tatum","Piano Modern","1966","Art Tatum, John Lewis (2), Bud Powell, Cecil Taylor, Oscar Peterson","Piano Solo - Tatum Is Art - 1938-1939","1976","Art Tatum","Piano Solo 1944-1948","1988","Art Tatum","Swings","1999","Art Tatum","The Art Of Art Tatum Vol.1",NA,"Art Tatum","The Art Of Tatum",NA,"Art Tatum","Art Tatum Trio (And Piano Solos By Art Tatum)","1950","Art Tatum Trio","George Gershwin 1898-1937 Diapason ""Rhapsody In Blue""","1976","George Gershwin, Michael Tilson Thomas, The Columbia Jazz Band","The First Esquire Concert, 1944 - Vol. 1","1994","Esquire All Stars feat. Louis Armstrong","The 100 Best Jazz Tunes Of The 1950's","2011","Various","Esquire's 1944 Jazz Book Free Demonstration Record","1944","Various","Genius On The Black Side: Shows #1-13","1975","Various","The Boogie Woogie Performed By The Original Artists","1987","Various","All-Star Piano Moods","1993","Various","The Complete Jazz Experience","1996","Various","Fly Me To The Moon Smooth Jazz Classics","1999","Various","Jazz Legends","2002","Various","Jazz Top 100 Allertijden (The Greatest Standards)","2005","Various","Hits From The War Years","2008","Various","Take Five (Jazz Für Klavier)","2015","Various","Jazz - Volume 2",NA,"Various","6"
"7","St. Louis Blues / Tiger Rag","1935","Art Tatum","The Art Tatum - Roy Eldridge - Alvin Stoller - John Simmons Quartet","1955","Art Tatum, Roy Eldridge, Alvin Stoller, John Simmons","An Art Tatum Concert Plus His First Three Recorded Solos","1966","Art Tatum","The Great Art Tatum","1976","Art Tatum","The Complete Capitol Recordings","1988","Art Tatum","Ultimate Art Tatum","1999","Art Tatum","Yesterdays / Dancin' Pants / Someone To Watch Over Me / No Bones At All",NA,"Art Tatum / Quincy Jones","Art Tatum The Genius ",NA,"Art Tatum","Footnotes To Jazz Vol. 2: Rehearsal","1952","Art Tatum Trio","Reefer Songs: 16 Original Jazz Classics","1976","Various","The Verve Story: 1944 - 1994","1994","Various","The Enduring Charm Of Adelaide Hall - Original Recordings 1927 - 1944","2011","Adelaide Hall","Art Tatum Trio (And Piano Solos By Art Tatum)","1950","Art Tatum Trio","Harlem Odyssey","1975","Various","A Tribute To George Gershwin By The Giants Of Jazz","1987","Various","Ballads In Jazz (New-York - Chicago - Los Angeles 1930-1943)","1994","Various","Juke Joint Jump (A Boogie Woogie Celebration)","1996","Various","Jazz Café: Mellow Jazz Grooves","1999","Various","Midnight Jazz","2002","Various","Tea Time Jazz","2005","Various","Piano (Greatest Works)","2008","Various","Jazzing The Classics","2015","Various","Irving Berlin Song Book",NA,"Various","7"
"8","(I Would Do) Anything For You / Liza","1937","Art Tatum","The Genius Of Art Tatum, No. 20","1955","Art Tatum","The Art Of Art","1966","Art Tatum","Song Of The Vagabonds","1976","Art Tatum","The Art Of Tatum","1988","Art Tatum","Blue Mood","2000","Charlie* - Sarah* - Art* - Django*","Alone And With Friends",NA,"Art Tatum","Art Tatum",NA,"Art Tatum","Piano Solos With Rhythm Accompaniment, Vol. 1","1953","Art Tatum Trio","Blues Box 2","1976","Various","New York Chicago Hollywood Los Angeles 1930 - 1944","1995","Lionel Hampton","The Ultimate Jazz Archive","2011","Various","Unknown","1952","Various","Black Giants","1975","Various","Les Géants Du Jazz, Vol. 2","1988","Various","Piano Power - 20 Jazz Piano Classics","1994","Various","After Hours - 18 Of The Best Piano Standards","1997","Various","CLASSICS Complimentary Tracks","1999","Various","Jazz Club Ballads","2002","Various","Songs Written By Love","2005","Various","Smooth Jazz Special Edition","2008","Various","Jazzlounge","2015","Various","JAZZ Scene 1:  Epic Jazz All Stars",NA,"Various","8"
"9","Beautiful Love / Liza","1937","Art Tatum","The Tatum-Carter-Bellson Trio Album #2","1955","Art Tatum / Benny Carter / Louis Bellson","Les Plus Grands Pianistes De Jazz De Notre Temps","1968","Oscar Peterson, Erroll Garner, Art Tatum","Master Of Jazz 3 - Art Tatum","1976","Art Tatum","An Art Tatum Concert / ""Fatha"". The Earl Hines Trio","1989","Art Tatum <U+FF65> Earl Hines","Art's Art","2000","Art Tatum","The Art Of Tatum",NA,"Art Tatum","Piano Greats",NA,"Errol Garner* and Art Tatum / Mike Di Napoli","Piano Solos With Rhythm Accompaniment, Vol. 2","1953","Art Tatum Trio"," The Tatum Group Masterpieces Vol. 1","1977","Art Tatum / Benny Carter / Louis Bellson","New York Camden Londres Paris Chicago 1926 - 1944","1995","Coleman Hawkins","Jazz At The Hollywood Bowl","2011","Various","Piano Stylists","1952","Various","Piano Giants Vol.I","1975","Various","Les Géants Du Jazz Vol.2","1988","Various","Swing Kings","1994","Various","The Classic Jazz Collection","1997","Various","The Ultimate Jazz Collection - Jazz Essentials","1999","Various","Les Trésors Du Jazz 1944-1951","2002","Various","Jazz Portrék A Kezdetektol Az Ötvenes Évekig","2005","Various","Jazz For Lovers III: Unforgettable Songs","2008","Various","Instrumental Jazz For Relaxing","2016","Various","A Jumpin' Jubilee",NA,"Various","9"
"10","Gone With The Wind / Stormy Weather","1937","Art Tatum","The Tatum-Carter-Bellson Trio","1955","Art Tatum / Benny Carter / Louis Bellson","The Swing Piano","1968","Earl Hines And Art Tatum And Teddy Wilson",". . . Again! - The Tatum Group Masterpieces","1976","Tatum* • Hampton* • Rich*","Body And Soul","1989","Art Tatum","Cocktails For Two","2000","Art Tatum","Art Tatum",NA,"Art Tatum","The Genius of Art Tatum # 24",NA,"Art Tatum","Part 2","1953","The Art Tatum Trio*","The Pablo Collection","1978","Various","All Of Me","1995","Billie Holiday","The Art Tatum-Ben Webster Quartet","2012","The Art Tatum - Ben Webster Quartet, The Ben Webster-Teddy Wilson Quartet","Modern Jazz Piano","1954","Various","25 Géants Du Piano Jazz","1976","Various","Classic Jazz Piano (1927-1957)","1988","Various","The Great Jazz Pianists","1994","Various","Whittard Tea Dance 2","1997","Various","The Jazz Giants Play Duke Ellington Caravan","1999","Various","Hot Jazz","2002","Siné","The Original Jazz Legends, Volume One","2005","Various","Grandes Momentos Del Jazz - Piano El Alma Del Jazz","2008","Various","Mississippi Juke Joint Blues","2016","Various","The Asch Recordings, 1939-1947, Volume One Blues, Gospel, And Jazz",NA,"Various","10"
