"","GHGRP ID","Landfill ID","Landfill Name","State","Landfill Alias","Physical Address","City","County","Zip Code","Latitude","Longitude","Composting?","Ownership Type","Landfill Owner Organization(s)","Landfill Operator Organization","Year Landfill Opened","Landfill Closure Year","Current Landfill Status","Design Landfill Area (acres)","Current Landfill Area (acres)","Design Landfill Depth (feet)","Current Landfill Depth (feet)","Landfill Design Capacity (tons)","Waste in Place (tons)","Waste in Place Year","Annual Waste Acceptance Rate (tons per year)","Annual Waste Acceptance Year","Does LF Recirculate Leachate?","Leachate Recirc Frequency (Past 10 Yrs)","Permitted as RD&D LF?","LFG Generated (mmscfd)","LFG Collection System In Place?","LFG Collected (mmscfd)","LFG Collected Year","Percent Methane","Flares in Place?","Number of Flares","LFG Flared (mmscfd)","LFG Flared Year","Gas Collection System Comments"
"1",1007341,1994,"Anchorage Regional Landfill","AK",NA,"15500 E. Eagle River Loop Road","Eagle River","Anchorage","99577",61.293281,-149.602138,"No","Public","Municipality of Anchorage, AK","Municipality of Anchorage, AK",1987,2043,"Open",165,112,300,150,27104639,10707395,2021,307028,2021,"No","Not used","Yes",5.675,"Yes",4.026,2021,51.2,"Yes",1,1.91,2021,"4/10-GCCS in operation since Oct. 2006.; 2010-53 wells, system capacity=2000 acfm.; 9/13-36 vertical wells, 21 horizontal wells, and 8 interconnections with leachate system collect from 87 acres, enclosed flare from Parnell Industries."
"2",1010389,11941,"Capitol Disposal Landfill","AK",NA,"5600 Tonsgard Court","Juneau","Juneau","99801",58.3528,-134.4947,"No","Private","WM",NA,1965,2052,"Open",35,NA,NA,38,1814421,978777,2021,27974,2021,"No","Not used","No",0.765,"Yes",0.661,2021,26.5,"Yes",1,0.661,2021,"9/10-16 wells over 13 acres, system installed in 2009, 1 open flare."
"3",1005349,12216,"Central Peninsula Landfill (CPL)","AK","Soldotna Landfill; Central Peninsula Baling Facility; Soldotna KPB Central Landfill","46915 Sterling Highway","Soldotna","Kenai Peninsula","99669",60.443004,-151.107896,"No","Public","Kenai Peninsula Borough, AK","Kenai Peninsula Borough, AK",1969,2042,"Open",NA,24.8,NA,NA,2703698,1766247,2021,44448,2021,"Yes","Several times per year","Yes",0.657,"No",NA,NA,NA,"No",NA,NA,NA,"2010-Passive venting."
"4",NA,10960,"Kodiak Island Borough Landfill","AK",NA,"1203 Monashka Bay Road","Kodiak","Kodiak Island","99615",57.80874,-152.40761,"No","Public","Kodiak Island Borough, AK","Kodiak Island Borough, AK",NA,2014,"Closed",NA,NA,NA,100,NA,228688,2007,14674,2007,"Unknown","Not used","No",NA,"No",NA,NA,NA,"Unknown",NA,NA,NA,NA
"5",1004380,11020,"Merrill Field Landfill","AK",NA,"800 Merrill Field Drive","Anchorage","Anchorage","99501",61.21266,-149.84012,"No","Public","Municipality of Anchorage, AK",NA,1960,1987,"Closed",NA,185.7,NA,NA,3295353,3295353,1987,205044,1987,"No","Not used","No",1.187,"Yes",0.126,2021,33.2,"Yes",1,0.126,2021,"2012-30 wells, system capacity=500 acfm."
"6",1011448,10980,"Palmer Central Landfill","AK","Central Landfill - MatSu Borough","1201 N. 49th State Street
Just off the Palmer-Wasilla Highway","Palmer","Matanuska-Susitna","99645",61.59,-149.21,"No","Public","Matanuska-Susitna Borough, AK","Matanuska-Susitna Borough, AK",1980,2150,"Open",NA,NA,NA,45,41974220,2107165,2021,86485,2021,"No","Not used","Yes",NA,"Yes",0.174,2021,37.3,"Yes",NA,0.174,2021,NA
"7",1006806,10961,"South Cushman Landfill","AK","Fairbanks North Star Borough S. Cushman Landfill","455 Sanduri Street","Fairbanks","Fairbanks North Star","99701",64.80476,-147.70085,"No","Public","Fairbanks North Star Borough, AK","Fairbanks North Star Borough, AK",1963,2088,"Open",NA,97.7,NA,NA,10518622,4602053,2021,102947,2021,"Yes","Several times per year","Yes",0.858,"No",NA,NA,NA,"No",NA,NA,NA,"3/11-13 wells installed in 2010, not connected yet, will be low flow.; 2012-Passive vents/flares only."
"8",NA,11000,"Unalaska Landfill","AK",NA,"1181 Summer Bay Road","Unalaska","Aleutians West","99685",53.88463,-166.50657,"No","Public","City of Unalaska","City of Unalaska",1970,2013,"Closed",NA,NA,NA,30,NA,NA,NA,900,2007,"Unknown","Not used","No",NA,"Unknown",NA,NA,NA,"Unknown",NA,NA,NA,NA
"9",1001297,10860,"Arrowhead Landfill","AL","Perry County Associates Landfill","On Cahaba Road
622 Tayloe Road","Uniontown","Perry","36786",32.413,-87.4685,"No","Private","Arrowhead Environmental Partners",NA,2007,2099,"Open",425.3,NA,NA,NA,63278380,5505276,2021,708064,2021,"Yes","Several times per year","No",0.3,"No",NA,NA,NA,"No",NA,NA,NA,NA
"10",NA,27,"Athens/Limestone County SLF MSWLF","AL",NA,"Strain Road
off Highway 31","Athens","Limestone","35611",34.7634,-86.9399,"No","Public","City of Athens, AL","City of Athens, AL",1972,1996,"Closed",65,NA,78,NA,NA,1195575,NA,NA,NA,"Unknown","Not used","No",NA,"No",NA,NA,NA,"No",NA,NA,NA,NA
