inst,infections,state,date
Albright College,7,PA,11/13/2020
Allegheny College,29,PA,11/13/2020
Alvernia University,2,PA,11/13/2020
Arcadia University,1,PA,11/13/2020
Bloomsburg University of Pennsylvania,369,PA,11/13/2020
Bryn Athyn College‡,1,PA,11/13/2020
Bryn Mawr College,8,PA,11/13/2020
Bucknell University,29,PA,11/13/2020
Cabrini University,14,PA,11/13/2020
California University of Pennsylvania,7,PA,11/13/2020
Carnegie Mellon University,67,PA,11/13/2020
Cedar Crest College,1,PA,11/13/2020
Chatham University,47,PA,11/13/2020
Clarion University of Pennsylvania,2,PA,11/13/2020
Clarks Summit University,1,PA,11/13/2020
Community College of Allegheny County,31,PA,11/13/2020
DeSales University,8,PA,11/13/2020
Delaware Valley University,18,PA,11/13/2020
Drexel University,36,PA,11/13/2020
Duquesne University,167,PA,11/13/2020
East Stroudsburg University,9,PA,11/13/2020
Eastern University,21,PA,11/13/2020
Edinboro University,6,PA,11/13/2020
Elizabethtown College,15,PA,11/13/2020
Franklin and Marshall College,17,PA,11/13/2020
Gannon University,79,PA,11/13/2020
Geneva College,6,PA,11/13/2020
Gettysburg College,99,PA,11/13/2020
Grove City College,33,PA,11/13/2020
Haverford College,5,PA,11/13/2020
Holy Family University,4,PA,11/13/2020
Immaculata University,1,PA,11/13/2020
Indiana University of Pennsylvania,312,PA,11/13/2020
Juniata College,32,PA,11/13/2020
King's College,16,PA,11/13/2020
Kutztown University,346,PA,11/13/2020
La Roche University,2,PA,11/13/2020
La Salle University,18,PA,11/13/2020
Lafayette College,26,PA,11/13/2020
Lancaster Bible College,3,PA,11/13/2020
Lebanon Valley College,1,PA,11/13/2020
Lehigh University,262,PA,11/13/2020
Lock Haven University,90,PA,11/13/2020
Lycoming College,11,PA,11/13/2020
Mansfield University of Pennsylvania,14,PA,11/13/2020
Marywood University,31,PA,11/13/2020
Mercyhurst University,20,PA,11/13/2020
Messiah University,43,PA,11/13/2020
Millersville University of Pennsylvania,75,PA,11/13/2020
Misericordia University,35,PA,11/13/2020
Moravian College,28,PA,11/13/2020
Mount Aloysius College,41,PA,11/13/2020
Muhlenberg College,4,PA,11/13/2020
Neumann University,4,PA,11/13/2020
Penn State University,3883,PA,11/13/2020
Penn State University Abington,5,PA,11/13/2020
Penn State University Altoona,224,PA,11/13/2020
Penn State University Beaver,2,PA,11/13/2020
Penn State University Behrend,29,PA,11/13/2020
Penn State University Berks,11,PA,11/13/2020
Penn State University Brandywine,3,PA,11/13/2020
Penn State University College of Medicine*,19,PA,11/13/2020
Penn State University DuBois,1,PA,11/13/2020
Penn State University Fayette,3,PA,11/13/2020
Penn State University Harrisburg,21,PA,11/13/2020
Penn State University Hazleton,2,PA,11/13/2020
Penn State University Lehigh Valley,1,PA,11/13/2020
Penn State University Mont Alto,4,PA,11/13/2020
Penn State University New Kensington,3,PA,11/13/2020
Penn State University Schuylkill,3,PA,11/13/2020
Penn State University Scranton,14,PA,11/13/2020
Pennsylvania College of Technology,70,PA,11/13/2020
Point Park University,26,PA,11/13/2020
Robert Morris University,24,PA,11/13/2020
Rosemont College,7,PA,11/13/2020
Saint Francis University,30,PA,11/13/2020
Saint Joseph's University,278,PA,11/13/2020
Saint Vincent College,10,PA,11/13/2020
Seton Hill University,59,PA,11/13/2020
Shippensburg University of Pennsylvania,82,PA,11/13/2020
Slippery Rock University of Pennsylvania,206,PA,11/13/2020
Susquehanna University,14,PA,11/13/2020
Swarthmore College,24,PA,11/13/2020
Temple University,711,PA,11/13/2020
Thiel College,39,PA,11/13/2020
Thomas Jefferson University,140,PA,11/13/2020
University of Pennsylvania,660,PA,11/13/2020
University of Pittsburgh,398,PA,11/13/2020
University of Pittsburgh Johnstown,52,PA,11/13/2020
University of Pittsburgh at Bradford,25,PA,11/13/2020
