TotalScore,q1,q2,q3,q4,q5,q6,q7
5,1,0,0,1,1,1,1
4,1,0,1,0,1,1,0
7,1,1,1,1,1,1,1
6,1,0,1,1,1,1,1
4,1,0,0,1,1,1,0
4,1,0,0,1,0,1,1
4,1,0,0,1,1,1,0
4,1,0,0,1,1,1,0
5,1,0,1,1,1,0,1
6,1,0,1,1,1,1,1
5,1,0,0,1,1,1,1
7,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1
4,1,0,0,1,1,1,0
5,1,0,0,1,1,1,1
4,1,0,0,1,1,1,0
7,1,1,1,1,1,1,1
4,1,0,0,1,1,1,0
6,1,0,1,1,1,1,1
4,1,0,0,1,1,1,0
3,0,0,0,1,1,1,0
4,1,0,0,1,1,1,0
3,0,0,0,1,1,1,0
4,1,0,0,1,0,1,1
5,1,0,1,1,0,1,1
5,0,0,1,1,1,1,1
4.85,0.88,0.15,0.42,0.96,0.88,0.96,0.58
