"","Year","Film","CleanTitle"
"1","1972","Slaughterhouse-Five","Slaughterhouse-Five"
"2","1973","Soylent Green","Soylent Green"
"3","(2nd)","Battle for the Planet of the Apes","Battle for the Planet of the Apes"
"4",NA,"Beware! The Blob","Beware! The Blob"
"5",NA,"The Day of the Dolphin","The Day of the Dolphin"
"6",NA,"The Neptune Factor","The Neptune Factor"
"7",NA,"Sleeper","Sleeper"
"8",NA,"Sssssss","Sssssss"
"9",NA,"Westworld","Westworld"
"10","1974/1975","Rollerball","Rollerball"
"11","(3rd)","A Boy and His Dog","A Boy and His Dog"
"12",NA,"The Stepford Wives","The Stepford Wives"
"13","1976","Logan's Run","Logan's Run"
"14","(4th)","Embryo","Embryo"
"15",NA,"Futureworld","Futureworld"
"16",NA,"God Told Me To","God Told Me To"
"17",NA,"The Man Who Fell to Earth","The Man Who Fell to Earth"
"18",NA,"Network","Network"
"19",NA,"Solaris (<U+0421><U+043E><U+043B><U+044F><U+0440><U+0438><U+0441>)","Solaris (<U+0421><U+043E><U+043B><U+044F><U+0440><U+0438><U+0441>)"
"20","1977","Star Wars","Star Wars"
"21","(5th)","Close Encounters of the Third Kind","Close Encounters of the Third Kind"
"22",NA,"Demon Seed","Demon Seed"
"23",NA,"The Island of Dr. Moreau","The Island of Dr. Moreau"
"24",NA,"Twilight's Last Gleaming","Twilight's Last Gleaming"
"25","1978","Superman","Superman"
"26","(6th)","The Boys from Brazil","The Boys from Brazil"
"27",NA,"Capricorn One","Capricorn One"
"28",NA,"The Cat from Outer Space","The Cat from Outer Space"
"29",NA,"Invasion of the Body Snatchers","Invasion of the Body Snatchers"
"30","1979","Alien","Alien"
"31","(7th)","The Black Hole","The Black Hole"
"32",NA,"Moonraker","Moonraker"
"33",NA,"Star Trek: The Motion Picture","Star Trek: The Motion Picture"
"34",NA,"Time After Time","Time After Time"
"35","1980","The Empire Strikes Back","The Empire Strikes Back"
"36","(8th)","Altered States","Altered States"
"37",NA,"Battle Beyond the Stars","Battle Beyond the Stars"
"38",NA,"The Final Countdown","The Final Countdown"
"39",NA,"Flash Gordon","Flash Gordon"
"40","1981","Superman II","Superman II"
"41","(9th)","Escape from New York","Escape from New York"
"42",NA,"Heartbeeps","Heartbeeps"
"43",NA,"Heavy Metal","Heavy Metal"
"44",NA,"Outland","Outland"
"45","1982","E.T. the Extra-Terrestrial","E.T. the Extra-Terrestrial"
"46","(10th)","Blade Runner","Blade Runner"
"47",NA,"Endangered Species","Endangered Species"
"48",NA,"Star Trek II: The Wrath of Khan","Star Trek II: The Wrath of Khan"
"49",NA,"Tron","Tron"
"50","1983","Return of the Jedi","Return of the Jedi"
"51","(11th)","Blue Thunder","Blue Thunder"
"52",NA,"Brainstorm","Brainstorm"
"53",NA,"Strange Invaders","Strange Invaders"
"54",NA,"WarGames","WarGames"
"55","1984","The Terminator","The Terminator"
"56","(12th)","Dune","Dune"
"57",NA,"Star Trek III: The Search for Spock","Star Trek III: The Search for Spock"
"58",NA,"Starman","Starman"
"59",NA,"2010: The Year We Make Contact","2010: The Year We Make Contact"
"60","1985","Back to the Future","Back to the Future"
"61","(13th)","Cocoon","Cocoon"
"62",NA,"Enemy Mine","Enemy Mine"
"63",NA,"Mad Max 3: Beyond Thunderdome","Mad Max 3: Beyond Thunderdome"
"64",NA,"A View to a Kill","A View to a Kill"
"65","1986","Aliens","Aliens"
"66","(14th)","Flight of the Navigator","Flight of the Navigator"
"67",NA,"Peggy Sue Got Married","Peggy Sue Got Married"
"68",NA,"Short Circuit","Short Circuit"
"69",NA,"Star Trek IV: The Voyage Home","Star Trek IV: The Voyage Home"
"70","1987","RoboCop","RoboCop"
"71","(15th)","The Hidden","The Hidden"
"72",NA,"Innerspace","Innerspace"
"73",NA,"Masters of the Universe","Masters of the Universe"
"74",NA,"Predator","Predator"
"75",NA,"The Running Man","The Running Man"
"76","1988","Alien Nation","Alien Nation"
"77","(16th)","The Blob","The Blob"
"78",NA,"Cocoon: The Return","Cocoon: The Return"
"79",NA,"My Stepmother Is an Alien","My Stepmother Is an Alien"
"80",NA,"Short Circuit 2","Short Circuit 2"
"81",NA,"They Live","They Live"
"82","1989/1990","Total Recall","Total Recall"
"83","(17th)","The Abyss","The Abyss"
"84",NA,"Back to the Future Part II","Back to the Future Part II"
"85",NA,"Back to the Future Part III","Back to the Future Part III"
"86",NA,"Bill & Ted's Excellent Adventure","Bill & Ted's Excellent Adventure"
"87",NA,"Flatliners","Flatliners"
"88",NA,"Honey, I Shrunk the Kids","Honey, I Shrunk the Kids"
"89",NA,"RoboCop 2","RoboCop 2"
"90",NA,"Tremors","Tremors"
"91","1991","Terminator 2: Judgment Day","Terminator 2: Judgment Day"
"92","(18th)","Frankenstein Unbound","Frankenstein Unbound"
"93",NA,"Prayer of the Rollerboys","Prayer of the Rollerboys"
"94",NA,"Predator 2","Predator 2"
"95",NA,"The Rocketeer","The Rocketeer"
"96",NA,"Timescape","Timescape"
"97","1992","Star Trek VI: The Undiscovered Country","Star Trek VI: The Undiscovered Country"
"98","(19th)","Alien 3","Alien 3"
"99",NA,"Freejack","Freejack"
"100",NA,"Honey, I Blew Up the Kid","Honey, I Blew Up the Kid"
"101",NA,"The Lawnmower Man","The Lawnmower Man"
"102",NA,"Memoirs of an Invisible Man","Memoirs of an Invisible Man"
"103","1993","Jurassic Park","Jurassic Park"
"104","(20th)","Demolition Man","Demolition Man"
"105",NA,"Fire in the Sky","Fire in the Sky"
"106",NA,"Fortress","Fortress"
"107",NA,"Man's Best Friend","Man's Best Friend"
"108",NA,"The Meteor Man","The Meteor Man"
"109",NA,"RoboCop 3","RoboCop 3"
"110","1994","Stargate","Stargate"
"111","(21st)","Body Snatchers","Body Snatchers"
"112",NA,"No Escape","No Escape"
"113",NA,"The Puppet Masters","The Puppet Masters"
"114",NA,"Star Trek Generations","Star Trek Generations"
"115",NA,"Street Fighter","Street Fighter"
"116",NA,"Timecop","Timecop"
"117","1995","12 Monkeys","12 Monkeys"
"118","(22nd)","Congo","Congo"
"119",NA,"Judge Dredd","Judge Dredd"
"120",NA,"Outbreak","Outbreak"
"121",NA,"Species","Species"
"122",NA,"Strange Days","Strange Days"
"123",NA,"Waterworld","Waterworld"
"124","1996","Independence Day","Independence Day"
"125","(23rd)","Escape from L.A.","Escape from L.A."
"126",NA,"The Island of Dr. Moreau","The Island of Dr. Moreau"
"127",NA,"Mars Attacks!","Mars Attacks!"
"128",NA,"Mystery Science Theater 3000: The Movie","Mystery Science Theater 3000: The Movie"
"129",NA,"Star Trek: First Contact","Star Trek: First Contact"
"130","1997","Men in Black","Men in Black"
"131","(24th)","Alien: Resurrection","Alien: Resurrection"
"132",NA,"Contact","Contact"
"133",NA,"The Fifth Element (Le Cinquième Élément)","The Fifth Element (Le Cinquième Élément)"
"134",NA,"The Postman","The Postman"
"135",NA,"Starship Troopers","Starship Troopers"
"136","1998","Armageddon","Armageddon"
"137","(25th)","Dark City","Dark City"
"138",NA,"Deep Impact","Deep Impact"
"139",NA,"Lost in Space","Lost in Space"
