Domain,Grade,Percentile,PL1,PL15,PL2,PL25,PL3,PL35,PL4,PL45,PL5,PL55,PL6
Reading,Kindergarten Grade,80th,188,134,99,87,77,74,73,78,83,88,
Reading,Kindergarten Grade,60th,177,117,77,69,59,53,51,52,54,55,
Reading,Kindergarten Grade,40th,166,105,60,55,47,41,36,36,37,37,
Reading,Kindergarten Grade,20th,145,89,39,35,23,15,11,15,26,34,
Reading,First Grade,80th,135,91,69,55,46,42,40,39,38,35,29
Reading,First Grade,60th,123,79,52,36,28,26,26,23,23,21,19
Reading,First Grade,40th,113,70,39,23,15,12,9,7,8,9,9
Reading,First Grade,20th,92,51,24,10,2,-3,-6,-10,-11,-7,-4
Reading,Second Grade,80th,122,77,58,50,50,48,43,41,41,38,31
Reading,Second Grade,60th,106,61,38,30,29,30,28,26,27,25,19
Reading,Second Grade,40th,93,47,24,16,14,13,10,12,15,12,8
Reading,Second Grade,20th,64,32,10,1,-2,-3,-6,-6,-5,-2,-6
Reading,Third Grade,80th,112,84,65,55,50,45,40,38,35,31,27
Reading,Third Grade,60th,114,72,50,44,40,34,29,25,22,18,11
Reading,Third Grade,40th,101,60,37,30,29,25,20,17,13,7,0
Reading,Third Grade,20th,73,39,23,17,13,9,6,5,2,-3,-12
Reading,Fourth Grade,80th,110,67,50,42,39,35,32,31,31,30,30
Reading,Fourth Grade,60th,105,51,34,25,22,21,19,19,20,20,18
Reading,Fourth Grade,40th,79,34,20,12,9,6,6,7,8,8,5
Reading,Fourth Grade,20th,69,23,4,-3,-6,-7,-8,-9,-10,-9,-9
Reading,Fifth Grade,80th,74,48,33,26,22,20,18,15,13,10,7
Reading,Fifth Grade,60th,77,28,15,11,7,4,1,0,1,0,-4
Reading,Fifth Grade,40th,77,21,0,-4,-4,-5,-11,-14,-14,-16,-19
Reading,Fifth Grade,20th,70,11,-14,-23,-24,-19,-23,-27,-27,-28,-35
Reading,Sixth Grade,80th,62,52,43,34,30,30,28,25,21,19,23
Reading,Sixth Grade,60th,51,33,26,19,14,13,13,11,9,9,10
Reading,Sixth Grade,40th,50,21,11,6,2,1,0,-4,-7,-5,0
Reading,Sixth Grade,20th,46,12,-5,-12,-12,-11,-13,-17,-20,-22,-21
Reading,Seventh Grade,80th,55,46,42,37,36,34,30,24,22,21,18
Reading,Seventh Grade,60th,46,31,25,20,18,17,15,10,8,9,10
Reading,Seventh Grade,40th,44,17,12,8,5,2,0,-2,-1,0,-4
Reading,Seventh Grade,20th,31,8,-3,-10,-11,-11,-12,-17,-20,-16,-14
Reading,Eighth Grade,80th,100,70,53,47,45,41,36,33,31,30,29
Reading,Eighth Grade,60th,81,54,38,27,24,23,24,22,19,16,12
Reading,Eighth Grade,40th,72,43,27,16,10,6,12,10,7,4,-1
Reading,Eighth Grade,20th,72,32,12,2,-3,-7,-7,-10,-15,-16,-15
Reading,Ninth-Twelfth Grade,80th,64,42,33,32,32,30,26,22,20,19,18
Reading,Ninth-Twelfth Grade,60th,54,27,18,15,13,13,11,10,8,7,5
Reading,Ninth-Twelfth Grade,40th,50,17,7,3,1,-1,-4,-5,-5,-3,-6
Reading,Ninth-Twelfth Grade,20th,47,9,-6,-10,-12,-15,-20,-23,-25,-23,-20
