ZCTA5CE,CLASSFP,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
15236,B5,G6350,S,26601853,0,+40.3437143,-079.9777046
15213,B5,G6350,S,5954744,8799,+40.4431746,-079.9554052
15136,B5,G6350,S,24770071,0,+40.4680072,-080.1010063
15202,B5,G6350,S,11605997,0,+40.5066279,-080.0695996
15082,B5,G6350,S,606828,0,+40.3751608,-080.2151494
15057,B5,G6350,S,137051089,211171,+40.3587623,-080.2437771
15102,B5,G6350,S,26931475,0,+40.3214875,-080.0365806
15088,B5,G6350,S,450467,0,+40.2718305,-079.8967703
15110,B5,G6350,S,4724458,0,+40.3734003,-079.8510762
15238,B5,G6350,S,45739056,40448,+40.5318491,-079.8879060
15090,B5,G6350,S,56652235,17424,+40.6258873,-080.0675350
15203,B5,G6350,S,3842572,0,+40.4256099,-079.9771781
16244,B5,G6350,S,6018679,0,+40.7986321,-079.2753489
16262,B5,G6350,S,86227257,0,+40.8417070,-079.6533012
16028,B5,G6350,S,39302137,0,+40.9546704,-079.6400410
15673,B5,G6350,S,1226289,0,+40.5942039,-079.5561281
16212,B5,G6350,S,384731,0,+40.7557097,-079.5811672
16136,B5,G6350,S,1598345,0,+40.8330215,-080.3243522
15042,B5,G6350,S,42668733,0,+40.6867816,-080.2034522
15009,B5,G6350,S,61744478,102644,+40.6979184,-080.3651222
15081,B5,G6350,S,851917,0,+40.5741351,-080.2371594
15534,B5,G6350,S,131015810,145117,+39.8833052,-078.7050862
17026,B5,G6350,S,64987658,92632,+40.4735904,-076.4371894
19562,B5,G6350,S,2111132,2469,+40.5033705,-075.7025383
19606,B5,G6350,S,70478866,307422,+40.3387168,-075.8576885
19601,B5,G6350,S,10250189,58,+40.3568259,-075.9383705
19522,B5,G6350,S,111776964,308426,+40.4503501,-075.8006266
19567,B5,G6350,S,60222513,209925,+40.3991399,-076.2094286
19526,B5,G6350,S,151834684,881785,+40.5472403,-075.9965091
17087,B5,G6350,S,29402126,140590,+40.4040089,-076.2684260
18056,B5,G6350,S,2967858,5051,+40.4463051,-075.5413751
19543,B5,G6350,S,54068531,800223,+40.1770578,-075.9010176
19523,B5,G6350,S,440379,1509,+40.2102614,-075.8381844
19533,B5,G6350,S,41673448,170288,+40.4227726,-075.9941510
16648,B5,G6350,S,152932824,1201129,+40.4344481,-078.3310001
18840,B5,G6350,S,107151503,604839,+41.9727971,-076.5303861
18974,B5,G6350,S,49454112,273663,+40.2169861,-075.0726646
19007,B5,G6350,S,19710472,606474,+40.1131786,-074.8576504
18972,B5,G6350,S,59581367,145120,+40.5448154,-075.1111806
18901,B5,G6350,S,129854375,2285378,+40.3321550,-075.1222999
18969,B5,G6350,S,45120108,148397,+40.3263042,-075.3684221
18960,B5,G6350,S,50507847,321007,+40.3661852,-075.3257692
18944,B5,G6350,S,119191173,405854,+40.3924296,-075.2286478
18914,B5,G6350,S,42069602,145170,+40.2926006,-075.2093883
18962,B5,G6350,S,202337,0,+40.3466909,-075.2724904
16040,B5,G6350,S,50344827,8983,+41.0942450,-079.8402002
16057,B5,G6350,S,229489866,724975,+41.0340737,-080.0603004
16051,B5,G6350,S,99019407,503389,+40.9448940,-080.1381430
16056,B5,G6350,S,54371935,33893,+40.7249335,-079.8417064
15901,B5,G6350,S,4902490,0,+40.3308842,-078.9146542
15960,B5,G6350,S,294669,0,+40.5005080,-078.8620877
15943,B5,G6350,S,53596798,48156,+40.4738991,-078.8355437
15925,B5,G6350,S,181973,0,+40.4087178,-078.6407514
16720,B5,G6350,S,529746918,46670,+41.6045077,-078.1028299
18230,B5,G6350,S,4931091,0,+40.9204232,-075.9313137
16801,B5,G6350,S,73966727,0,+40.7868223,-077.8474302
16874,B5,G6350,S,120282845,34301,+41.0323881,-077.9162521
16868,B5,G6350,S,601521,0,+40.7352648,-077.8835487
16826,B5,G6350,S,13950121,0,+41.0482039,-077.6014921
16877,B5,G6350,S,64308089,0,+40.7235834,-078.0954044
16802,B5,G6350,S,4663573,0,+40.8091634,-077.8643718
19465,B5,G6350,S,95121280,882098,+40.1905383,-075.6844270
19362,B5,G6350,S,77547228,679520,+39.7507432,-076.0703829
19358,B5,G6350,S,584973,19748,+39.9641530,-075.8036029
17527,B5,G6350,S,53692473,278744,+40.0161140,-075.9981326
16213,B5,G6350,S,273005,0,+41.1253449,-079.5590519
16332,B5,G6350,S,7745975,28671,+41.3567171,-079.3695448
16849,B5,G6350,S,12108035,12897,+40.9617370,-078.1146647
16656,B5,G6350,S,75081923,531379,+40.8121653,-078.5641176
16833,B5,G6350,S,179719425,459167,+40.9443060,-078.5765745
16620,B5,G6350,S,1389739,32069,+40.8386997,-078.3514394
15866,B5,G6350,S,3849326,929,+41.0239167,-078.7915313
16834,B5,G6350,S,44095258,207390,+41.0518238,-078.0870768
16616,B5,G6350,S,2157512,17393,+40.7675470,-078.4400792
17878,B5,G6350,S,57054202,593429,+41.1756382,-076.3236494
16440,B5,G6350,S,22804305,16316,+41.7825488,-080.1260182
16441,B5,G6350,S,288672763,2203771,+41.9584313,-079.9835797
16317,B5,G6350,S,79560354,0,+41.5303735,-079.8557326
17241,B5,G6350,S,300916602,2065682,+40.1765275,-077.4084479
17257,B5,G6350,S,292744644,768993,+40.0533876,-077.4930597
17103,B5,G6350,S,4975288,0,+40.2748983,-076.8645366
17036,B5,G6350,S,73029844,21755,+40.2676720,-076.7102947
17005,B5,G6350,S,1525007,0,+40.6033625,-076.8094280
19078,B5,G6350,S,5086829,13300,+39.8743779,-075.3221253
19026,B5,G6350,S,9363833,0,+39.9503525,-075.3040211
19023,B5,G6350,S,5196364,0,+39.9170322,-075.2676021
19032,B5,G6350,S,3055025,457316,+39.8888888,-075.2765056
16735,B5,G6350,S,579622997,413148,+41.6113843,-078.8283867
16734,B5,G6350,S,8228008,2903,+41.6105584,-078.8541189
16510,B5,G6350,S,89224011,48706,+42.1087380,-079.9545741
16443,B5,G6350,S,32064685,281409,+41.9396447,-080.4842345
16505,B5,G6350,S,30002342,345599,+42.1098604,-080.1535176
16506,B5,G6350,S,36109959,73779,+42.0645407,-080.1530814
16501,B5,G6350,S,1972433,16722,+42.1204180,-080.0913034
15451,B5,G6350,S,25253058,29144,+39.7445435,-079.8484729
15454,B5,G6350,S,663117,0,+39.8599794,-079.8651940
15489,B5,G6350,S,3162387,0,+39.9552522,-079.6975477
15438,B5,G6350,S,30457506,407,+40.0732322,-079.8578307
15410,B5,G6350,S,32273496,0,+39.9189665,-079.8991900
15413,B5,G6350,S,2968802,0,+39.9874636,-079.8635185
15557,B5,G6350,S,220724708,382572,+39.9343142,-079.2275902
15828,B5,G6350,S,54766726,31810,+41.3848368,-079.1157063
16370,B5,G6350,S,25314869,0,+41.5963427,-079.4209787
17265,B5,G6350,S,60793715,63358,+40.0433664,-077.7797621
17268,B5,G6350,S,189034348,40164,+39.7750512,-077.5755802
17021,B5,G6350,S,134942350,27234,+40.3305263,-077.6681920
17264,B5,G6350,S,144794247,0,+40.1826953,-077.9914352
15352,B5,G6350,S,114205859,19478,+39.7500053,-080.4110014
15380,B5,G6350,S,108934038,184455,+39.8675616,-080.4671192
15377,B5,G6350,S,112965709,24797,+39.9884690,-080.4490565
15370,B5,G6350,S,379731689,145996,+39.8805910,-080.1712231
15334,B5,G6350,S,5845532,0,+39.8101870,-079.9837445
17060,B5,G6350,S,85767462,17510,+40.4692612,-077.8939561
16634,B5,G6350,S,27790726,0,+40.2275180,-078.1639128
16638,B5,G6350,S,1584421,0,+40.3412268,-078.1986803
15701,B5,G6350,S,299434502,4174861,+40.6267503,-079.1487768
15747,B5,G6350,S,88563369,78811,+40.7640926,-079.1433067
15728,B5,G6350,S,118674369,236395,+40.6756648,-078.9717795
15681,B5,G6350,S,118211644,157841,+40.5123451,-079.4286261
15752,B5,G6350,S,163145,0,+40.5408226,-079.2817605
17045,B5,G6350,S,91904082,185964,+40.5970933,-077.0009281
18504,B5,G6350,S,18577921,0,+41.4239820,-075.6983531
18403,B5,G6350,S,54984513,90389,+41.5096881,-075.5350510
18447,B5,G6350,S,46855099,166148,+41.5410581,-075.6256299
18512,B5,G6350,S,27972268,99729,+41.4263202,-075.6018983
17579,B5,G6350,S,37956628,219064,+39.9604256,-076.1806951
17519,B5,G6350,S,58211823,527350,+40.1414383,-076.0234230
17501,B5,G6350,S,3810847,14962,+40.1565990,-076.2039589
17347,B5,G6350,S,35587258,878326,+40.0574858,-076.6882379
17042,B5,G6350,S,185929551,406119,+40.2922953,-076.4212475
17038,B5,G6350,S,179340618,98908,+40.4566177,-076.5632466
17046,B5,G6350,S,99535819,360738,+40.3819386,-076.4295576
18037,B5,G6350,S,20030387,305579,+40.6817148,-075.5459576
18053,B5,G6350,S,42875759,124570,+40.7192299,-075.7041172
18222,B5,G6350,S,113438988,687049,+41.0425118,-075.9857668
18621,B5,G6350,S,95027587,2810087,+41.2668490,-076.1059575
18602,B5,G6350,S,4689405,274580,+41.1850946,-075.7543197
17776,B5,G6350,S,218261252,1525113,+41.4148558,-077.2941997
17754,B5,G6350,S,157267006,2134430,+41.3145158,-076.8853137
17728,B5,G6350,S,126262018,628214,+41.3347771,-077.0785672
17701,B5,G6350,S,219166061,2075523,+41.2749659,-077.0323250
16743,B5,G6350,S,282424073,1043225,+41.7676382,-078.2329746
16724,B5,G6350,S,5717904,36369,+41.7585298,-078.3557451
16729,B5,G6350,S,34628571,62277,+41.9696681,-078.4818177
16311,B5,G6350,S,39103169,7142,+41.4621664,-080.0423827
16121,B5,G6350,S,6970896,0,+41.2099122,-080.4988576
17063,B5,G6350,S,253309251,812402,+40.7609373,-077.4849202
18330,B5,G6350,S,43313051,141882,+40.9584187,-075.4504279
18353,B5,G6350,S,109523303,406197,+40.8952930,-075.3580736
18355,B5,G6350,S,27708548,159618,+41.0765278,-075.3446680
18324,B5,G6350,S,97748704,2058842,+41.1526716,-074.9924500
19038,B5,G6350,S,20356185,4216,+40.1004183,-075.1717606
19446,B5,G6350,S,57490597,0,+40.2310343,-075.3022035
19468,B5,G6350,S,43789890,0,+40.2069832,-075.5308130
19454,B5,G6350,S,32627028,1017,+40.2233943,-075.2431204
19009,B5,G6350,S,937207,0,+40.1366221,-075.0644727
17772,B5,G6350,S,50786109,142037,+41.1128904,-076.7197420
17884,B5,G6350,S,139300,0,+41.0524953,-076.6750520
18064,B5,G6350,S,100530306,958344,+40.7570077,-075.3159676
17823,B5,G6350,S,40156045,536777,+40.7253877,-076.7862710
17860,B5,G6350,S,52930108,228407,+40.8361104,-076.6297252
17867,B5,G6350,S,38035751,28158,+40.7144883,-076.7450351
17024,B5,G6350,S,70966432,113692,+40.4069311,-077.3068129
17090,B5,G6350,S,92744093,894591,+40.3283845,-077.1898780
19107,B5,G6350,S,1403476,0,+39.9516717,-075.1586408
19153,B5,G6350,S,18735410,1108988,+39.8944136,-075.2323747
19145,B5,G6350,S,12634025,181569,+39.9134309,-075.1915558
19122,B5,G6350,S,3302748,0,+39.9777157,-075.1458479
19108,B5,G6350,S,17133,0,+39.9598651,-075.1608294
17953,B5,G6350,S,1406332,0,+40.7304136,-076.0852045
